"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,60,0.443037974683544,1239.5,1465,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,6,0.465346534653465,4248.5,2053,"ACAXOCHITLÁN","ALFAJAYUCAN","Región Tulancingo","Región Ixmiquilpan"
2,37,0.455445544554455,4248.5,2083.5,"ACAXOCHITLÁN","METZTITLÁN","Región Tulancingo","Región Zacualtipán"
2,39,0.386138613861386,4248.5,3834,"ACAXOCHITLÁN","MINERAL DEL MONTE","Región Tulancingo","Región Mineral de la Reforma"
3,30,0.488479262672811,19060,23376.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
4,17,0.459770114942529,1308,1164,"AGUA BLANCA DE ITURBIDE","CHAPANTONGO","Región Tulancingo","Región Huichapan"
4,18,0.459770114942529,1308,1920.5,"AGUA BLANCA DE ITURBIDE","CHAPULHUACÁN","Región Tulancingo","Región Jacala"
4,35,0.482758620689655,1308,1011.5,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,49,0.459770114942529,1308,1255.5,"AGUA BLANCA DE ITURBIDE","PISAFLORES","Región Tulancingo","Región Jacala"
4,53,0.459770114942529,1308,1840.5,"AGUA BLANCA DE ITURBIDE","SAN BARTOLO TUTOTEPEC","Región Tulancingo","Región Tulancingo"
4,60,0.459770114942529,1308,1465,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,23,0.482014388489209,3339,6801.5,"AJACUBA","FRANCISCO I. MADERO","Región Tula","Región Actopan"
5,54,0.457627118644068,3339,3078,"AJACUBA","SAN SALVADOR","Región Tula","Región Actopan"
5,65,0.46078431372549,3339,2190.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
5,67,0.463768115942029,3339,9553.5,"AJACUBA","TEZONTEPEC DE ALDAMA","Región Tula","Región Tula"
