"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,24,0.450704225352113,1267,1045,"ACATLÁN","HUASCA DE OCAMPO","Región Tulancingo","Región Mineral de la Reforma"
1,60,0.479452054794521,1267,1300.5,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,14,0.430232558139535,3247,1915.5,"ACAXOCHITLÁN","CALNALI","Región Tulancingo","Región Huejutla"
3,30,0.473684210526316,16739.5,19084.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
3,76,0.335106382978723,16739.5,32935,"ACTOPAN","TULA DE ALLENDE","Región Actopan","Región Tula"
3,77,0.437722419928826,16739.5,44884,"ACTOPAN","TULANCINGO DE BRAVO","Región Actopan","Región Tulancingo"
4,6,0.458823529411765,1164.5,1543,"AGUA BLANCA DE ITURBIDE","ALFAJAYUCAN","Región Tulancingo","Región Ixmiquilpan"
4,17,0.4625,1164.5,1039,"AGUA BLANCA DE ITURBIDE","CHAPANTONGO","Región Tulancingo","Región Huichapan"
4,27,0.45,1164.5,1360,"AGUA BLANCA DE ITURBIDE","HUEHUETLA","Región Tulancingo","Región Tulancingo"
4,35,0.475609756097561,1164.5,875,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,60,0.475,1164.5,1300.5,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,7,0.488636363636364,3072.5,1187,"AJACUBA","ALMOLOYA","Región Tula","Región Apan"
5,65,0.483516483516484,3072.5,1835.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
5,72,0.447058823529412,3072.5,2046,"AJACUBA","TLANALAPA","Región Tula","Región Apan"
6,7,0.465909090909091,1543,1187,"ALFAJAYUCAN","ALMOLOYA","Región Ixmiquilpan","Región Apan"
6,14,0.453488372093023,1543,1915.5,"ALFAJAYUCAN","CALNALI","Región Ixmiquilpan","Región Huejutla"
6,65,0.483516483516484,1543,1835.5,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
7,14,0.488636363636364,1187,1915.5,"ALMOLOYA","CALNALI","Región Apan","Región Huejutla"
7,18,0.460674157303371,1187,1600.5,"ALMOLOYA","CHAPULHUACÁN","Región Apan","Región Jacala"
7,25,0.454545454545455,1187,1587,"ALMOLOYA","HUAUTLA","Región Apan","Región Huejutla"
7,35,0.454545454545455,1187,875,"ALMOLOYA","METEPEC","Región Apan","Región Tulancingo"
7,39,0.391752577319588,1187,3058.5,"ALMOLOYA","MINERAL DEL MONTE","Región Apan","Región Mineral de la Reforma"
7,52,0.340909090909091,1187,3715.5,"ALMOLOYA","SAN AGUSTÍN TLAXIACA","Región Apan","Región Pachuca"
7,65,0.472527472527473,1187,1835.5,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
8,50,0.459302325581395,8252,7056.5,"APAN","PROGRESO DE OBREGÓN","Región Apan","Región Actopan"
8,61,0.325581395348837,8252,16452,"APAN","TEPEAPULCO","Región Apan","Región Apan"
9,22,0.387096774193548,1067,1073.5,"EL ARENAL","EPAZOYUCAN","Región Actopan","Región Mineral de la Reforma"
9,55,0.413793103448276,1067,999.5,"EL ARENAL","SANTIAGO DE ANAYA","Región Actopan","Región Actopan"
10,13,0.248,10616.5,7743,"ATITALAQUIA","ATOTONILCO DE TULA","Región Tula","Región Tula"
11,73,0.447368421052632,1797,2083,"ATLAPEXCO","TLANCHINOL","Región Huejutla","Región Huejutla"
12,16,0.481481481481481,4085,6356.5,"ATOTONILCO EL GRANDE","CUAUTEPEC DE HINOJOSA","Región Zacualtipán","Región Tulancingo"
12,23,0.477941176470588,4085,6251.5,"ATOTONILCO EL GRANDE","FRANCISCO I. MADERO","Región Zacualtipán","Región Actopan"
12,29,0.362962962962963,4085,8343,"ATOTONILCO EL GRANDE","HUICHAPAN","Región Zacualtipán","Región Huichapan"
12,50,0.473684210526316,4085,7056.5,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,59,0.459259259259259,4085,2343.5,"ATOTONILCO EL GRANDE","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
12,67,0.5,4085,7704,"ATOTONILCO EL GRANDE","TEZONTEPEC DE ALDAMA","Región Zacualtipán","Región Tula"
12,74,0.460431654676259,4085,6934,"ATOTONILCO EL GRANDE","TLAXCOAPAN","Región Zacualtipán","Región Tula"
