"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,24,0.445945945945946,1126.5,1027,"ACATLÁN","HUASCA DE OCAMPO","Región Tulancingo","Región Mineral de la Reforma"
1,60,0.472972972972973,1126.5,1298,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,14,0.425287356321839,3221,1926,"ACAXOCHITLÁN","CALNALI","Región Tulancingo","Región Huejutla"
3,30,0.441747572815534,16700.5,18965.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
3,41,0.437158469945355,16700.5,9453,"ACTOPAN","MIXQUIAHUALA DE JUÁREZ","Región Actopan","Región Actopan"
3,51,0.33879781420765,16700.5,29029.5,"ACTOPAN","MINERAL DE LA REFORMA","Región Actopan","Región Mineral de la Reforma"
3,77,0.416058394160584,16700.5,44569,"ACTOPAN","TULANCINGO DE BRAVO","Región Actopan","Región Tulancingo"
4,17,0.45,1162,1031.5,"AGUA BLANCA DE ITURBIDE","CHAPANTONGO","Región Tulancingo","Región Huichapan"
4,35,0.475609756097561,1162,869.5,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,60,0.475,1162,1298,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,7,0.460674157303371,3081.5,1189.5,"AJACUBA","ALMOLOYA","Región Tula","Región Apan"
5,22,0.378048780487805,3081.5,1111,"AJACUBA","EPAZOYUCAN","Región Tula","Región Mineral de la Reforma"
5,35,0.451219512195122,3081.5,869.5,"AJACUBA","METEPEC","Región Tula","Región Tulancingo"
5,57,0.378048780487805,3081.5,1816,"AJACUBA","SINGUILUCAN","Región Tula","Región Tulancingo"
5,65,0.466666666666667,3081.5,1835.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
5,72,0.451219512195122,3081.5,2035.5,"AJACUBA","TLANALAPA","Región Tula","Región Apan"
6,7,0.460674157303371,1569,1189.5,"ALFAJAYUCAN","ALMOLOYA","Región Ixmiquilpan","Región Apan"
6,65,0.466666666666667,1569,1835.5,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
7,14,0.50561797752809,1189.5,1926,"ALMOLOYA","CALNALI","Región Apan","Región Huejutla"
7,18,0.471910112359551,1189.5,1600.5,"ALMOLOYA","CHAPULHUACÁN","Región Apan","Región Jacala"
7,37,0.456521739130435,1189.5,1778,"ALMOLOYA","METZTITLÁN","Región Apan","Región Zacualtipán"
7,65,0.466666666666667,1189.5,1835.5,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
7,82,0.436170212765957,1189.5,4231,"ALMOLOYA","ZAPOTLÁN DE JUÁREZ","Región Apan","Región Pachuca"
8,50,0.435294117647059,8493,6958.5,"APAN","PROGRESO DE OBREGÓN","Región Apan","Región Actopan"
9,22,0.366666666666667,1094,1111,"EL ARENAL","EPAZOYUCAN","Región Actopan","Región Mineral de la Reforma"
9,55,0.385964912280702,1094,997.5,"EL ARENAL","SANTIAGO DE ANAYA","Región Actopan","Región Actopan"
10,13,0.248,10259.5,7687.5,"ATITALAQUIA","ATOTONILCO DE TULA","Región Tula","Región Tula"
11,37,0.456521739130435,1797,1778,"ATLAPEXCO","METZTITLÁN","Región Huejutla","Región Zacualtipán"
11,73,0.460526315789474,1797,2091,"ATLAPEXCO","TLANCHINOL","Región Huejutla","Región Huejutla"
12,16,0.477611940298507,4095.5,6307,"ATOTONILCO EL GRANDE","CUAUTEPEC DE HINOJOSA","Región Zacualtipán","Región Tulancingo"
12,50,0.450980392156863,4095.5,6958.5,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,67,0.477611940298507,4095.5,7714.5,"ATOTONILCO EL GRANDE","TEZONTEPEC DE ALDAMA","Región Zacualtipán","Región Tula"
12,84,0.426356589147287,4095.5,6314,"ATOTONILCO EL GRANDE","ZIMAPÁN","Región Zacualtipán","Región Ixmiquilpan"
13,56,0.384,7687.5,4728.5,"ATOTONILCO DE TULA","SANTIAGO TULANTEPEC DE LUGO GUERRERO","Región Tula","Región Tulancingo"
14,27,0.459770114942529,1926,1360,"CALNALI","HUEHUETLA","Región Huejutla","Región Tulancingo"
14,35,0.494252873563218,1926,869.5,"CALNALI","METEPEC","Región Huejutla","Región Tulancingo"
14,37,0.543478260869565,1926,1778,"CALNALI","METZTITLÁN","Región Huejutla","Región Zacualtipán"
14,42,0.471264367816092,1926,1940.5,"CALNALI","MOLANGO DE ESCAMILLA","Región Huejutla","Región Zacualtipán"
14,46,0.505050505050505,1926,3876,"CALNALI","SAN FELIPE ORIZATLÁN","Región Huejutla","Región Huejutla"
14,65,0.466666666666667,1926,1835.5,"CALNALI","TETEPANGO","Región Huejutla","Región Tula"
15,38,0.348837209302326,853.5,653,"CARDONAL","MINERAL DEL CHICO","Región Ixmiquilpan","Región Mineral de la Reforma"
16,23,0.518248175182482,6307,6222.5,"CUAUTEPEC DE HINOJOSA","FRANCISCO I. MADERO","Región Tulancingo","Región Actopan"
16,67,0.544776119402985,6307,7714.5,"CUAUTEPEC DE HINOJOSA","TEZONTEPEC DE ALDAMA","Región Tulancingo","Región Tula"
16,70,0.455223880597015,6307,4467.5,"CUAUTEPEC DE HINOJOSA","TLAHUELILPAN","Región Tulancingo","Región Tula"
16,74,0.485074626865672,6307,6844,"CUAUTEPEC DE HINOJOSA","TLAXCOAPAN","Región Tulancingo","Región Tula"
17,27,0.480519480519481,1031.5,1360,"CHAPANTONGO","HUEHUETLA","Región Huichapan","Región Tulancingo"
17,35,0.475609756097561,1031.5,869.5,"CHAPANTONGO","METEPEC","Región Huichapan","Región Tulancingo"
