"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
20,33,0.444444444444444,361,347,"ELOXOCHITLÁN","JUÁREZ HIDALGO","Región Zacualtipán","Región Zacualtipán"
20,71,0.516129032258065,361,278.5,"ELOXOCHITLÁN","TLAHUILTEPA","Región Zacualtipán","Región Zacualtipán"
21,67,0.430769230769231,2739.5,7883.5,"EMILIANO ZAPATA","TEZONTEPEC DE ALDAMA","Región Apan","Región Tula"
22,52,0.276923076923077,1090.5,3964,"EPAZOYUCAN","SAN AGUSTÍN TLAXIACA","Región Mineral de la Reforma","Región Pachuca"
23,50,0.472222222222222,6425,6994.5,"FRANCISCO I. MADERO","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
23,67,0.558823529411765,6425,7883.5,"FRANCISCO I. MADERO","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
23,74,0.463235294117647,6425,6962,"FRANCISCO I. MADERO","TLAXCOAPAN","Región Actopan","Región Tula"
24,45,0.384615384615385,1001.5,772,"HUASCA DE OCAMPO","OMITLÁN DE JUÁREZ","Región Mineral de la Reforma","Región Mineral de la Reforma"
25,49,0.421875,1956.5,956.5,"HUAUTLA","PISAFLORES","Región Huejutla","Región Jacala"
25,80,0.349206349206349,1956.5,1809.5,"HUAUTLA","YAHUALICA","Región Huejutla","Región Huejutla"
26,40,0.411764705882353,394,504.5,"HUAZALINGO","LA MISIÓN","Región Huejutla","Región Jacala"
26,64,0.357142857142857,394,994,"HUAZALINGO","TEPETITLÁN","Región Huejutla","Región Tula"
26,78,0.416666666666667,394,969.5,"HUAZALINGO","XOCHIATIPAN","Región Huejutla","Región Huejutla"
26,79,0.5,394,391.5,"HUAZALINGO","XOCHICOATLÁN","Región Huejutla","Región Zacualtipán"
27,35,0.481927710843373,1379.5,891.5,"HUEHUETLA","METEPEC","Región Tulancingo","Región Tulancingo"
27,60,0.466666666666667,1379.5,1401,"HUEHUETLA","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
27,73,0.45679012345679,1379.5,1819.5,"HUEHUETLA","TLANCHINOL","Región Tulancingo","Región Huejutla"
29,59,0.404411764705882,7560.5,2649,"HUICHAPAN","TECOZAUTLA","Región Huichapan","Región Huichapan"
30,61,0.327102803738318,19458.5,15726.5,"IXMIQUILPAN","TEPEAPULCO","Región Ixmiquilpan","Región Apan"
30,77,0.409420289855072,19458.5,45490,"IXMIQUILPAN","TULANCINGO DE BRAVO","Región Ixmiquilpan","Región Tulancingo"
31,37,0.450980392156863,2319,1739.5,"JACALA DE LEDEZMA","METZTITLÁN","Región Jacala","Región Zacualtipán"
31,59,0.480769230769231,2319,2649,"JACALA DE LEDEZMA","TECOZAUTLA","Región Jacala","Región Huichapan"
32,46,0.350515463917526,2082,3870,"JALTOCÁN","SAN FELIPE ORIZATLÁN","Región Huejutla","Región Huejutla"
33,47,0.222222222222222,347,387,"JUÁREZ HIDALGO","PACULA","Región Zacualtipán","Región Jacala"
34,62,0.243243243243243,423.5,550,"LOLOTLA","TEPEHUACÁN DE GUERRERO","Región Huejutla","Región Zacualtipán"
35,60,0.457831325301205,891.5,1401,"METEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
36,60,0.414285714285714,1013,1401,"SAN AGUSTÍN METZQUITITLÁN","TENANGO DE DORIA","Región Zacualtipán","Región Tulancingo"
36,68,0.384615384615385,1013,617,"SAN AGUSTÍN METZQUITITLÁN","TIANGUISTENGO","Región Zacualtipán","Región Zacualtipán"
36,71,0.384615384615385,1013,278.5,"SAN AGUSTÍN METZQUITITLÁN","TLAHUILTEPA","Región Zacualtipán","Región Zacualtipán"
37,42,0.462365591397849,1739.5,1919.5,"METZTITLÁN","MOLANGO DE ESCAMILLA","Región Zacualtipán","Región Zacualtipán"
37,58,0.455445544554455,1739.5,2172.5,"METZTITLÁN","TASQUILLO","Región Zacualtipán","Región Ixmiquilpan"
37,60,0.473118279569892,1739.5,1401,"METZTITLÁN","TENANGO DE DORIA","Región Zacualtipán","Región Tulancingo"
37,73,0.473118279569892,1739.5,1819.5,"METZTITLÁN","TLANCHINOL","Región Zacualtipán","Región Huejutla"
39,75,0.385416666666667,3127.5,2682.5,"MINERAL DEL MONTE","TOLCAYUCA","Región Mineral de la Reforma","Región Tizayuca"
40,43,0.428571428571429,504.5,498.5,"LA MISIÓN","NICOLÁS FLORES","Región Jacala","Región Ixmiquilpan"
40,71,0.483870967741935,504.5,278.5,"LA MISIÓN","TLAHUILTEPA","Región Jacala","Región Zacualtipán"
41,50,0.45625,9988.5,6994.5,"MIXQUIAHUALA DE JUÁREZ","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
41,67,0.475,9988.5,7883.5,"MIXQUIAHUALA DE JUÁREZ","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
42,73,0.45679012345679,1919.5,1819.5,"MOLANGO DE ESCAMILLA","TLANCHINOL","Región Zacualtipán","Región Huejutla"
48,77,0.401960784313726,126015,45490,"PACHUCA DE SOTO","TULANCINGO DE BRAVO","Región Pachuca","Región Tulancingo"
50,74,0.451388888888889,6994.5,6962,"PROGRESO DE OBREGÓN","TLAXCOAPAN","Región Actopan","Región Tula"
51,76,0.335195530726257,27648,32083,"MINERAL DE LA REFORMA","TULA DE ALLENDE","Región Mineral de la Reforma","Región Tula"
53,60,0.457142857142857,1985.5,1401,"SAN BARTOLO TUTOTEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
54,58,0.455445544554455,2212,2172.5,"SAN SALVADOR","TASQUILLO","Región Actopan","Región Ixmiquilpan"
54,65,0.45360824742268,2212,1812.5,"SAN SALVADOR","TETEPANGO","Región Actopan","Región Tula"
54,67,0.461538461538462,2212,7883.5,"SAN SALVADOR","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
54,75,0.422680412371134,2212,2682.5,"SAN SALVADOR","TOLCAYUCA","Región Actopan","Región Tizayuca"
56,70,0.442622950819672,4746.5,4384.5,"SANTIAGO TULANTEPEC DE LUGO GUERRERO","TLAHUELILPAN","Región Tulancingo","Región Tula"
58,59,0.480769230769231,2172.5,2649,"TASQUILLO","TECOZAUTLA","Región Ixmiquilpan","Región Huichapan"
58,65,0.514851485148515,2172.5,1812.5,"TASQUILLO","TETEPANGO","Región Ixmiquilpan","Región Tula"
58,66,0.455445544554455,2172.5,2513,"TASQUILLO","VILLA DE TEZONTEPEC","Región Ixmiquilpan","Región Tizayuca"
62,79,0.459459459459459,550,391.5,"TEPEHUACÁN DE GUERRERO","XOCHICOATLÁN","Región Zacualtipán","Región Zacualtipán"
63,83,0.267857142857143,17445.5,3886,"TEPEJI DEL RÍO DE OCAMPO","ZEMPOALA","Región Tula","Región Tizayuca"
65,66,0.454545454545455,1812.5,2513,"TETEPANGO","VILLA DE TEZONTEPEC","Región Tula","Región Tizayuca"
67,70,0.484615384615385,7883.5,4384.5,"TEZONTEPEC DE ALDAMA","TLAHUELILPAN","Región Tula","Región Tula"
67,74,0.492307692307692,7883.5,6962,"TEZONTEPEC DE ALDAMA","TLAXCOAPAN","Región Tula","Región Tula"
67,83,0.430769230769231,7883.5,3886,"TEZONTEPEC DE ALDAMA","ZEMPOALA","Región Tula","Región Tizayuca"
69,76,0.330049261083744,29864,32083,"TIZAYUCA","TULA DE ALLENDE","Región Tizayuca","Región Tula"
70,74,0.472868217054264,4384.5,6962,"TLAHUELILPAN","TLAXCOAPAN","Región Tula","Región Tula"
72,82,0.340659340659341,2373.5,4178.5,"TLANALAPA","ZAPOTLÁN DE JUÁREZ","Región Apan","Región Pachuca"
73,81,0.422222222222222,1819.5,7833,"TLANCHINOL","ZACUALTIPÁN DE ÁNGELES","Región Huejutla","Región Zacualtipán"
75,82,0.452631578947368,2682.5,4178.5,"TOLCAYUCA","ZAPOTLÁN DE JUÁREZ","Región Tizayuca","Región Pachuca"
76,77,0.351449275362319,32083,45490,"TULA DE ALLENDE","TULANCINGO DE BRAVO","Región Tula","Región Tulancingo"
