"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
33,47,0.241379310344828,367.5,387,"JUÁREZ HIDALGO","PACULA","Región Zacualtipán","Región Jacala"
34,79,0.233333333333333,601.5,564.5,"LOLOTLA","XOCHICOATLÁN","Región Huejutla","Región Zacualtipán"
35,60,0.48780487804878,869.5,1303.5,"METEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
36,68,0.4,1101,642.5,"SAN AGUSTÍN METZQUITITLÁN","TIANGUISTENGO","Región Zacualtipán","Región Zacualtipán"
36,71,0.36734693877551,1101,281,"SAN AGUSTÍN METZQUITITLÁN","TLAHUILTEPA","Región Zacualtipán","Región Zacualtipán"
37,42,0.46875,1790.5,1915.5,"METZTITLÁN","MOLANGO DE ESCAMILLA","Región Zacualtipán","Región Zacualtipán"
37,59,0.477064220183486,1790.5,2341,"METZTITLÁN","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
37,60,0.458333333333333,1790.5,1303.5,"METZTITLÁN","TENANGO DE DORIA","Región Zacualtipán","Región Tulancingo"
37,81,0.40625,1790.5,7923.5,"METZTITLÁN","ZACUALTIPÁN DE ÁNGELES","Región Zacualtipán","Región Zacualtipán"
39,75,0.387755102040816,3056,2899.5,"MINERAL DEL MONTE","TOLCAYUCA","Región Mineral de la Reforma","Región Tizayuca"
40,71,0.5,507,281,"LA MISIÓN","TLAHUILTEPA","Región Jacala","Región Zacualtipán"
41,50,0.476190476190476,9374,7046,"MIXQUIAHUALA DE JUÁREZ","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
41,67,0.458333333333333,9374,7712,"MIXQUIAHUALA DE JUÁREZ","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
43,78,0.372093023255814,500.5,899,"NICOLÁS FLORES","XOCHIATIPAN","Región Ixmiquilpan","Región Huejutla"
43,80,0.348837209302326,500.5,1644.5,"NICOLÁS FLORES","YAHUALICA","Región Ixmiquilpan","Región Huejutla"
44,64,0.359375,867,1004.5,"NOPALA DE VILLAGRÁN","TEPETITLÁN","Región Huichapan","Región Tula"
48,77,0.398089171974522,127174.5,44163.5,"PACHUCA DE SOTO","TULANCINGO DE BRAVO","Región Pachuca","Región Tulancingo"
50,74,0.453947368421053,7046,6927,"PROGRESO DE OBREGÓN","TLAXCOAPAN","Región Actopan","Región Tula"
51,76,0.324175824175824,30406,32403,"MINERAL DE LA REFORMA","TULA DE ALLENDE","Región Mineral de la Reforma","Región Tula"
