"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,44,0.412698412698413,1440,1104.5,"ACATLÁN","NOPALA DE VILLAGRÁN","Región Tulancingo","Región Huichapan"
1,53,0.424657534246575,1440,1808,"ACATLÁN","SAN BARTOLO TUTOTEPEC","Región Tulancingo","Región Tulancingo"
2,6,0.414141414141414,4139,2010.5,"ACAXOCHITLÁN","ALFAJAYUCAN","Región Tulancingo","Región Ixmiquilpan"
2,39,0.377551020408163,4139,3798.5,"ACAXOCHITLÁN","MINERAL DEL MONTE","Región Tulancingo","Región Mineral de la Reforma"
3,30,0.452586206896552,18873,22850.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
4,25,0.464285714285714,1323,1599.5,"AGUA BLANCA DE ITURBIDE","HUAUTLA","Región Tulancingo","Región Huejutla"
4,35,0.488095238095238,1323,1023.5,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
5,67,0.447761194029851,3401.5,9133.5,"AJACUBA","TEZONTEPEC DE ALDAMA","Región Tula","Región Tula"
6,65,0.454545454545455,2010.5,2205,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
7,25,0.473684210526316,1700.5,1599.5,"ALMOLOYA","HUAUTLA","Región Apan","Región Huejutla"
7,52,0.377551020408163,1700.5,5128,"ALMOLOYA","SAN AGUSTÍN TLAXIACA","Región Apan","Región Pachuca"
7,65,0.541666666666667,1700.5,2205,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
7,75,0.444444444444444,1700.5,3759,"ALMOLOYA","TOLCAYUCA","Región Apan","Región Tizayuca"
8,12,0.457627118644068,9348,4451,"APAN","ATOTONILCO EL GRANDE","Región Apan","Región Zacualtipán"
8,50,0.468926553672316,9348,7344.5,"APAN","PROGRESO DE OBREGÓN","Región Apan","Región Actopan"
8,61,0.338983050847458,9348,17753.5,"APAN","TEPEAPULCO","Región Apan","Región Apan"
9,22,0.396825396825397,1276,1230,"EL ARENAL","EPAZOYUCAN","Región Actopan","Región Mineral de la Reforma"
9,36,0.417910447761194,1276,973,"EL ARENAL","SAN AGUSTÍN METZQUITITLÁN","Región Actopan","Región Zacualtipán"
10,55,0.28735632183908,9726,1038.5,"ATITALAQUIA","SANTIAGO DE ANAYA","Región Tula","Región Actopan"
11,25,0.452380952380952,2166.5,1599.5,"ATLAPEXCO","HUAUTLA","Región Huejutla","Región Huejutla"
11,49,0.460526315789474,2166.5,1212.5,"ATLAPEXCO","PISAFLORES","Región Huejutla","Región Jacala"
12,23,0.49645390070922,4451,6405.5,"ATOTONILCO EL GRANDE","FRANCISCO I. MADERO","Región Zacualtipán","Región Actopan"
12,50,0.454545454545455,4451,7344.5,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,59,0.50354609929078,4451,2772,"ATOTONILCO EL GRANDE","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
12,84,0.418439716312057,4451,6858,"ATOTONILCO EL GRANDE","ZIMAPÁN","Región Zacualtipán","Región Ixmiquilpan"
13,59,0.338582677165354,8544.5,2772,"ATOTONILCO DE TULA","TECOZAUTLA","Región Tula","Región Huichapan"
14,17,0.471264367816092,1839,1189.5,"CALNALI","CHAPANTONGO","Región Huejutla","Región Huichapan"
14,25,0.482758620689655,1839,1599.5,"CALNALI","HUAUTLA","Región Huejutla","Región Huejutla"
14,27,0.471264367816092,1839,1956,"CALNALI","HUEHUETLA","Región Huejutla","Región Tulancingo"
15,38,0.363636363636364,1101,562.5,"CARDONAL","MINERAL DEL CHICO","Región Ixmiquilpan","Región Mineral de la Reforma"
15,43,0.348837209302326,1101,495.5,"CARDONAL","NICOLÁS FLORES","Región Ixmiquilpan","Región Ixmiquilpan"
16,23,0.472602739726027,7798.5,6405.5,"CUAUTEPEC DE HINOJOSA","FRANCISCO I. MADERO","Región Tulancingo","Región Actopan"
16,67,0.472602739726027,7798.5,9133.5,"CUAUTEPEC DE HINOJOSA","TEZONTEPEC DE ALDAMA","Región Tulancingo","Región Tula"
17,25,0.464285714285714,1189.5,1599.5,"CHAPANTONGO","HUAUTLA","Región Huichapan","Región Huejutla"
17,27,0.463414634146341,1189.5,1956,"CHAPANTONGO","HUEHUETLA","Región Huichapan","Región Tulancingo"
17,55,0.426829268292683,1189.5,1038.5,"CHAPANTONGO","SANTIAGO DE ANAYA","Región Huichapan","Región Actopan"
18,53,0.444444444444444,2032.5,1808,"CHAPULHUACÁN","SAN BARTOLO TUTOTEPEC","Región Jacala","Región Tulancingo"
19,55,0.379746835443038,1028,1038.5,"CHILCUAUTLA","SANTIAGO DE ANAYA","Región Ixmiquilpan","Región Actopan"
20,33,0.416666666666667,407,385,"ELOXOCHITLÁN","JUÁREZ HIDALGO","Región Zacualtipán","Región Zacualtipán"
20,34,0.3,407,571,"ELOXOCHITLÁN","LOLOTLA","Región Zacualtipán","Región Huejutla"
20,47,0.333333333333333,407,381,"ELOXOCHITLÁN","PACULA","Región Zacualtipán","Región Jacala"
21,66,0.447368421052632,3018,2862,"EMILIANO ZAPATA","VILLA DE TEZONTEPEC","Región Apan","Región Tizayuca"
21,82,0.428571428571429,3018,4891,"EMILIANO ZAPATA","ZAPOTLÁN DE JUÁREZ","Región Apan","Región Pachuca"
23,56,0.415492957746479,6405.5,6411,"FRANCISCO I. MADERO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","Región Actopan","Región Tulancingo"
23,59,0.453900709219858,6405.5,2772,"FRANCISCO I. MADERO","TECOZAUTLA","Región Actopan","Región Huichapan"
23,65,0.446808510638298,6405.5,2205,"FRANCISCO I. MADERO","TETEPANGO","Región Actopan","Región Tula"
23,67,0.560283687943262,6405.5,9133.5,"FRANCISCO I. MADERO","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
23,74,0.468085106382979,6405.5,8718,"FRANCISCO I. MADERO","TLAXCOAPAN","Región Actopan","Región Tula"
23,82,0.439716312056738,6405.5,4891,"FRANCISCO I. MADERO","ZAPOTLÁN DE JUÁREZ","Región Actopan","Región Pachuca"
24,38,0.377777777777778,1307,562.5,"HUASCA DE OCAMPO","MINERAL DEL CHICO","Región Mineral de la Reforma","Región Mineral de la Reforma"
25,27,0.488095238095238,1599.5,1956,"HUAUTLA","HUEHUETLA","Región Huejutla","Región Tulancingo"
25,32,0.44047619047619,1599.5,2374.5,"HUAUTLA","JALTOCÁN","Región Huejutla","Región Huejutla"
25,46,0.47008547008547,1599.5,4335,"HUAUTLA","SAN FELIPE ORIZATLÁN","Región Huejutla","Región Huejutla"
25,49,0.547619047619048,1599.5,1212.5,"HUAUTLA","PISAFLORES","Región Huejutla","Región Jacala"
25,73,0.454545454545455,1599.5,2294,"HUAUTLA","TLANCHINOL","Región Huejutla","Región Huejutla"
26,40,0.473684210526316,532,540,"HUAZALINGO","LA MISIÓN","Región Huejutla","Región Jacala"
26,78,0.408163265306122,532,840,"HUAZALINGO","XOCHIATIPAN","Región Huejutla","Región Huejutla"
26,80,0.414634146341463,532,1783.5,"HUAZALINGO","YAHUALICA","Región Huejutla","Región Huejutla"
27,36,0.479452054794521,1956,973,"HUEHUETLA","SAN AGUSTÍN METZQUITITLÁN","Región Tulancingo","Región Zacualtipán"
