"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
37,42,0.481481481481481,1685,1726,"METZTITLÁN","MOLANGO DE ESCAMILLA","Región Zacualtipán","Región Zacualtipán"
37,58,0.453488372093023,1685,2228.5,"METZTITLÁN","TASQUILLO","Región Zacualtipán","Región Ixmiquilpan"
37,59,0.483870967741935,1685,2092.5,"METZTITLÁN","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
37,81,0.407407407407407,1685,7222.5,"METZTITLÁN","ZACUALTIPÁN DE ÁNGELES","Región Zacualtipán","Región Zacualtipán"
40,43,0.358974358974359,494.5,460,"LA MISIÓN","NICOLÁS FLORES","Región Jacala","Región Ixmiquilpan"
40,71,0.533333333333333,494.5,250.5,"LA MISIÓN","TLAHUILTEPA","Región Jacala","Región Zacualtipán"
41,50,0.472972972972973,8409.5,6481.5,"MIXQUIAHUALA DE JUÁREZ","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
41,67,0.459459459459459,8409.5,6766,"MIXQUIAHUALA DE JUÁREZ","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
42,60,0.463768115942029,1726,1207.5,"MOLANGO DE ESCAMILLA","TENANGO DE DORIA","Región Zacualtipán","Región Tulancingo"
43,80,0.358974358974359,460,1596,"NICOLÁS FLORES","YAHUALICA","Región Ixmiquilpan","Región Huejutla"
48,77,0.384615384615385,117625.5,39202,"PACHUCA DE SOTO","TULANCINGO DE BRAVO","Región Pachuca","Región Tulancingo"
49,73,0.412698412698413,1092,1933,"PISAFLORES","TLANCHINOL","Región Jacala","Región Huejutla"
51,76,0.305389221556886,27500.5,30082.5,"MINERAL DE LA REFORMA","TULA DE ALLENDE","Región Mineral de la Reforma","Región Tula"
52,54,0.341772151898734,3445.5,1912.5,"SAN AGUSTÍN TLAXIACA","SAN SALVADOR","Región Pachuca","Región Actopan"
53,60,0.5,1912,1207.5,"SAN BARTOLO TUTOTEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
54,58,0.465116279069767,1912.5,2228.5,"SAN SALVADOR","TASQUILLO","Región Actopan","Región Ixmiquilpan"
54,65,0.455696202531646,1912.5,1650,"SAN SALVADOR","TETEPANGO","Región Actopan","Región Tula"
56,70,0.411764705882353,4284.5,3779.5,"SANTIAGO TULANTEPEC DE LUGO GUERRERO","TLAHUELILPAN","Región Tulancingo","Región Tula"
58,59,0.483870967741935,2228.5,2092.5,"TASQUILLO","TECOZAUTLA","Región Ixmiquilpan","Región Huichapan"
58,65,0.511627906976744,2228.5,1650,"TASQUILLO","TETEPANGO","Región Ixmiquilpan","Región Tula"
58,66,0.465909090909091,2228.5,2271,"TASQUILLO","VILLA DE TEZONTEPEC","Región Ixmiquilpan","Región Tizayuca"
60,73,0.46031746031746,1207.5,1933,"TENANGO DE DORIA","TLANCHINOL","Región Tulancingo","Región Huejutla"
61,74,0.321917808219178,14707,6198,"TEPEAPULCO","TLAXCOAPAN","Región Apan","Región Tula"
62,78,0.378378378378378,524,881.5,"TEPEHUACÁN DE GUERRERO","XOCHIATIPAN","Región Zacualtipán","Región Huejutla"
62,79,0.483870967741935,524,534,"TEPEHUACÁN DE GUERRERO","XOCHICOATLÁN","Región Zacualtipán","Región Zacualtipán"
63,74,0.278688524590164,16774,6198,"TEPEJI DEL RÍO DE OCAMPO","TLAXCOAPAN","Región Tula","Región Tula"
65,66,0.477272727272727,1650,2271,"TETEPANGO","VILLA DE TEZONTEPEC","Región Tula","Región Tizayuca"
65,75,0.417721518987342,1650,2621,"TETEPANGO","TOLCAYUCA","Región Tula","Región Tizayuca"
66,83,0.421052631578947,2271,3432.5,"VILLA DE TEZONTEPEC","ZEMPOALA","Región Tizayuca","Región Tizayuca"
67,70,0.487179487179487,6766,3779.5,"TEZONTEPEC DE ALDAMA","TLAHUELILPAN","Región Tula","Región Tula"
67,74,0.5,6766,6198,"TEZONTEPEC DE ALDAMA","TLAXCOAPAN","Región Tula","Región Tula"
70,74,0.475409836065574,3779.5,6198,"TLAHUELILPAN","TLAXCOAPAN","Región Tula","Región Tula"
75,82,0.407407407407407,2621,3899.5,"TOLCAYUCA","ZAPOTLÁN DE JUÁREZ","Región Tizayuca","Región Pachuca"
