"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,60,0.432098765432099,1247.5,1449.5,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,37,0.448979591836735,4162.5,2111.5,"ACAXOCHITLÁN","METZTITLÁN","Región Tulancingo","Región Zacualtipán"
2,39,0.397959183673469,4162.5,3800,"ACAXOCHITLÁN","MINERAL DEL MONTE","Región Tulancingo","Región Mineral de la Reforma"
3,30,0.476635514018692,19049,23523,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
4,35,0.471264367816092,1305.5,1009,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,49,0.459770114942529,1305.5,1258,"AGUA BLANCA DE ITURBIDE","PISAFLORES","Región Tulancingo","Región Jacala"
4,60,0.471264367816092,1305.5,1449.5,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,23,0.485294117647059,3336.5,6556,"AJACUBA","FRANCISCO I. MADERO","Región Tula","Región Actopan"
5,54,0.460176991150442,3336.5,3005.5,"AJACUBA","SAN SALVADOR","Región Tula","Región Actopan"
5,65,0.450980392156863,3336.5,2185.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
5,67,0.452554744525547,3336.5,9245,"AJACUBA","TEZONTEPEC DE ALDAMA","Región Tula","Región Tula"
6,58,0.452631578947368,2058.5,2682,"ALFAJAYUCAN","TASQUILLO","Región Ixmiquilpan","Región Ixmiquilpan"
6,65,0.484210526315789,2058.5,2185.5,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
7,25,0.489130434782609,1685.5,1622.5,"ALMOLOYA","HUAUTLA","Región Apan","Región Huejutla"
7,57,0.369565217391304,1685.5,2460.5,"ALMOLOYA","SINGUILUCAN","Región Apan","Región Tulancingo"
7,65,0.505263157894737,1685.5,2185.5,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
8,50,0.485380116959064,9725.5,7542,"APAN","PROGRESO DE OBREGÓN","Región Apan","Región Actopan"
8,61,0.327485380116959,9725.5,18812.5,"APAN","TEPEAPULCO","Región Apan","Región Apan"
9,19,0.412698412698413,1322,980,"EL ARENAL","CHILCUAUTLA","Región Actopan","Región Ixmiquilpan"
9,22,0.393939393939394,1322,1217.5,"EL ARENAL","EPAZOYUCAN","Región Actopan","Región Mineral de la Reforma"
10,13,0.203252032520325,11343,9608,"ATITALAQUIA","ATOTONILCO DE TULA","Región Tula","Región Tula"
11,25,0.489130434782609,2187.5,1622.5,"ATLAPEXCO","HUAUTLA","Región Huejutla","Región Huejutla"
12,23,0.510489510489511,4523.5,6556,"ATOTONILCO EL GRANDE","FRANCISCO I. MADERO","Región Zacualtipán","Región Actopan"
12,29,0.427586206896552,4523.5,8125.5,"ATOTONILCO EL GRANDE","HUICHAPAN","Región Zacualtipán","Región Huichapan"
12,50,0.475308641975309,4523.5,7542,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,59,0.461538461538462,4523.5,2903,"ATOTONILCO EL GRANDE","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
12,67,0.48951048951049,4523.5,9245,"ATOTONILCO EL GRANDE","TEZONTEPEC DE ALDAMA","Región Zacualtipán","Región Tula"
12,84,0.377622377622378,4523.5,7757,"ATOTONILCO EL GRANDE","ZIMAPÁN","Región Zacualtipán","Región Ixmiquilpan"
13,59,0.300813008130081,9608,2903,"ATOTONILCO DE TULA","TECOZAUTLA","Región Tula","Región Huichapan"
14,17,0.505494505494505,1849,1161.5,"CALNALI","CHAPANTONGO","Región Huejutla","Región Huichapan"
14,18,0.472527472527473,1849,1908,"CALNALI","CHAPULHUACÁN","Región Huejutla","Región Jacala"
14,25,0.532608695652174,1849,1622.5,"CALNALI","HUAUTLA","Región Huejutla","Región Huejutla"
14,27,0.494505494505495,1849,1928.5,"CALNALI","HUEHUETLA","Región Huejutla","Región Tulancingo"
14,53,0.461538461538462,1849,1861,"CALNALI","SAN BARTOLO TUTOTEPEC","Región Huejutla","Región Tulancingo"
14,73,0.464646464646465,1849,2312,"CALNALI","TLANCHINOL","Región Huejutla","Región Huejutla"
15,26,0.358974358974359,1087,532,"CARDONAL","HUAZALINGO","Región Ixmiquilpan","Región Huejutla"
16,23,0.485507246376812,7866,6556,"CUAUTEPEC DE HINOJOSA","FRANCISCO I. MADERO","Región Tulancingo","Región Actopan"
16,67,0.521739130434783,7866,9245,"CUAUTEPEC DE HINOJOSA","TEZONTEPEC DE ALDAMA","Región Tulancingo","Región Tula"
17,25,0.467391304347826,1161.5,1622.5,"CHAPANTONGO","HUAUTLA","Región Huichapan","Región Huejutla"
17,27,0.470588235294118,1161.5,1928.5,"CHAPANTONGO","HUEHUETLA","Región Huichapan","Región Tulancingo"
18,49,0.453488372093023,1908,1258,"CHAPULHUACÁN","PISAFLORES","Región Jacala","Región Jacala"
20,33,0.478260869565217,383.5,364.5,"ELOXOCHITLÁN","JUÁREZ HIDALGO","Región Zacualtipán","Región Zacualtipán"
20,34,0.315789473684211,383.5,659.5,"ELOXOCHITLÁN","LOLOTLA","Región Zacualtipán","Región Huejutla"
20,47,0.380952380952381,383.5,360.5,"ELOXOCHITLÁN","PACULA","Región Zacualtipán","Región Jacala"
20,71,0.478260869565217,383.5,412.5,"ELOXOCHITLÁN","TLAHUILTEPA","Región Zacualtipán","Región Zacualtipán"
21,75,0.468468468468468,2986.5,3939.5,"EMILIANO ZAPATA","TOLCAYUCA","Región Apan","Región Tizayuca"
22,49,0.38961038961039,1217.5,1258,"EPAZOYUCAN","PISAFLORES","Región Mineral de la Reforma","Región Jacala"
23,46,0.463235294117647,6556,4369,"FRANCISCO I. MADERO","SAN FELIPE ORIZATLÁN","Región Actopan","Región Huejutla"
23,50,0.462962962962963,6556,7542,"FRANCISCO I. MADERO","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
23,54,0.463235294117647,6556,3005.5,"FRANCISCO I. MADERO","SAN SALVADOR","Región Actopan","Región Actopan"
23,56,0.419117647058824,6556,6631,"FRANCISCO I. MADERO","SANTIAGO TULANTEPEC DE LUGO GUERRERO","Región Actopan","Región Tulancingo"
23,67,0.635036496350365,6556,9245,"FRANCISCO I. MADERO","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
23,74,0.492647058823529,6556,8630.5,"FRANCISCO I. MADERO","TLAXCOAPAN","Región Actopan","Región Tula"
23,82,0.455882352941176,6556,5064.5,"FRANCISCO I. MADERO","ZAPOTLÁN DE JUÁREZ","Región Actopan","Región Pachuca"
24,38,0.369565217391304,1287,576,"HUASCA DE OCAMPO","MINERAL DEL CHICO","Región Mineral de la Reforma","Región Mineral de la Reforma"
25,27,0.478260869565217,1622.5,1928.5,"HUAUTLA","HUEHUETLA","Región Huejutla","Región Tulancingo"
25,49,0.489130434782609,1622.5,1258,"HUAUTLA","PISAFLORES","Región Huejutla","Región Jacala"
25,65,0.463157894736842,1622.5,2185.5,"HUAUTLA","TETEPANGO","Región Huejutla","Región Tula"
25,73,0.484848484848485,1622.5,2312,"HUAUTLA","TLANCHINOL","Región Huejutla","Región Huejutla"
26,40,0.5,532,558,"HUAZALINGO","LA MISIÓN","Región Huejutla","Región Jacala"
26,79,0.368421052631579,532,560,"HUAZALINGO","XOCHICOATLÁN","Región Huejutla","Región Zacualtipán"
26,80,0.425,532,1762.5,"HUAZALINGO","YAHUALICA","Región Huejutla","Región Huejutla"
27,32,0.405405405405405,1928.5,2386.5,"HUEHUETLA","JALTOCÁN","Región Tulancingo","Región Huejutla"
27,36,0.472972972972973,1928.5,980,"HUEHUETLA","SAN AGUSTÍN METZQUITITLÁN","Región Tulancingo","Región Zacualtipán"
27,42,0.472972972972973,1928.5,2228,"HUEHUETLA","MOLANGO DE ESCAMILLA","Región Tulancingo","Región Zacualtipán"
27,49,0.454545454545455,1928.5,1258,"HUEHUETLA","PISAFLORES","Región Tulancingo","Región Jacala"
27,53,0.539473684210526,1928.5,1861,"HUEHUETLA","SAN BARTOLO TUTOTEPEC","Región Tulancingo","Región Tulancingo"
27,60,0.527027027027027,1928.5,1449.5,"HUEHUETLA","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
27,78,0.405405405405405,1928.5,837,"HUEHUETLA","XOCHIATIPAN","Región Tulancingo","Región Huejutla"
28,30,0.392523364485981,22642.5,23523,"HUEJUTLA DE REYES","IXMIQUILPAN","Región Huejutla","Región Ixmiquilpan"
30,41,0.453271028037383,23523,11448,"IXMIQUILPAN","MIXQUIAHUALA DE JUÁREZ","Región Ixmiquilpan","Región Actopan"
30,50,0.462616822429907,23523,7542,"IXMIQUILPAN","PROGRESO DE OBREGÓN","Región Ixmiquilpan","Región Actopan"
30,76,0.350467289719626,23523,34230.5,"IXMIQUILPAN","TULA DE ALLENDE","Región Ixmiquilpan","Región Tula"
30,77,0.415492957746479,23523,52897,"IXMIQUILPAN","TULANCINGO DE BRAVO","Región Ixmiquilpan","Región Tulancingo"
31,73,0.485981308411215,2426,2312,"JACALA DE LEDEZMA","TLANCHINOL","Región Jacala","Región Huejutla"
33,40,0.387096774193548,364.5,558,"JUÁREZ HIDALGO","LA MISIÓN","Región Zacualtipán","Región Jacala"
35,53,0.487179487179487,1009,1861,"METEPEC","SAN BARTOLO TUTOTEPEC","Región Tulancingo","Región Tulancingo"
35,65,0.473684210526316,1009,2185.5,"METEPEC","TETEPANGO","Región Tulancingo","Región Tula"
36,45,0.409836065573771,980,794,"SAN AGUSTÍN METZQUITITLÁN","OMITLÁN DE JUÁREZ","Región Zacualtipán","Región Mineral de la Reforma"
36,64,0.409836065573771,980,789,"SAN AGUSTÍN METZQUITITLÁN","TEPETITLÁN","Región Zacualtipán","Región Tula"
37,73,0.505050505050505,2111.5,2312,"METZTITLÁN","TLANCHINOL","Región Zacualtipán","Región Huejutla"
37,81,0.275510204081633,2111.5,10037,"METZTITLÁN","ZACUALTIPÁN DE ÁNGELES","Región Zacualtipán","Región Zacualtipán"
38,43,0.326086956521739,576,493,"MINERAL DEL CHICO","NICOLÁS FLORES","Región Mineral de la Reforma","Región Ixmiquilpan"
40,43,0.428571428571429,558,493,"LA MISIÓN","NICOLÁS FLORES","Región Jacala","Región Ixmiquilpan"
41,50,0.482352941176471,11448,7542,"MIXQUIAHUALA DE JUÁREZ","PROGRESO DE OBREGÓN","Región Actopan","Región Actopan"
41,67,0.476470588235294,11448,9245,"MIXQUIAHUALA DE JUÁREZ","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
42,53,0.486842105263158,2228,1861,"MOLANGO DE ESCAMILLA","SAN BARTOLO TUTOTEPEC","Región Zacualtipán","Región Tulancingo"
43,78,0.428571428571429,493,837,"NICOLÁS FLORES","XOCHIATIPAN","Región Ixmiquilpan","Región Huejutla"
44,62,0.351851851851852,1320.5,889,"NOPALA DE VILLAGRÁN","TEPEHUACÁN DE GUERRERO","Región Huichapan","Región Zacualtipán"
46,67,0.45985401459854,4369,9245,"SAN FELIPE ORIZATLÁN","TEZONTEPEC DE ALDAMA","Región Huejutla","Región Tula"
48,77,0.373088685015291,137976.5,52897,"PACHUCA DE SOTO","TULANCINGO DE BRAVO","Región Pachuca","Región Tulancingo"
49,55,0.428571428571429,1258,1229,"PISAFLORES","SANTIAGO DE ANAYA","Región Jacala","Región Actopan"
49,60,0.454545454545455,1258,1449.5,"PISAFLORES","TENANGO DE DORIA","Región Jacala","Región Tulancingo"
50,67,0.450617283950617,7542,9245,"PROGRESO DE OBREGÓN","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
51,69,0.354679802955665,35695,37316.5,"MINERAL DE LA REFORMA","TIZAYUCA","Región Mineral de la Reforma","Región Tizayuca"
51,77,0.309859154929577,35695,52897,"MINERAL DE LA REFORMA","TULANCINGO DE BRAVO","Región Mineral de la Reforma","Región Tulancingo"
52,58,0.353535353535354,5264,2682,"SAN AGUSTÍN TLAXIACA","TASQUILLO","Región Pachuca","Región Ixmiquilpan"
53,60,0.592105263157895,1861,1449.5,"SAN BARTOLO TUTOTEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
54,65,0.47787610619469,3005.5,2185.5,"SAN SALVADOR","TETEPANGO","Región Actopan","Región Tula"
54,67,0.503649635036496,3005.5,9245,"SAN SALVADOR","TEZONTEPEC DE ALDAMA","Región Actopan","Región Tula"
54,70,0.452173913043478,3005.5,5145,"SAN SALVADOR","TLAHUELILPAN","Región Actopan","Región Tula"
58,65,0.452631578947368,2682,2185.5,"TASQUILLO","TETEPANGO","Región Ixmiquilpan","Región Tula"
62,79,0.363636363636364,889,560,"TEPEHUACÁN DE GUERRERO","XOCHICOATLÁN","Región Zacualtipán","Región Zacualtipán"
63,69,0.226600985221675,23469,37316.5,"TEPEJI DEL RÍO DE OCAMPO","TIZAYUCA","Región Tula","Región Tizayuca"
65,66,0.425925925925926,2185.5,3037.5,"TETEPANGO","VILLA DE TEZONTEPEC","Región Tula","Región Tizayuca"
65,72,0.442105263157895,2185.5,2233.5,"TETEPANGO","TLANALAPA","Región Tula","Región Apan"
65,75,0.459183673469388,2185.5,3939.5,"TETEPANGO","TOLCAYUCA","Región Tula","Región Tizayuca"
67,70,0.45985401459854,9245,5145,"TEZONTEPEC DE ALDAMA","TLAHUELILPAN","Región Tula","Región Tula"
67,74,0.518248175182482,9245,8630.5,"TEZONTEPEC DE ALDAMA","TLAXCOAPAN","Región Tula","Región Tula"
68,78,0.448979591836735,858,837,"TIANGUISTENGO","XOCHIATIPAN","Región Zacualtipán","Región Huejutla"
82,83,0.439655172413793,5064.5,5477,"ZAPOTLÁN DE JUÁREZ","ZEMPOALA","Región Pachuca","Región Tizayuca"
