"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
111193,316213,"Cultivo de cebada grano","Fabricación de calzado de plástico",0.666666666666667,25.5,88.5,0.588790971178608,0.26972757161524,11,31,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
111193,332720,"Cultivo de cebada grano","Fabricación de tornillos, tuercas, remaches y similares",0.666666666666667,25.5,196,0.588790971178608,0.324093989732667,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
111416,326220,"Cultivo de pepino en invernaderos y otras estructuras agrícolas protegidas","Fabricación de bandas y mangueras de hule y de plástico",0.5,5,104.5,0.295199930788011,0.313578101684525,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
111416,623212,"Cultivo de pepino en invernaderos y otras estructuras agrícolas protegidas","Residencias del sector público para el cuidado de personas con problemas de retardo mental",0.5,5,20.5,0.295199930788011,0.3480305972451,11,62,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de salud y de asistencia social"
111942,311924,"Cultivo de pastos","Preparación y envasado de té",1,2.5,20.5,0.43647125826256,0.356553178932018,11,31,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
111942,335930,"Cultivo de pastos","Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas",1,2.5,8,0.43647125826256,0.262827037467836,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
111942,561210,"Cultivo de pastos","Servicios combinados de apoyo en instalaciones",1,2.5,178,0.43647125826256,0.247031483228451,11,56,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
111942,562111,"Cultivo de pastos","Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos",1,2.5,106,0.43647125826256,0.317719159030972,11,56,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
112212,339912,"Explotación de porcinos en traspatio","Orfebrería y joyería de metales y piedras preciosos",0.5,12.5,32.5,0.499731351277701,0.299824515560643,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
112212,436111,"Explotación de porcinos en traspatio","Comercio al por mayor de camiones",0.5,12.5,165,0.499731351277701,0.322056987545746,11,43,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Comercio al por mayor"
112212,541722,"Explotación de porcinos en traspatio","Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector público",0.333333333333333,12.5,10.5,0.499731351277701,0.347398718618247,11,54,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios profesionales, científicos y técnicos"
112410,327121,"Explotación de ovinos","Fabricación de ladrillos no refractarios",0.5,168,175,0.48296648325167,0.389323809913908,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
112410,811114,"Explotación de ovinos","Reparación de transmisiones de automóviles y camiones",0.5,168,386.5,0.48296648325167,0.361037624336601,11,81,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Otros servicios excepto actividades gubernamentales"
112420,327214,"Explotación de caprinos","Fabricación de fibra de vidrio",0.5,7.5,7.5,0.414712445226205,0.266640261983118,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
112420,333243,"Explotación de caprinos","Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas",0.666666666666667,7.5,15.5,0.414712445226205,0.314183380520217,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
