"estado","NOM_ENT","NOM_ABR","region","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
1,"AGUASCALIENTES","AGS","Centronorte",11,13.8181818181818,11,15,10,14.3,9,14,9,13.7777777777778,9,13.8888888888889,10,13.3,10,13.4,11,14.0909090909091,10,14.5,12,13.9166666666667,12,13.75,12,13.75,11,13.9090909090909,11,13.7272727272727,10,14.2,10,14.1,10,13.6
2,"BAJA CALIFORNIA","BC","Noroeste",11,15.0909090909091,8,15.875,9,14.8888888888889,9,15.3333333333333,9,14.5555555555556,9,13.5555555555556,10,14.1,10,14.8,10,13.7,11,14.2727272727273,9,15.3333333333333,9,15.2222222222222,9,15.3333333333333,9,15.2222222222222,10,14.5,10,14.2,11,15,11,13.5454545454545
3,"BAJA CALIFORNIA SUR","BCS","Noroeste",14,15.4285714285714,12,16.0833333333333,12,15.9166666666667,12,16.0833333333333,12,16.25,12,16.25,12,16.0833333333333,12,15.9166666666667,12,14.5833333333333,11,15.0909090909091,11,15.0909090909091,11,15,10,15.1,11,14.9090909090909,11,14.8181818181818,12,14,12,13.8333333333333,15,13.6666666666667
4,"CAMPECHE","CAMP","Suroeste",11,15.1818181818182,11,16,10,16.5,11,15.8181818181818,11,16.1818181818182,10,15.8,11,16.6363636363636,12,16.6666666666667,12,15.6666666666667,12,16.0833333333333,12,16.75,12,16.8333333333333,12,16.8333333333333,12,16.9166666666667,12,16.6666666666667,12,15.9166666666667,12,16.25,13,15.6153846153846
5,"COAHUILA DE ZARAGOZA","COAH","Noreste",9,14.6666666666667,11,14.5454545454545,10,14,10,14.4,11,15.2727272727273,12,14.8333333333333,12,15,9,13.4444444444444,13,14.1538461538462,12,13.8333333333333,9,13.5555555555556,9,13.6666666666667,9,13.5555555555556,9,13.5555555555556,10,13.8,10,13.2,11,13,11,13.8181818181818
6,"COLIMA","COL","Occidente",13,16.0769230769231,14,16.4285714285714,14,16.2142857142857,14,16.4285714285714,14,16.6428571428571,13,16.3076923076923,9,16.5555555555556,8,16.25,9,15.8888888888889,9,16.5555555555556,14,16.2142857142857,14,16.2142857142857,14,16.2142857142857,14,16.2142857142857,14,15.9285714285714,12,16.0833333333333,13,15.9230769230769,12,15.8333333333333
7,"CHIAPAS","CHIS","Sureste",6,15.3333333333333,6,17.5,6,17.5,6,17,6,17.3333333333333,6,16,6,17.6666666666667,6,17.6666666666667,8,17.25,8,17.25,7,17.5714285714286,7,17.5714285714286,7,17.7142857142857,7,17.7142857142857,7,17.7142857142857,6,17.5,6,17.1666666666667,6,16.6666666666667
8,"CHIHUAHUA","CHIH","Noroeste",11,15.7272727272727,11,15.1818181818182,12,14.5833333333333,12,15.75,10,16.1,10,15.3,10,16.4,10,15.5,14,14,14,14.4285714285714,13,14.6153846153846,13,14.6923076923077,13,14.6923076923077,13,14.6923076923077,13,14.5384615384615,11,14,10,15.2,10,14.8
9,"CIUDAD DE MÉXICO","CDMX","Centrosur",14,13.5,14,12.4285714285714,14,12.5714285714286,14,12.9285714285714,14,12.7857142857143,13,13,14,12.9285714285714,15,13.0666666666667,12,13.0833333333333,11,12.5454545454545,14,13.1428571428571,14,13.1428571428571,14,13.0714285714286,14,13.0714285714286,14,12.6428571428571,14,13.0714285714286,15,13.6,14,13.5714285714286
10,"DURANGO","DGO","Noroeste",10,15.4,10,15.9,9,16.3333333333333,11,15.7272727272727,9,16.3333333333333,9,16.4444444444444,12,15.9166666666667,12,15.3333333333333,12,15.3333333333333,12,15.9166666666667,10,15.4,10,15.4,11,16,11,15.9090909090909,11,16.1818181818182,12,14.9166666666667,12,15.5,12,14.6666666666667
11,"GUANAJUATO","GTO","Centronorte",8,14.375,7,13.1428571428571,7,13.1428571428571,7,13.2857142857143,7,13.2857142857143,6,14.1666666666667,6,14.1666666666667,6,14,6,13,5,13.6,5,12.4,5,12.4,5,12.4,5,12.4,5,12.2,5,12.4,5,12.4,4,11.25
12,"GUERRERO","GRO","Sureste",10,15.6,9,16.3333333333333,9,16.3333333333333,9,16,9,16.1111111111111,9,16,10,16.8,10,16.8,10,16.2,10,16.3,9,16.7777777777778,9,16.7777777777778,9,16.8888888888889,9,16.8888888888889,9,16.8888888888889,8,16.5,8,16.375,8,15.625
13,"HIDALGO","HGO","Oriente",8,16.75,7,17.5714285714286,7,17.4285714285714,7,17.1428571428571,8,17.75,7,17.2857142857143,9,17.8888888888889,8,17.375,7,16.8571428571429,7,17.4285714285714,7,17.1428571428571,7,17.1428571428571,7,17.2857142857143,7,17.2857142857143,7,17.2857142857143,6,16.6666666666667,6,15.5,7,15.2857142857143
14,"JALISCO","JAL","Occidente",12,13.1666666666667,12,11.75,12,11.9166666666667,11,12.2727272727273,11,12.2727272727273,10,12.8,11,13.1818181818182,11,12.6363636363636,11,13,11,12.5454545454545,10,12.9,10,12.8,10,12.8,10,12.8,10,12.3,11,12.6363636363636,11,12.7272727272727,11,12.5454545454545
15,"MÉXICO","MEX","Centrosur",6,11.8333333333333,6,13.6666666666667,6,13.8333333333333,6,13.8333333333333,6,13.6666666666667,5,12.4,7,14.4285714285714,7,14.1428571428571,6,13,6,14,6,14.6666666666667,6,14.6666666666667,6,14.8333333333333,6,14.8333333333333,6,14.6666666666667,7,14.1428571428571,7,14.5714285714286,5,13.8
16,"MICHOACÁN DE OCAMPO","MICH","Occidente",11,14.9090909090909,9,16.6666666666667,9,16.6666666666667,10,16.1,10,15.9,9,15.4444444444444,10,16.8,10,16.4,10,16.3,10,16.1,12,15.4166666666667,12,15.4166666666667,12,15.5,12,15.5,11,16.1818181818182,10,15.8,9,15.8888888888889,8,15.25
17,"MORELOS","MOR","Centrosur",8,16.25,10,16.4,10,16.5,10,16.4,10,16.4,9,15.8888888888889,10,16.8,10,16.6,10,16.4,10,16.6,8,17.375,9,17,9,17,9,17.1111111111111,8,17.5,9,15.8888888888889,9,16.1111111111111,9,15.7777777777778
18,"NAYARIT","NAY","Occidente",10,17.3,9,18.5555555555556,9,18.4444444444444,10,17.7,10,17.8,9,17.5555555555556,11,17.5454545454545,11,17.5454545454545,8,17.375,9,17.5555555555556,9,17.3333333333333,9,17.2222222222222,9,17.3333333333333,9,17.3333333333333,9,17.3333333333333,10,16.8,10,16.9,8,16.25
19,"NUEVO LEÓN","NL","Noreste",12,12.6666666666667,12,11.5833333333333,12,11.5,12,12,12,12.0833333333333,12,12.3333333333333,12,12.1666666666667,11,11.7272727272727,13,12,13,11.7692307692308,13,11.6923076923077,13,11.6923076923077,13,11.6153846153846,13,11.6153846153846,13,11.3076923076923,13,11.6923076923077,13,12.0769230769231,13,12
20,"OAXACA","OAX","Sureste",6,16.1666666666667,8,17.125,8,17.125,8,16.75,8,16.875,7,16.2857142857143,8,17.125,8,17.125,8,16.875,8,16.875,8,16.75,8,16.75,8,16.875,8,16.875,8,16.875,7,16.5714285714286,7,16.2857142857143,7,15.7142857142857
21,"PUEBLA","PUE","Oriente",4,12.25,4,14,4,14,4,13.75,4,13.75,3,11.6666666666667,5,14.8,5,14.2,3,12.6666666666667,4,14.5,4,14.5,4,14.5,4,14.75,4,14.75,4,14.75,4,14.75,5,14.4,3,13.6666666666667
22,"QUERÉTARO","QRO","Centronorte",11,13.1818181818182,10,11.7,10,11.6,10,12.2,10,12.3,9,12.4444444444444,10,12.2,10,11.7,12,12.0833333333333,10,11.5,9,12.2222222222222,9,12.1111111111111,9,12.1111111111111,9,12.1111111111111,8,11.875,9,12.2222222222222,11,12,11,11.6363636363636
23,"QUINTANA ROO","Q ROO","Suroeste",10,13.4,8,14.5,8,14.5,8,14.5,9,15.4444444444444,10,14.9,9,15.7777777777778,9,15.6666666666667,7,14.2857142857143,7,13.8571428571429,7,14.1428571428571,7,14.1428571428571,7,14,7,14.1428571428571,7,13.2857142857143,9,13.4444444444444,9,13.7777777777778,9,13.4444444444444
24,"SAN LUIS POTOSÍ","SLP","Centronorte",11,15.5454545454545,10,16.5,10,16.5,11,16.2727272727273,11,16.2727272727273,11,16.2727272727273,11,16.6363636363636,10,16.4,11,14.9090909090909,11,15.2727272727273,11,15.1818181818182,9,15.8888888888889,9,15.8888888888889,9,15.7777777777778,9,15.8888888888889,9,14.8888888888889,9,15.3333333333333,8,13.375
25,"SINALOA","SIN","Noroeste",15,15.3333333333333,16,15.0625,17,15.0588235294118,16,15.375,17,15.2352941176471,16,15.0625,17,15.4117647058824,17,15.1764705882353,16,15,16,15.5,16,15.6875,16,15.75,16,15.75,16,15.75,16,14.75,15,15.0666666666667,16,15.125,16,14.8125
