"CVEGEO","ICE_Personal_2015.","ICE_Personal_2016A","ICE_Personal_2016B","ICE_Personal_2017A","ICE_Personal_2017B","ICE_Personal_2018A","ICE_Personal_2018B","ICE_Personal_2019A","ICE_Personal_2019B","ICE_Personal_2020A","ICE_Personal_2020B","ICE_Personal_2021A","ICE_Personal_2021B","ICE_Personal_2022A","ICE_Personal_2022B","ICE_Personal_2023B","ICE_Personal_2024A","ICE_Personal_2024B","ICE_Unidades_2015.","ICE_Unidades_2016A","ICE_Unidades_2016B","ICE_Unidades_2017A","ICE_Unidades_2017B","ICE_Unidades_2018A","ICE_Unidades_2018B","ICE_Unidades_2019A","ICE_Unidades_2019B","ICE_Unidades_2020A","ICE_Unidades_2020B","ICE_Unidades_2021A","ICE_Unidades_2021B","ICE_Unidades_2022A","ICE_Unidades_2022B","ICE_Unidades_2023B","ICE_Unidades_2024A","ICE_Unidades_2024B"
"13001",-0.366605992893447,-0.344515210100608,-0.260157888264502,-0.278316764628398,-0.269876372905374,-0.497154661440323,-0.282970746405284,-0.247317596360513,-0.604710260138068,-0.573904373995001,-0.485287008718244,-0.290328917352954,-0.294722320567131,-0.291815036320472,-0.321368596198841,-0.31253589256952,-0.32049693347211,-0.0366937972639619,-0.329528623584347,-0.277572540337505,-0.22178541659098,-0.228145635440851,-0.213227829030088,-0.284161548806522,-0.225478042004006,-0.199436690212562,-0.470842391351364,-0.396626899575839,-0.38285737381031,-0.197439383971691,-0.201223219661583,-0.198641056419503,-0.203334297168723,-0.190466223078665,-0.212638714120386,0.0215846915723038
"13002",-0.479664838222834,-0.316765100965477,-0.339693145535244,-0.380560635636074,-0.338166083451099,-0.363446549804897,-0.258620946397451,-0.338762365375649,-0.305468662163865,-0.366981305882796,-0.303673405544335,-0.2975705632749,-0.284688238173858,-0.278417386899148,-0.261921145160525,-0.251198384679025,-0.258692237390751,-0.38890359258146,-0.327622835781013,-0.136391271623733,-0.170770938797709,-0.165981837268324,-0.176188422165861,-0.160781975948493,-0.14622168695616,-0.156898734348167,-0.219682300435542,-0.340158060272654,-0.262813139883773,-0.249942885743888,-0.214205869727272,-0.213841936485305,-0.220319298624673,-0.203852332565172,-0.204287306703646,-0.193293368811386
"13003",1.08971859008086,1.10311870211737,1.0847385887847,1.04751543618198,0.970232757946341,0.989879426709063,0.990179293683806,0.920481893335872,0.974903326225364,0.80215586551579,0.802616632944064,0.741335660906681,0.727336553518019,0.744066685786503,0.728483909388973,0.703674262228233,0.631324764423694,0.570117465603564,1.61009327744898,1.58266912429833,1.54426188383208,1.5479800504282,1.49332980181424,1.49239479423434,1.49434366882319,1.44904255654126,1.33881416589876,1.23265046084627,1.28736627631889,1.24575916344945,1.20281303904076,1.20319851633949,1.20581283604128,1.22557858199202,1.15631651133784,1.07135309138653
"13004",-0.487555791307085,-0.381970714181415,-0.364073614647269,-0.39562488250567,-0.405944215979104,-0.46456795770076,-0.424070955357026,-0.429103487783405,-0.452920057407888,-0.456234387282669,-0.46052460032292,-0.468932354526871,-0.460902582758694,-0.459042817377656,-0.478258426193751,-0.475818432873007,-0.47938293020261,-0.47936675203532,-0.361225315267281,-0.353063414494918,-0.359084365044737,-0.367466511433323,-0.366094764907227,-0.494727834367001,-0.364018895566566,-0.365227166589358,-0.356680535738916,-0.362696823488301,-0.333444840768154,-0.343778484434905,-0.324544756608138,-0.324973019444283,-0.324399344707564,-0.319799621938417,-0.316364817981731,-0.3168199026283
"13005",-0.37830838670162,-0.279679236856004,-0.348342520873367,-0.316366616623739,-0.280696635238797,-0.225303074726297,-0.281889526123016,-0.274064639952646,-0.137076934904526,-0.217649610066843,-0.238415504793359,-0.257848458235362,-0.245748662708551,-0.238499928860872,-0.262295646468619,-0.283277816845678,-0.288734420761297,-0.276497737657974,-0.26997486025186,-0.274513753320946,-0.304049141727929,-0.308176558225743,-0.306346625141856,-0.23230572726558,-0.300688897646914,-0.296168595889017,-0.101640785467626,-0.165357416138172,-0.191021928893585,-0.215326097228015,-0.219701632050777,-0.216559241258039,-0.220036939915692,-0.269765649149645,-0.288768429678124,-0.229616065032229
"13006",-0.575728203208332,-0.532244137057639,-0.413364476261185,-0.472542007451588,-0.444083403573753,-0.4548139112299,-0.465934603461996,-0.458676053111023,-0.325495915213825,-0.375342738381303,-0.280190328939114,-0.295692996479466,-0.304574176268469,-0.306502073686361,-0.370871626483203,-0.373108964957532,-0.380120175175288,-0.284134643541245,-0.492638161856608,-0.432001609864897,-0.385539660147733,-0.417653730323245,-0.423598168086315,-0.378179244024998,-0.411807831102413,-0.410338190989174,-0.38759374281939,-0.384756527484404,-0.315571566457737,-0.308137879309383,-0.319921833576194,-0.319539781242584,-0.324739665400648,-0.333353566330297,-0.338288092927442,-0.275936124572721
"13007",-0.412705037437156,-0.486203026708754,-0.511775257044566,-0.503924180873515,-0.498958504616986,-0.554105109437024,-0.491713172834915,-0.485359244687382,-0.356482946699009,-0.237776984440093,-0.27649522446065,-0.284117800253288,-0.273408245024876,-0.267774478737397,-0.256411199256841,-0.14309338133424,-0.139715944534313,-0.21030255053897,-0.386012389774315,-0.383769017148292,-0.442873530104387,-0.44045160978757,-0.451179758566747,-0.508462651401116,-0.447233161877616,-0.430014655393005,-0.369351887805754,-0.328203193368562,-0.307457176102098,-0.318238888668274,-0.314108644743947,-0.294458350299395,-0.26915414567819,-0.208630351701302,-0.188591332506466,-0.133345745944593
"13008",0.707437425226813,0.699619644678263,0.692700744149211,0.68951632671792,0.653882027586329,0.67976403814965,0.650896880304944,0.662879847084854,0.857327059687835,0.922380365822921,0.867785058141827,0.860436008426979,0.860388248617209,0.864706528235253,0.80179724902461,0.782354647248777,0.78274148386227,0.517734836613676,1.28148234279586,1.2914225289786,1.27878601002052,1.29567520726463,1.25994708502449,1.30382118548458,1.24591546535178,1.24988080728759,1.28649981710558,1.33183981538206,1.24032721900434,1.23226700601367,1.23170383158709,1.23273854710461,1.25364346379117,1.25542106488694,1.21911742739923,0.845780360390245
"13009",-0.419454211599456,-0.476500469373398,-0.39663009444788,-0.401229708558878,-0.394555524319723,-0.352894506100391,-0.440172223413198,-0.442509117108032,-0.472274628285389,-0.513749674106061,-0.361332103057517,-0.39867108574622,-0.403604882547542,-0.404663260894046,-0.412399809795854,-0.41399872454171,-0.453706952799818,-0.299866235563768,-0.361008164918366,-0.44294128147935,-0.416641642441621,-0.415629062386692,-0.404444095167216,-0.360745950074401,-0.416850248410627,-0.407809328917745,-0.502886684463625,-0.51775613624253,-0.421870945056013,-0.44227180026798,-0.400299206229662,-0.406947276160769,-0.403925270377467,-0.422804850648898,-0.402480460011424,-0.207808000190068
"13010",1.1675019365038,1.67703241229865,1.97633030972998,2.36615023493137,2.37167666663193,2.52421222833176,2.0425073234589,2.28299412922737,1.49308130336135,1.49807537486898,2.2213347660768,2.33340938839357,2.34616782426958,2.27527232858101,2.34388306776654,2.43426115592875,2.74267384141457,1.87322417809943,0.885994588752038,1.06401537853862,1.21863756353718,1.2381428325924,1.20884552163139,1.24659356220261,1.22282262283923,1.29893658614084,1.04523812201894,0.989400483817608,1.06673946393562,1.09049604018335,1.09442251158238,1.10766600423418,1.10805178855029,1.04252018860741,1.15210655782844,0.99861919445347
"13011",-0.364866488321058,-0.427414815879157,-0.394815757406151,-0.366922085807632,-0.375810224781042,-0.45333563471643,-0.402077627425768,-0.392491867726662,-0.489911826738929,-0.385632185066118,-0.293772353576224,-0.301595507319614,-0.301282821176696,-0.308578137204283,-0.276822221217229,-0.386303629795433,-0.433717827720487,-0.33740545102461,-0.478968864352025,-0.466277902367745,-0.447512323865953,-0.449841871609995,-0.465325643245828,-0.530048782210919,-0.460460749902545,-0.457352772692382,-0.568346436845845,-0.465922992136978,-0.401144866000847,-0.431776220525622,-0.423318282476009,-0.424288234195333,-0.423392388509495,-0.49427997329559,-0.525525133958046,-0.405316598239881
"13012",0.107688718217611,0.0999128557925146,0.055824832247333,0.0307954715524004,0.0309300397718955,0.00914592491974408,0.0337814884428229,-0.00162815674892091,0.00616506768299152,-0.0381864170915071,-0.0246366758611364,-0.0492083159999023,-0.0501537168458241,-0.0505392363230052,-0.079781594079084,-0.0389176387219154,-0.0563239176103736,0.0444695706664358,0.306184377374108,0.286714127103258,0.266815078056333,0.245247125901551,0.24543113090601,0.155737688321131,0.244178557148212,0.248678018634698,0.128241873621854,0.0966359207869516,0.119425550466644,0.104967201827432,0.0816903832189189,0.0825183391188283,0.0788969227478425,0.129112548102651,0.124186420363506,0.375507365651919
"13013",0.811140579341021,0.921286036519455,0.953594653936259,1.01188824874838,1.00879824500696,0.99731328762813,0.961279002867437,1.00862509858202,1.25214777831599,1.33910826459248,1.63668441798579,1.6795156545647,1.74208895897931,1.73407363850479,1.70560643378736,1.67769802815936,1.62784695677191,1.52938263511528,0.892582853576803,0.868405730835941,0.948895139194762,0.95398764794455,0.903475685484717,0.866846859677967,0.875748037635847,0.885954231185233,1.11956092902763,1.1448563978415,1.25400872480209,1.23975136791557,1.30757240834358,1.30763158392636,1.32124792041662,1.35305816862817,1.33714621590567,1.26577781693773
"13014",-0.644458665551685,-0.729145943434208,-0.70178461703041,-0.704444942371194,-0.70343132883298,-0.732586514746046,-0.690422526761962,-0.695464524473016,-0.561424713025485,-0.55822588777287,-0.611342878577928,-0.602377248241671,-0.597450820447968,-0.60325098033706,-0.605556729376066,-0.634595340576505,-0.610262331516009,-0.635047004649311,-0.779400618508817,-0.786408130668086,-0.76361010922428,-0.761127479899651,-0.767673416571057,-0.793751808670789,-0.766401014756201,-0.763443471597862,-0.719695360587835,-0.69961467284575,-0.714056227324442,-0.718610589432788,-0.720267617911758,-0.717377354247539,-0.717903667460307,-0.721798901400912,-0.727847050844554,-0.655316853817245
"13015",-0.591187489902256,-0.561026190207045,-0.432705895410975,-0.384640921814096,-0.377416917099625,-0.425061038651924,-0.372223351036992,-0.421855390487715,-0.569480232155367,-0.632264503612003,-0.697991465610016,-0.709243503742018,-0.716423159594376,-0.714948663794889,-0.724008395251555,-0.755075582400733,-0.742407664208378,-1.03150486381307,-0.745227857243541,-0.636605482043913,-0.597884336966635,-0.59240383721986,-0.590798407671405,-0.606164635094708,-0.584296982927477,-0.645257723319591,-0.651365622385126,-0.699099099263435,-0.774692915148096,-0.784404617556616,-0.788714932953034,-0.792340233194088,-0.799512341255777,-0.805830788032062,-0.807877046426639,-1.10089594383861
"13016",0.134317592043878,0.0885473385944248,0.0798343224292546,0.135395440685644,0.131961177413465,0.0997323850776816,0.140053979650937,0.100264303366916,0.181885868435814,0.217206068028322,0.20041515417492,0.24407473834468,0.262425383101835,0.266461830622563,0.30427007257959,0.213718209542974,0.191993159895862,0.318713863309112,0.541167957793785,0.393632633913146,0.410214630067475,0.451557909321694,0.443826243343499,0.415640097705806,0.430940630913268,0.393762379347303,0.700427130570408,0.66354829442452,0.602638176637633,0.625700436005041,0.633533691523769,0.634962575435434,0.634404332550912,0.583517937501702,0.536547110570677,0.779372718025034
