"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","COAHUILA DE ZARAGOZA",0.447058823529412,342504,765779.5,"AGS","COAH"
"AGUASCALIENTES","CHIHUAHUA",0.411764705882353,342504,850641.5,"AGS","CHIH"
"AGUASCALIENTES","GUANAJUATO",0.416666666666667,342504,1371555,"AGS","GTO"
"AGUASCALIENTES","JALISCO",0.431072210065646,342504,2033343.5,"AGS","JAL"
"AGUASCALIENTES","QUERÉTARO",0.433766233766234,342504,546791,"AGS","QRO"
"AGUASCALIENTES","SAN LUIS POTOSÍ",0.419642857142857,342504,595740,"AGS","SLP"
"AGUASCALIENTES","SONORA",0.440233236151603,342504,770223,"AGS","SON"
"BAJA CALIFORNIA","COAHUILA DE ZARAGOZA",0.452449567723343,893207.5,765779.5,"BC","COAH"
"BAJA CALIFORNIA","CHIHUAHUA",0.481268011527378,893207.5,850641.5,"BC","CHIH"
"BAJA CALIFORNIA","JALISCO",0.417943107221007,893207.5,2033343.5,"BC","JAL"
"BAJA CALIFORNIA","NUEVO LEÓN",0.465811965811966,893207.5,1421802,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.418181818181818,893207.5,546791,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.481268011527378,893207.5,770223,"BC","SON"
"BAJA CALIFORNIA","TAMAULIPAS",0.452449567723343,893207.5,820097.5,"BC","TAMPS"
"BAJA CALIFORNIA SUR","CAMPECHE",0.451327433628319,232042,245536.5,"BCS","CAMP"
"BAJA CALIFORNIA SUR","COLIMA",0.469135802469136,232042,211632.5,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.5,232042,285871,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.52212389380531,232042,436337,"BCS","Q ROO"
"BAJA CALIFORNIA SUR","SINALOA",0.424137931034483,232042,706519,"BCS","SIN"
"CAMPECHE","COLIMA",0.448559670781893,245536.5,211632.5,"CAMP","COL"
"CAMPECHE","NAYARIT",0.412280701754386,245536.5,285871,"CAMP","NAY"
"CAMPECHE","QUINTANA ROO",0.436363636363636,245536.5,436337,"CAMP","Q ROO"
"CAMPECHE","TABASCO",0.495726495726496,245536.5,445707.5,"CAMP","TAB"
"CAMPECHE","YUCATÁN",0.394927536231884,245536.5,618330.5,"CAMP","YUC"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.544117647058823,765779.5,850641.5,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.461538461538462,765779.5,1421802,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.436363636363636,765779.5,546791,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.461764705882353,765779.5,595740,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.463556851311953,765779.5,770223,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.455882352941176,765779.5,820097.5,"COAH","TAMPS"
"COLIMA","NAYARIT",0.526748971193416,211632.5,285871,"COL","NAY"
"COLIMA","SINALOA",0.444827586206897,211632.5,706519,"COL","SIN"
"COLIMA","TABASCO",0.432098765432099,211632.5,445707.5,"COL","TAB"
"CHIAPAS","GUERRERO",0.49047619047619,833628.5,694097.5,"CHIS","GRO"
"CHIAPAS","NAYARIT",0.407894736842105,833628.5,285871,"CHIS","NAY"
"CHIAPAS","OAXACA",0.557603686635945,833628.5,837874,"CHIS","OAX"
"CHIAPAS","TABASCO",0.444444444444444,833628.5,445707.5,"CHIS","TAB"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.462686567164179,833628.5,1462529,"CHIS","VER"
"CHIAPAS","ZACATECAS",0.417322834645669,833628.5,307685,"CHIS","ZAC"
"CHIHUAHUA","DURANGO",0.414705882352941,850641.5,374890,"CHIH","DGO"
"CHIHUAHUA","NUEVO LEÓN",0.431623931623932,850641.5,1421802,"CHIH","NL"
"CHIHUAHUA","QUERÉTARO",0.431168831168831,850641.5,546791,"CHIH","QRO"
"CHIHUAHUA","SINALOA",0.417647058823529,850641.5,706519,"CHIH","SIN"
"CHIHUAHUA","SONORA",0.495626822157434,850641.5,770223,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.429411764705882,850641.5,820097.5,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.520255863539446,3304894,2033343.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.511727078891258,3304894,1421802,"CDMX","NL"
"CIUDAD DE MÉXICO","QUERÉTARO",0.417910447761194,3304894,546791,"CDMX","QRO"
"DURANGO","SINALOA",0.4,374890,706519,"DGO","SIN"
"DURANGO","ZACATECAS",0.454545454545455,374890,307685,"DGO","ZAC"
"GUERRERO","OAXACA",0.511520737327189,694097.5,837874,"GRO","OAX"
"HIDALGO","MÉXICO",0.418282548476454,550724.5,2879791.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.459183673469388,550724.5,999441.5,"HGO","MICH"
"HIDALGO","MORELOS",0.438775510204082,550724.5,470963,"HGO","MOR"
"HIDALGO","PUEBLA",0.479591836734694,550724.5,1331454,"HGO","PUE"
"HIDALGO","TLAXCALA",0.459183673469388,550724.5,305554,"HGO","TLAX"
"HIDALGO","ZACATECAS",0.442176870748299,550724.5,307685,"HGO","ZAC"
"JALISCO","MÉXICO",0.439824945295405,2033343.5,2879791.5,"JAL","MEX"
"JALISCO","NUEVO LEÓN",0.555555555555556,2033343.5,1421802,"JAL","NL"
"JALISCO","QUERÉTARO",0.479212253829322,2033343.5,546791,"JAL","QRO"
"MÉXICO","PUEBLA",0.404432132963989,2879791.5,1331454,"MEX","PUE"
"MÉXICO","QUERÉTARO",0.423376623376623,2879791.5,546791,"MEX","QRO"
"MICHOACÁN DE OCAMPO","PUEBLA",0.409090909090909,999441.5,1331454,"MICH","PUE"
"MICHOACÁN DE OCAMPO","SINALOA",0.4,999441.5,706519,"MICH","SIN"
"MICHOACÁN DE OCAMPO","VERACRUZ DE IGNACIO DE LA LLAVE",0.444055944055944,999441.5,1462529,"MICH","VER"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.493006993006993,999441.5,307685,"MICH","ZAC"
"MORELOS","PUEBLA",0.402877697841727,470963,1331454,"MOR","PUE"
"NAYARIT","OAXACA",0.429824561403509,285871,837874,"NAY","OAX"
"NAYARIT","SINALOA",0.437931034482759,285871,706519,"NAY","SIN"
"NAYARIT","TABASCO",0.427350427350427,285871,445707.5,"NAY","TAB"
"NAYARIT","ZACATECAS",0.421259842519685,285871,307685,"NAY","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.542735042735043,1421802,546791,"NL","QRO"
"PUEBLA","TLAXCALA",0.424460431654676,1331454,305554,"PUE","TLAX"
"SINALOA","SONORA",0.495626822157434,706519,770223,"SIN","SON"
"SINALOA","TAMAULIPAS",0.447368421052632,706519,820097.5,"SIN","TAMPS"
"SINALOA","ZACATECAS",0.417241379310345,706519,307685,"SIN","ZAC"
"SONORA","TAMAULIPAS",0.43731778425656,770223,820097.5,"SON","TAMPS"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.455223880597015,445707.5,1462529,"TAB","VER"
