"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.428571428571429,417086,1556194,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.482573726541555,417086,698610.5,"AGS","QRO"
"BAJA CALIFORNIA","CHIHUAHUA",0.537837837837838,1061865.5,970323,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.474437627811861,1061865.5,1724898,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.466487935656836,1061865.5,698610.5,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.513513513513513,1061865.5,883700.5,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.465909090909091,280187.5,239385,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.457627118644068,280187.5,344810,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.5,280187.5,536787,"BCS","Q ROO"
"BAJA CALIFORNIA SUR","SINALOA",0.451713395638629,280187.5,843268,"BCS","SIN"
"CAMPECHE","COLIMA",0.428030303030303,259953,239385,"CAMP","COL"
"CAMPECHE","TABASCO",0.472803347280335,259953,501550,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.519125683060109,884402.5,970323,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.462167689161554,884402.5,1724898,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.453083109919571,884402.5,698610.5,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.452173913043478,884402.5,685918.5,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.472375690607735,884402.5,883700.5,"COAH","SON"
"COLIMA","NAYARIT",0.477272727272727,239385,344810,"COL","NAY"
"COLIMA","SINALOA",0.46417445482866,239385,843268,"COL","SIN"
"CHIAPAS","GUERRERO",0.551219512195122,966608.5,745516.5,"CHIS","GRO"
"CHIAPAS","OAXACA",0.592233009708738,966608.5,1006697,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.471698113207547,966608.5,1636278,"CHIS","VER"
"CHIHUAHUA","NUEVO LEÓN",0.451942740286299,970323,1724898,"CHIH","NL"
"CHIHUAHUA","QUERÉTARO",0.450402144772118,970323,698610.5,"CHIH","QRO"
"CHIHUAHUA","SONORA",0.562841530054645,970323,883700.5,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.453551912568306,970323,898904.5,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.522388059701492,3711717,2306550.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.50920245398773,3711717,1724898,"CDMX","NL"
"DURANGO","SINALOA",0.448598130841121,423723.5,843268,"DGO","SIN"
"DURANGO","ZACATECAS",0.472222222222222,423723.5,348245.5,"DGO","ZAC"
"GUERRERO","OAXACA",0.587378640776699,745516.5,1006697,"GRO","OAX"
"HIDALGO","MÉXICO",0.454794520547945,648178.5,3399821,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.517571884984026,648178.5,1161198,"HGO","MICH"
"HIDALGO","MORELOS",0.479233226837061,648178.5,527723,"HGO","MOR"
"HIDALGO","PUEBLA",0.527156549520767,648178.5,1562618.5,"HGO","PUE"
"HIDALGO","ZACATECAS",0.463258785942492,648178.5,348245.5,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.560327198364008,2306550.5,1724898,"JAL","NL"
"JALISCO","QUERÉTARO",0.470967741935484,2306550.5,698610.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.488448844884488,1161198,527723,"MICH","MOR"
"MICHOACÁN DE OCAMPO","PUEBLA",0.481848184818482,1161198,1562618.5,"MICH","PUE"
"MICHOACÁN DE OCAMPO","TLAXCALA",0.452145214521452,1161198,352195,"MICH","TLAX"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.488448844884488,1161198,348245.5,"MICH","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.507157464212679,1724898,698610.5,"NL","QRO"
"SINALOA","SONORA",0.538674033149171,843268,883700.5,"SIN","SON"
"SINALOA","YUCATÁN",0.426791277258567,843268,731817,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.479245283018868,501550,1636278,"TAB","VER"
