"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.419753086419753,411842,1542066.5,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.46684350132626,411842,682967.5,"AGS","QRO"
"BAJA CALIFORNIA","CHIHUAHUA",0.509383378016086,1048654,960685,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.474645030425964,1048654,1699989.5,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.480106100795756,1048654,682967.5,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.520107238605898,1048654,876172,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.465384615384615,270343.5,236395.5,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.472573839662447,270343.5,340495,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.489451476793249,270343.5,528877,"BCS","Q ROO"
"CAMPECHE","COLIMA",0.442307692307692,253447.5,236395.5,"CAMP","COL"
"CAMPECHE","TABASCO",0.467811158798283,253447.5,497318,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.527777777777778,872714,960685,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.476673427991886,872714,1699989.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.477453580901857,872714,682967.5,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.464788732394366,872714,673670,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.486486486486487,872714,876172,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.464788732394366,872714,890753.5,"COAH","TAMPS"
"COLIMA","NAYARIT",0.473076923076923,236395.5,340495,"COL","NAY"
"CHIAPAS","GUERRERO",0.52112676056338,958564,743163.5,"CHIS","GRO"
"CHIAPAS","OAXACA",0.572769953051643,958564,999072,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.465909090909091,958564,1622967,"CHIS","VER"
"CHIHUAHUA","SONORA",0.562162162162162,960685,876172,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.475,960685,890753.5,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.51890756302521,3666053,2270934.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.515212981744422,3666053,1699989.5,"CDMX","NL"
"DURANGO","SINALOA",0.444099378881988,416862.5,832084,"DGO","SIN"
"DURANGO","ZACATECAS",0.474820143884892,416862.5,344254.5,"DGO","ZAC"
"GUERRERO","OAXACA",0.563106796116505,743163.5,999072,"GRO","OAX"
"HIDALGO","MÉXICO",0.442307692307692,643607,3369760.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.516447368421053,643607,1153454,"HGO","MICH"
"HIDALGO","MORELOS",0.470394736842105,643607,523727,"HGO","MOR"
"HIDALGO","PUEBLA",0.532894736842105,643607,1548097,"HGO","PUE"
"HIDALGO","TLAXCALA",0.460526315789474,643607,351160.5,"HGO","TLAX"
"HIDALGO","ZACATECAS",0.460526315789474,643607,344254.5,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.55578093306288,2270934.5,1699989.5,"JAL","NL"
"JALISCO","QUERÉTARO",0.491416309012876,2270934.5,682967.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.481727574750831,1153454,523727,"MICH","MOR"
"MICHOACÁN DE OCAMPO","PUEBLA",0.475083056478405,1153454,1548097,"MICH","PUE"
"MICHOACÁN DE OCAMPO","TLAXCALA",0.451827242524917,1153454,351160.5,"MICH","TLAX"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.481727574750831,1153454,344254.5,"MICH","ZAC"
"NAYARIT","ZACATECAS",0.447368421052632,340495,344254.5,"NAY","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.519269776876268,1699989.5,682967.5,"NL","QRO"
"PUEBLA","TLAXCALA",0.451827242524917,1548097,351160.5,"PUE","TLAX"
"SINALOA","SONORA",0.540540540540541,832084,876172,"SIN","SON"
"SINALOA","YUCATÁN",0.425465838509317,832084,724776.5,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.46969696969697,497318,1622967,"TAB","VER"
