"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.424615384615385,350769.5,1387984.5,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.454794520547945,350769.5,568748,"AGS","QRO"
"BAJA CALIFORNIA","COAHUILA DE ZARAGOZA",0.454810495626822,919186.5,771971,"BC","COAH"
"BAJA CALIFORNIA","CHIHUAHUA",0.470760233918129,919186.5,864253,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.455531453362256,919186.5,1448687,"BC","NL"
"BAJA CALIFORNIA SUR","CAMPECHE",0.442982456140351,233477.5,247699.5,"BCS","CAMP"
"BAJA CALIFORNIA SUR","COLIMA",0.468253968253968,233477.5,212572,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.502183406113537,233477.5,287407.5,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.530701754385965,233477.5,441229,"BCS","Q ROO"
"CAMPECHE","TABASCO",0.487704918032787,247699.5,450697,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.521865889212828,771971,864253,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.477223427331887,771971,1448687,"COAH","NL"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.472303206997085,771971,606768,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.46064139941691,771971,780127,"COAH","SON"
"COLIMA","NAYARIT",0.511904761904762,212572,287407.5,"COL","NAY"
"COLIMA","SINALOA",0.45,212572,710587,"COL","SIN"
"COLIMA","YUCATÁN",0.401459854014599,212572,622168.5,"COL","YUC"
"CHIAPAS","GUERRERO",0.488262910798122,833974,689524,"CHIS","GRO"
"CHIAPAS","OAXACA",0.561643835616438,833974,835728,"CHIS","OAX"
"CHIAPAS","TABASCO",0.450819672131148,833974,450697,"CHIS","TAB"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.476190476190476,833974,1471203.5,"CHIS","VER"
"CHIHUAHUA","SONORA",0.478134110787172,864253,780127,"CHIH","SON"
"CIUDAD DE MÉXICO","JALISCO",0.512820512820513,3336991,2067994,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.495726495726496,3336991,1448687,"CDMX","NL"
"DURANGO","ZACATECAS",0.469924812030075,377651,309838,"DGO","ZAC"
"GUERRERO","OAXACA",0.534246575342466,689524,835728,"GRO","OAX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.454248366013072,554428.5,1007477,"HGO","MICH"
"HIDALGO","MORELOS",0.431372549019608,554428.5,472567.5,"HGO","MOR"
"HIDALGO","PUEBLA",0.46078431372549,554428.5,1333203.5,"HGO","PUE"
"JALISCO","NUEVO LEÓN",0.55531453362256,2067994,1448687,"JAL","NL"
"JALISCO","QUERÉTARO",0.463736263736264,2067994,568748,"JAL","QRO"
"MÉXICO","QUERÉTARO",0.435616438356164,2915537.5,568748,"MEX","QRO"
"MICHOACÁN DE OCAMPO","VERACRUZ DE IGNACIO DE LA LLAVE",0.461267605633803,1007477,1471203.5,"MICH","VER"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.492957746478873,1007477,309838,"MICH","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.516268980477223,1448687,568748,"NL","QRO"
"PUEBLA","TLAXCALA",0.441176470588235,1333203.5,304445.5,"PUE","TLAX"
"SINALOA","SONORA",0.521865889212828,710587,780127,"SIN","SON"
"SINALOA","TAMAULIPAS",0.463576158940397,710587,824777,"SIN","TAMPS"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.468864468864469,450697,1471203.5,"TAB","VER"
