"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.420245398773006,412214,1539350,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.465425531914894,412214,681832.5,"AGS","QRO"
"BAJA CALIFORNIA","CHIHUAHUA",0.506775067750677,1050349,960279.5,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.473577235772358,1050349,1701414.5,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.470744680851064,1050349,681832.5,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.509485094850949,1050349,878033.5,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.465648854961832,272242.5,239609.5,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.472340425531915,272242.5,339239,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.480851063829787,272242.5,529909.5,"BCS","Q ROO"
"CAMPECHE","COLIMA",0.431297709923664,254098.5,239609.5,"CAMP","COL"
"CAMPECHE","TABASCO",0.474137931034483,254098.5,496597,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.525,874393.5,960279.5,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.479674796747967,874393.5,1701414.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.478723404255319,874393.5,681832.5,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.464788732394366,874393.5,673547.5,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.487738419618529,874393.5,878033.5,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.459154929577465,874393.5,892910,"COAH","TAMPS"
"COLIMA","NAYARIT",0.480916030534351,239609.5,339239,"COL","NAY"
"CHIAPAS","GUERRERO",0.528301886792453,955677,742084,"CHIS","GRO"
"CHIAPAS","OAXACA",0.575471698113208,955677,997362,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.465909090909091,955677,1622441,"CHIS","VER"
"CHIHUAHUA","SONORA",0.564032697547684,960279.5,878033.5,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.472222222222222,960279.5,892910,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.521008403361345,3666986,2270158,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.518292682926829,3666986,1701414.5,"CDMX","NL"
"DURANGO","SINALOA",0.442006269592476,417968,833450,"DGO","SIN"
"DURANGO","ZACATECAS",0.48,417968,344099.5,"DGO","ZAC"
"GUERRERO","OAXACA",0.567961165048544,742084,997362,"GRO","OAX"
"HIDALGO","MÉXICO",0.446280991735537,640949,3369566.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.513071895424837,640949,1153191,"HGO","MICH"
"HIDALGO","MORELOS",0.470588235294118,640949,522870.5,"HGO","MOR"
"HIDALGO","PUEBLA",0.542483660130719,640949,1546672.5,"HGO","PUE"
"HIDALGO","TLAXCALA",0.457516339869281,640949,349697.5,"HGO","TLAX"
"HIDALGO","ZACATECAS",0.457516339869281,640949,344099.5,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.560975609756098,2270158,1701414.5,"JAL","NL"
"JALISCO","QUERÉTARO",0.489316239316239,2270158,681832.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.478260869565217,1153191,522870.5,"MICH","MOR"
"MICHOACÁN DE OCAMPO","PUEBLA",0.478547854785479,1153191,1546672.5,"MICH","PUE"
"MICHOACÁN DE OCAMPO","TLAXCALA",0.451505016722408,1153191,349697.5,"MICH","TLAX"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.481605351170569,1153191,344099.5,"MICH","ZAC"
"NAYARIT","ZACATECAS",0.451127819548872,339239,344099.5,"NAY","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.520325203252033,1701414.5,681832.5,"NL","QRO"
"PUEBLA","TLAXCALA",0.455445544554455,1546672.5,349697.5,"PUE","TLAX"
"SINALOA","SONORA",0.534059945504087,833450,878033.5,"SIN","SON"
"SINALOA","YUCATÁN",0.426332288401254,833450,724672.5,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.458333333333333,496597,1622441,"TAB","VER"
