"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.424698795180723,336822.5,1355884.5,"AGS","GTO"
"AGUASCALIENTES","SONORA",0.435393258426966,336822.5,761102,"AGS","SON"
"BAJA CALIFORNIA","CHIHUAHUA",0.466472303206997,869027.5,839269,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.461206896551724,869027.5,1406674.5,"BC","NL"
"BAJA CALIFORNIA","SONORA",0.48314606741573,869027.5,761102,"BC","SON"
"BAJA CALIFORNIA SUR","CAMPECHE",0.454148471615721,228911.5,242943,"BCS","CAMP"
"BAJA CALIFORNIA SUR","COLIMA",0.48559670781893,228911.5,209837,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.480349344978166,228911.5,282274.5,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.51528384279476,228911.5,427955.5,"BCS","Q ROO"
"CAMPECHE","TABASCO",0.5,242943,442001.5,"CAMP","TAB"
"CAMPECHE","YUCATÁN",0.378676470588235,242943,612107,"CAMP","YUC"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.526315789473684,753533,839269,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.459051724137931,753533,1406674.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.441520467836257,753533,588324.5,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.480337078651685,753533,761102,"COAH","SON"
"COLIMA","NAYARIT",0.518518518518518,209837,282274.5,"COL","NAY"
"COLIMA","SINALOA",0.455479452054795,209837,699520.5,"COL","SIN"
"CHIAPAS","GUERRERO",0.475490196078431,829911,691055,"CHIS","GRO"
"CHIAPAS","OAXACA",0.553990610328638,829911,834304.5,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.434615384615385,829911,1443964.5,"CHIS","VER"
"CHIHUAHUA","SONORA",0.5,839269,761102,"CHIH","SON"
"CIUDAD DE MÉXICO","JALISCO",0.51380042462845,3250948.5,1993102,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.505307855626327,3250948.5,1406674.5,"CDMX","NL"
"DURANGO","ZACATECAS",0.478927203065134,371117.5,304892.5,"DGO","ZAC"
"GUERRERO","OAXACA",0.497652582159624,691055,834304.5,"GRO","OAX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.481099656357388,544837,993857.5,"HGO","MICH"
"HIDALGO","MORELOS",0.457044673539519,544837,467286.5,"HGO","MOR"
"HIDALGO","PUEBLA",0.481099656357388,544837,1321458.5,"HGO","PUE"
"HIDALGO","TLAXCALA",0.470790378006873,544837,304052,"HGO","TLAX"
"HIDALGO","ZACATECAS",0.457044673539519,544837,304892.5,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.558189655172414,1993102,1406674.5,"JAL","NL"
"JALISCO","QUERÉTARO",0.483516483516484,1993102,533945.5,"JAL","QRO"
"MÉXICO","QUERÉTARO",0.440104166666667,2841744.5,533945.5,"MEX","QRO"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.496527777777778,993857.5,304892.5,"MICH","ZAC"
"NAYARIT","ZACATECAS",0.442687747035573,282274.5,304892.5,"NAY","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.532327586206897,1406674.5,533945.5,"NL","QRO"
"SINALOA","SONORA",0.514044943820225,699520.5,761102,"SIN","SON"
"SINALOA","TAMAULIPAS",0.448979591836735,699520.5,813664,"SIN","TAMPS"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.465384615384615,442001.5,1443964.5,"TAB","VER"
