"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.432515337423313,358932.5,1413525.5,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.450980392156863,358932.5,589110.5,"AGS","QRO"
"BAJA CALIFORNIA","CHIHUAHUA",0.470414201183432,950841.5,893847.5,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.456140350877193,950841.5,1510185.5,"BC","NL"
"BAJA CALIFORNIA SUR","CAMPECHE",0.45374449339207,241471.5,251181,"BCS","CAMP"
"BAJA CALIFORNIA SUR","NAYARIT",0.480176211453745,241471.5,303417.5,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.515418502202643,241471.5,466643.5,"BCS","Q ROO"
"CAMPECHE","TABASCO",0.504166666666667,251181,465087,"CAMP","TAB"
"CAMPECHE","YUCATÁN",0.405017921146953,251181,635238,"CAMP","YUC"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.525073746312684,798102.5,893847.5,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.462719298245614,798102.5,1510185.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.469026548672566,798102.5,617164,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.46242774566474,798102.5,795732,"COAH","SON"
"COLIMA","NAYARIT",0.456221198156682,267722.5,303417.5,"COL","NAY"
"CHIAPAS","GUERRERO",0.509433962264151,852136.5,698342,"CHIS","GRO"
"CHIAPAS","OAXACA",0.560747663551402,852136.5,859605.5,"CHIS","OAX"
"CHIAPAS","TABASCO",0.454166666666667,852136.5,465087,"CHIS","TAB"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.488721804511278,852136.5,1522188.5,"CHIS","VER"
"CHIHUAHUA","DURANGO",0.442073170731707,893847.5,381627,"CHIH","DGO"
"CHIHUAHUA","SONORA",0.488439306358382,893847.5,795732,"CHIH","SON"
"CIUDAD DE MÉXICO","JALISCO",0.494692144373673,3452861,2139656.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.481953290870488,3452861,1510185.5,"CDMX","NL"
"DURANGO","ZACATECAS",0.457564575645756,381627,313545.5,"DGO","ZAC"
"GUERRERO","OAXACA",0.542056074766355,698342,859605.5,"GRO","OAX"
"HIDALGO","MÉXICO",0.441666666666667,561878,3018561.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.45928338762215,561878,1021100.5,"HGO","MICH"
"HIDALGO","PUEBLA",0.45928338762215,561878,1360582.5,"HGO","PUE"
"JALISCO","NUEVO LEÓN",0.548245614035088,2139656.5,1510185.5,"JAL","NL"
"JALISCO","QUERÉTARO",0.465168539325843,2139656.5,589110.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","VERACRUZ DE IGNACIO DE LA LLAVE",0.452961672473868,1021100.5,1522188.5,"MICH","VER"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.491289198606272,1021100.5,313545.5,"MICH","ZAC"
"MORELOS","PUEBLA",0.4375,486408.5,1360582.5,"MOR","PUE"
"NUEVO LEÓN","QUERÉTARO",0.493421052631579,1510185.5,589110.5,"NL","QRO"
"PUEBLA","TLAXCALA",0.441176470588235,1360582.5,309286,"PUE","TLAX"
"SINALOA","SONORA",0.517341040462428,734240.5,795732,"SIN","SON"
"SINALOA","TAMAULIPAS",0.464285714285714,734240.5,842665.5,"SIN","TAMPS"
"SONORA","TAMAULIPAS",0.453757225433526,795732,842665.5,"SON","TAMPS"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.466165413533835,465087,1522188.5,"TAB","VER"
