"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","COAHUILA DE ZARAGOZA",0.472303206997085,445660.5,911988.5,"AGS","COAH"
"AGUASCALIENTES","QUERÉTARO",0.494652406417112,445660.5,749354.5,"AGS","QRO"
"AGUASCALIENTES","SAN LUIS POTOSÍ",0.460410557184751,445660.5,709187,"AGS","SLP"
"BAJA CALIFORNIA","CHIHUAHUA",0.530343007915567,1107631.5,1007944,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.480412371134021,1107631.5,1761363,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.474934036939314,1107631.5,749354.5,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.508905852417303,1107631.5,875978,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.489051094890511,296330.5,249059.5,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.5,296330.5,361335,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.460629921259843,296330.5,534355.5,"BCS","Q ROO"
"BAJA CALIFORNIA SUR","SINALOA",0.493827160493827,296330.5,857298,"BCS","SIN"
"CAMPECHE","QUINTANA ROO",0.435483870967742,264141.5,534355.5,"CAMP","Q ROO"
"CAMPECHE","TABASCO",0.512096774193548,264141.5,536244,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.538674033149171,911988.5,1007944,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.465979381443299,911988.5,1761363,"COAH","NL"
"COAHUILA DE ZARAGOZA","SONORA",0.470737913486005,911988.5,875978,"COAH","SON"
"COLIMA","NAYARIT",0.478102189781022,249059.5,361335,"COL","NAY"
"COLIMA","SINALOA",0.472222222222222,249059.5,857298,"COL","SIN"
"CHIAPAS","GUERRERO",0.511848341232227,1023068.5,777730.5,"CHIS","GRO"
"CHIAPAS","OAXACA",0.560185185185185,1023068.5,1063546.5,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.477941176470588,1023068.5,1667496.5,"CHIS","VER"
"CHIHUAHUA","NUEVO LEÓN",0.461855670103093,1007944,1761363,"CHIH","NL"
"CHIHUAHUA","QUERÉTARO",0.486631016042781,1007944,749354.5,"CHIH","QRO"
"CHIHUAHUA","SONORA",0.536895674300254,1007944,875978,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.441988950276243,1007944,934513,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.498942917547569,3406340,2333730.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.501030927835052,3406340,1761363,"CDMX","NL"
"DURANGO","SINALOA",0.429012345679012,448048.5,857298,"DGO","SIN"
"DURANGO","ZACATECAS",0.48780487804878,448048.5,364606.5,"DGO","ZAC"
"GUANAJUATO","QUERÉTARO",0.419786096256685,1622935,749354.5,"GTO","QRO"
"GUERRERO","OAXACA",0.578703703703704,777730.5,1063546.5,"GRO","OAX"
"HIDALGO","MÉXICO",0.443181818181818,712246.5,3739578.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.5,712246.5,1234091,"HGO","MICH"
"HIDALGO","PUEBLA",0.477848101265823,712246.5,1763221.5,"HGO","PUE"
"JALISCO","NUEVO LEÓN",0.542268041237113,2333730.5,1761363,"JAL","NL"
"JALISCO","QUERÉTARO",0.465217391304348,2333730.5,749354.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.411003236245955,1234091,514280,"MICH","MOR"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.466019417475728,1234091,364606.5,"MICH","ZAC"
"NAYARIT","SINALOA",0.466049382716049,361335,857298,"NAY","SIN"
"NUEVO LEÓN","QUERÉTARO",0.521649484536083,1761363,749354.5,"NL","QRO"
"PUEBLA","TLAXCALA",0.458620689655172,1763221.5,398790,"PUE","TLAX"
"SINALOA","SONORA",0.539440203562341,857298,875978,"SIN","SON"
"SINALOA","YUCATÁN",0.435185185185185,857298,760032,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.503676470588235,536244,1667496.5,"TAB","VER"
