"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",2.15090132773338,8.68135448751418,0.544496252917044,2.28609771517467,0.0912345326506561,0.00141293716746233,0.608421489360432,0.900785511435253,0.758821868145748,0.496624275582208,3.76357025013916,49.9277214231282,970.755053527387,8.70549929693303,0.854620282109893,0.0475896749611594,2.72452262315616,0.104184882806081,0.195823462385787,0.160407825342095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.50556826047519,5.72914201826624,0.668101839506679,2.40402873377605,2.79863997060977,3.28637243577941,2.3367986033932,1.6963603417018,0.309901324517694,0.202820355146916,4.81991076511957,94.4340807745654,0.0236038720223195,1.19481063676864,0.620489251687481,1.04519948015617,NA,2.45762426539129,0.319895632492976,1.32658222222076,0.61547246679693,0.0104671898273563,0.138311808359454,270.444045548995,3.44529186150188,1.0489300005802,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.90168353399672,1.38439545041788,0.736179072103248,5.86404968556449,5.74794781795482,4.56723856232677,1.0889955792291,5.02522751387054,4.00930230616272,14.2700548319541,5.57146102764334,NA,0.516698450366574,1.09867649267706,2.33269455956816,1.58136393430805,0.00244060189442857,8.84195833591247,1.47827970001853,6.33680971616557,1.41716879604869,0.208953563063205,NA,3.47874760411279,0.272051703927864,12.2839888708966,0.121417762342318,49.4426671308162,9.37261333122172,0.0303780244194096,69.7988468332835,6.81422675310202,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.72910437653396,3.59370916252385,0.043179197939085,1.45934244921474,1.85216167110981,2.69889481434813,0.771976718774283,1.97876338635114,0.962807570326135,1.41778416315289,1.90414038781548,206.855057048334,1.48499278222258,0.130502156510479,NA,2.95875140270078,NA,0.132191754204913,0.993858084207441,4.68929639673339,NA,360.581056351727,NA,52.7305822105176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",9.29398971617469,1.49585604084996,1.62792132837518,0.804677290798431,122.366665818056,6.11051292362699,7.03956599441232,3.3260192931532,1.52425874219981,1.43651211517165,8.25292967726211,NA,0.167178723755128,0.528904000356261,NA,0.978884724999511,NA,3.48372520049209,0.566429773941807,7.73635816127029,19.2240537997461,11.0343693264914,NA,1.83220565408106,0.301258114480128,50.7585687026191,NA,NA,NA,0.0447860379355522,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.86571810805427,2.88155426362284,0.0192460397548349,1.26299666662299,1.85749741602221,1.61813347642394,0.0860222938849918,0.56446971677948,0.107286805100539,1.75539326485088,2.39796589058685,57.0201740463133,0.0735442360272601,0.232672195146901,0.483325446936542,2.18003880031245,2.73926694872081,1.03936898715231,1.95357357304332,3.83282270186322,1.91767063995229,NA,2321.75702890299,3.22405057408113,NA,0.00800956919520311,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",11.0196939222809,2.93791504671241,0.207491867160019,3.16804809862925,9.35089394118862,4.05665881742919,NA,1.67733169878668,7.22912992605126,0.189249232966243,4.43558153334064,NA,1.78398360674277,2.50844271456536,NA,4.64257456016663,121.099991540668,20.6386166776438,25.2642583968285,14.8758205663129,NA,NA,NA,12.5130749756398,5.71512956576132,0.194290415036984,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.58230800784068,1.34589523117586,6.22408018691406,5.1622493247279,4.00590720662647,2.52998262550603,0.994905512419647,3.79946583732809,5.26874374117868,16.1143215923993,7.07070887945593,0.969726289680706,0.0195268229093566,2.49100663615221,2.15719955173474,3.81316950218426,NA,0.331031851748093,0.494290030462262,9.65872971443516,2.24540949778648,0.183228953042735,NA,8.4042311788702,1.53277075942353,0.504351766193612,5.78925350958084,NA,0.649042867754343,242.708297392318,NA,31.7290425702515,4.67793810124485,NA
"009","EL ARENAL",1.73133657944723,6.41962563540651,0.0616337295078719,1.18456006109256,0.660941129586723,5.65278022243313,NA,14.9934885539656,1.3743057812544,2.02373665521963,3.70305202176845,46.7846391146337,0.235518870786315,NA,NA,0.775708916089372,NA,12.687496855156,1.41862709950446,5.24743353589362,6.14116956078277,NA,NA,2.58118375954067,73.9488323542352,0.0256499325336641,NA,NA,NA,NA,NA,382.693503800653,NA,NA
"010","ATITALAQUIA",0.981450511594764,0.0545721344567026,26.166711958137,0.118615597537892,0.959156876090194,0.496474266036855,0.887042777052457,0.398148717802298,0.27272470438007,0.43625643516511,0.76901567625188,0.0280478737863016,0.0148344039812582,87.8901288710048,0.219353031230725,14.7925031805052,0.145125442804353,33.3844613582025,0.0349037973026681,0.803128879889592,0.653705568872927,0.575095769280244,NA,0.716971520259652,0.0417684035276843,0.0150290073652788,NA,NA,NA,886.477324556462,2460.76370938445,1.50652207226231,0.0503656465037577,NA
