"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Industria Química","Petroquimica","Turismo","Fabricación de equipo electrónico y eléctrico","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Minería Metálicos"
"001","ACATLÁN",7.14675154873607,5.20505232237283,0.180264234604797,6.40100441494113,0.447806424447226,0.154886906060716,0.183546576444982,8.7312381312984,1.51301841588134,1.54553501880932,0.202033901077752,0.266827116979158,6.35586870953984,137.995567486913,2.15278905753716,0.0646766235933328,94.574696837711,13.6559972440861,0.0900149324695767,1.08372747737075,0.717199739815592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",5.61337081189662,2.95400657719278,0.277511310233149,1.19422847038351,3.90807471560885,3.62210913734314,1.35579641508074,4.66269368276047,0.855554036603592,1.46556091045785,0.282108888981635,0.209577671765884,3.95802583707677,40.1186781032916,1.44076222200063,2.25777088989346,1.7867842565703,NA,0.817311183868092,0.908899805933633,2.08745267673528,0.0111332122195211,359.670930101681,1.83021378296251,47.6163911284283,0.0534613464609385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",2.89076684627971,1.38037730513272,2.61765607057416,3.59364404831379,7.68873568848253,2.64013746430357,0.806733679233273,3.90237622980107,6.43144202709838,4.05657729356265,2.952797703212,5.28847462114727,3.45894212522892,NA,0.498968262685598,1.1504973133221,8.44057409263733,0.00576908551687185,1.02029535873804,1.95820943027668,4.2062838486594,0.600979062681088,1.84594490072869,0.166363111653366,8.29793437213059,0.858609871791047,0.00476276693085893,0.594747668539958,0.2627373219044,1641.81251205434,11.5566186918434,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",8.63507924050085,3.63084594473391,0.37520259712071,1.48034139743826,1.65700592013514,2.7085245815333,8.8020742971303,2.2373935412261,6.66277390405689,1.53759207885483,0.186895135865389,0.987333116162477,3.67762491599593,202.26084668661,0.29459714262114,0.538472586054987,0.0468793102389066,NA,0.0832699509541267,2.25567409404327,7.22506488996891,107.630556099131,12.8537003476582,NA,NA,NA,NA,2.00282304566897,1.26809781595766,NA,NA,NA,NA,NA,NA
"005","AJACUBA",16.7590707323233,0.44988105083182,3.86557756477382,0.487972590068282,64.5451619349892,7.05396801010714,12.4395897524365,6.08736568042633,2.38356993779113,3.48811589652634,3.00861475286416,3.13954888629325,6.70746531419434,2.08553790414348,1.83606540399236,1.7122498781558,27.3692785373031,NA,1.72175842068372,0.796961585357365,8.22908632265851,29.3908255905109,1.13534856762221,0.190397643096379,NA,NA,NA,4.87598355258476,0.0630051901403056,NA,NA,2.22620674432742,NA,NA,NA
"006","ALFAJAYUCAN",1.22363375401477,2.46094490699413,0.0105023362998035,1.35918226121684,0.705461567725389,0.95814685098498,0.171097089933911,3.52277569950838,1.70657712126864,1.03637903922526,0.18833046745909,0.994915712726982,1.75264174925177,143.431087444341,3.74117326456345,1.22086797548886,0.144670471277268,3.18243662434778,1.77552404468875,0.252555265877069,3.69208917962411,NA,0.359789310585656,NA,NA,0.57103626369668,1438.61250641487,0.126137779978243,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",3.18999176781404,10.8861909732636,3.33704590921005,5.18375724609184,11.8509358724334,2.58718869757479,NA,2.1159508736936,3.16150327307416,4.27337244593612,6.3630260276172,0.933742022257628,6.56910663594676,0.590377790124476,0.626865326604227,2.77255626933338,0.0997532218487454,NA,21.1806461734334,2.42715213716539,10.1650341486184,NA,83.5853871969325,5.66266959798163,NA,0.535925354103736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",3.78672630195899,1.20294022490128,4.62589965314829,3.36356424274284,12.3817335128137,3.00981889414555,0.812002569918071,5.49918859171923,6.00920059018447,3.90645216206232,3.72781775220995,10.9252625883312,5.9761834519512,0.248882982161057,18.8201865380194,4.04635777863545,0.295404495133645,NA,0.167157028158478,1.00457236004714,7.52957863778391,0.847385196166644,1.3874146867457,1.49076339478099,NA,0.336001943678941,3.57171989759112,0.190004221032037,341.765202218437,NA,16.6716718598824,NA,0.22692500348046,NA,NA
"009","EL ARENAL",2.02513113420681,5.57210491083106,0.278104237028238,1.77735571505193,NA,5.0276147130867,19.0402229658109,6.50151442215603,3.26019506042268,13.0642208850437,1.24675832754617,6.58639819028934,7.34948079843845,0.260274192159979,4.42176163681541,0.399121724781843,0.0195454426085471,NA,9.33770826821656,0.417982529786732,7.62424380383496,NA,0.264647283272717,147.246424748992,NA,0.945073076465095,NA,0.835039225080363,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",2.4603823984213,0.62506313827833,26.877043739685,0.378078959170443,2.25153974473528,2.37879846685851,1.15518017101538,1.26692346975804,1.6922634244148,0.977126563349719,1.86901133056519,2.99868197087959,1.44601351631115,0.0212872512466661,121.13924516417,58.8752553019908,0.0419876654165861,4.90679031018749,54.7632517718707,0.0834615913400588,1.70134608392302,9.12734467255732,0.41429723388092,0.0287126536886422,NA,0.369870754531172,NA,0.240103173050502,476.175401716091,54.9182857106518,NA,NA,0.127448427979848,NA,NA
