"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Minería Metálicos","Fabricación de equipo electrónico y eléctrico"
"001","ACATLÁN",8.2412252164306,5.98897330867377,0.146576510913964,6.94228861412272,0.477809185578399,0.167382769969986,0.173022580196571,9.61094403793462,1.64886509088374,1.68870090420723,0.209982050652712,0.116101801793736,6.65018211833611,70.2471478392042,28.3478186369297,0.0637692497568752,94.7872689265445,7.38164738096496,0.111196332578848,1.12142102221749,0.781881453831134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",7.3483215699313,3.07105640265634,1.12456246803718,1.47035865213542,4.73378310801134,4.44364033993123,1.78343378152529,6.07708320223528,1.05844836604526,1.81785434239951,0.332855713742587,0.103522637960174,5.01849000614756,50.4466046420021,1.75814914928265,2.280722098234,0.863533060010588,NA,1.14615847063162,0.751050691210279,2.58344220354585,0.0093193070865088,390.378097836162,1.32603212612878,0.0740445046516913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",2.77246370585102,0.898760604640539,5.36737433882426,3.88367439461833,6.44196673888754,2.35376916958163,0.868787410733518,3.44202938328579,5.67115095633138,3.74584002173827,2.48321061686431,12.3569944840331,2.98422958690711,0.233054521388516,0.790653124124775,0.864958898638813,7.75641244269599,0.00252324133504426,1.01982053809324,1.63956894997911,3.6072128502072,0.740932764615332,7.55925553410137,0.948703852981357,0.847597043492248,0.00398418378093421,0.458130493006919,23.2155171005462,0.201939926219411,1472.81442644413,6.30015879809159,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",7.46214667238278,3.73851544144142,0.228630940100625,1.20318048111663,0.331239864972863,1.47492822888986,4.31810689691719,1.84563981735613,5.441396098671,1.25901056552595,0.145569462045256,0.321948981392724,2.9150991415588,220.568642798905,0.237314877459876,0.397870666466709,0.0352103726158826,NA,0.0770865427049259,1.74919938371765,5.90278406201976,321.360200949309,9.20961148401106,NA,NA,NA,1.42886581968006,NA,0.90270447516094,NA,NA,NA,NA,NA,NA
"005","AJACUBA",19.3678233127042,0.55198453328571,3.15004664715931,0.53039295671012,107.843923012379,7.63971775486086,6.42812875959938,6.71533046161073,2.76745784946872,3.90073176214175,3.13380728650112,1.3690648745131,7.13480972786263,0.938173527688125,1.9779622988321,1.98565185868743,27.4907244144428,NA,2.13155185232585,0.826482722134087,8.99083833962783,6.52286388392251,1.48070778820693,0.121781200746833,NA,NA,4.65205163228827,NA,0.0599794659070668,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.41820441173978,2.97299279993763,0.00858311668862889,1.48161894033439,2.91095488949741,1.04071642265,0.162107610430598,3.89744048845645,1.86926602988653,1.13814289657684,0.196735526807861,0.679860167459315,1.97972333715286,90.5695684630698,4.04198024847036,0.95594280795439,0.145733445870814,1.7289957423621,2.20448296443046,0.262669303035163,4.04554704874699,NA,0.345741350621282,NA,0.700228190339222,1494.87958624825,0.120693527433105,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",2.31409031538538,12.3120649266161,2.667132935707,5.52620337474466,8.32039877769365,2.74822206094451,NA,2.28940942307673,3.79672710489642,4.58957320960338,11.5565117738658,0.399359086653383,7.14667782387359,NA,0.662344597826391,2.68702685564546,0.0982719681935121,NA,25.7183308739687,2.46872819965952,10.8927440919002,NA,78.5519212403491,3.552383090619,0.642693030694888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.03665791264938,1.34222983807592,4.13610353975277,3.3723232531715,12.2129494464978,2.83370350852856,0.707601641432775,5.24954950020763,6.15243109020059,3.94576602178221,3.58168614735253,8.14147269307287,5.74094828559775,0.393655716648834,18.7016935125174,3.41701514990151,0.273695139054155,NA,0.190886615264477,10.6117144293978,7.58833322947176,0.577613874983683,1.2262527726591,0.879537891058307,0.378955608081658,3.41358262957389,0.167214022028883,NA,300.110547563613,NA,18.4599419967325,0.175899671066164,NA,NA,NA
"009","EL ARENAL",1.88027507440149,5.1621628714929,0.182073841956368,1.55207975169594,NA,4.37464861210847,27.9315903267298,5.76222066696118,2.86068233707917,11.4932417280725,1.0433387577811,3.60547214878279,5.83974101244306,24.109620848497,3.82703599669633,0.316850557555557,0.0157726876184735,NA,9.2875538609948,0.348250604228163,6.69241253683763,NA,0.203728300810586,75.6660042084558,0.928372244359986,NA,0.640068608997384,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",3.01612740190914,0.413097940580923,31.5074438198239,0.451128219723544,2.30731815548607,2.7666213438058,1.15763112190744,1.43740593651264,1.96052709994163,1.13498122794037,2.0650654930933,2.48228830596932,1.69787824763022,0.0387195219974193,137.643464734918,62.1656631727071,0.044736371155362,0.722418771117424,21.609044898501,0.0918119564383576,2.00746283911564,8.3663247152808,0.421089865266951,0.0194808636622386,0.479717522970195,NA,0.242994466536488,NA,477.990130970241,64.7267012587733,NA,0.113607289936442,NA,NA,NA
"011","ATLAPEXCO",3.87532031798735,5.18875327910287,0.878449165131108,6.30186778979671,0.027523674035677,7.05160146378669,0.637873660616541,1.5704015473416,1.51969703923893,3.71252350104974,0.0483831428105517,1.0283341090832,1.40832719942693,51.4021155489359,1.66903109123963,2.11585402655989,0.0117029249318608,406.872792406355,6.89112396472832,0.0645982279200146,2.23857194737564,1.83449832243604,0.604644450851705,0.0380738740280196,0.172207028811041,NA,0.118728574728819,NA,NA,NA,NA,NA,NA,NA,NA
"012","ATOTONILCO EL GRANDE",1.54526865534087,0.865406499746373,0.130347803145192,1.02364902238724,0.216789258354534,1.02203534523677,2.04186206887557,5.20089772804612,3.37098475127711,1.21854817954289,1.16708241790568,4.85472563564417,1.73836799687109,1.10143471383839,1.19604109236373,0.973308597841688,0.382666996692356,NA,0.266888217395682,0.0715507999658767,2.56224776378273,NA,0.911564786154404,0.0749718851353134,0.529836974545756,NA,19.1480157154755,3774.78499522663,NA,NA,NA,NA,13.170402229272,NA,NA
"013","ATOTONILCO DE TULA",2.79846318667449,1.25390274595007,7.29112370620925,1.85818960365059,1.66813690721044,2.847909051128,0.191726995218489,2.95011759918151,19.8972696223177,3.07740924108852,3.3158629062824,1.06339628688459,2.28018910435791,NA,0.48008969899812,60.8706585808416,0.242325546347686,2.11363968737346,7.73872630767414,0.12135263709169,3.28395751785839,2.42663735555617,0.556576371804446,0.846393983747275,1.09525472033659,NA,641.743393720766,NA,3.13922188616364,8.42040661276021,NA,NA,8.04148514654423,NA,NA
"014","CALNALI",17.02063334274,10.2616317333621,2.75254065732969,4.94735523956964,0.286119727996359,10.9591923361154,5.07682476349644,5.87698541538041,1.17504785527532,1.4204255422041,3.14351466182799,0.278094410503209,4.44745257067329,47.6309215433043,2.51111301284623,8.59185886913936,0.190088499695155,NA,4.47725136509187,17.4663578739678,3.54078542143282,NA,11.8835682693457,0.0989483314122951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",2.1913007138609,3.44818569458059,0.195555760609572,0.0915713592412736,0.249012279196688,2.53550643871904,1315.83950691604,0.244750561158867,0.0639158444823774,1.10104574360686,0.10943303436105,0.242027781433319,0.113194712572179,10.6146172843279,0.178403401198125,0.132934457552548,0.105878743033105,28.7411909084778,35.0692878568295,1.31497495129295,0.40748082865846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.558267606112,NA,NA,NA
"016","CUAUTEPEC DE HINOJOSA",2.71470285760838,1.03437025815053,0.0715575211530154,2.61734931987637,3.96911158296602,4.33386729940865,0.0844682880303567,6.29064411501589,10.0409015150857,3.85032896480273,5.9992360592991,1.62232339747171,6.36483715424841,7.20414575149005,1.40547707052173,1.65900592022218,40.8719625571944,2.11815318862819,12.377566445909,0.213855111877656,2.83442410713197,0.29860771933579,26.9607041889819,0.126045138575004,0.820941852765205,NA,1.27350101660048,NA,0.101711107154681,NA,111.084097257099,0.264622393879463,NA,NA,NA
"017","CHAPANTONGO",7.18865872823129,9.01105664861836,NA,4.35960288752982,2.26915492976528,6.44684654811491,5.55468114889458,4.55167245213202,1.9576488179939,1.61066641366062,3.98888778016298,1.24059815854301,3.00614037902317,3.50936967402326,0.914469114634184,1.21138154577821,8.68349726517047,65.4769066486311,35.5081317812026,NA,4.29108872909877,NA,3.11557228566873,5.30483055530244,NA,NA,2.44710726392016,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",4.19060130606302,10.3163494318497,6.82134829407329,9.64308857677732,0.744072327558353,2.21189925645717,10.1357660878113,2.65338017059666,1.84856176070252,8.59063981081639,1.30798517810414,3.93743303076625,7.36604033719303,NA,0.0592318108444068,0.3972207778786,0.079093933662372,NA,70.191171397608,1.74634221224557,16.8193340347522,NA,5.56214628633516,NA,4.65542807196627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",0.98777986705969,7.72250231321127,52.3742784001184,3.93357090725298,18.2473298557393,5.12198323717932,17.0818524038168,1.4072323926049,1.62065005414965,4.26222338718429,NA,0.170468223690683,2.43266185862524,116.788519029132,0.125655454603253,0.842671475185983,NA,NA,1.67184071106957,1.64654335000268,10.6793560617786,9.28671125392186,0.240808971208016,NA,1.09734565189477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",NA,30.2284029746911,NA,0.695256306545098,NA,0.215677702137481,NA,0.725886980835873,0.835973348098221,0.0631590178917849,NA,NA,0.71561125682894,771.365212491955,NA,NA,NA,NA,50.964566893507,1.9109920093631,0.749468900865698,NA,4.47175855781233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",2.46129146402825,2.07399487956123,0.0858008743971497,2.37916676293807,7.27481880738111,1.79702812290593,1.78660563366623,3.74411842699481,2.22464147414812,2.22414239405583,16.8260133952493,0.424762639784176,3.12128040538563,NA,1.80346079007111,1.62602235767226,5.33850246436654,8.07060019211187,0.166631753028909,1.02568983932054,6.47919816851078,NA,NA,4.34202285988357,1124.55894365269,NA,6.38243424631893,NA,4.03218544192107,NA,NA,NA,NA,NA,NA
