"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",9.35231356240259,6.996606713105,0.199526801392067,7.9617302394149,0.553277425483106,0.197766268897205,0.176584937960733,11.1268471012147,2.71285099721405,1.97121122458946,0.210364199826252,0.413394956258081,7.34960921554188,163.358734033294,5.56871309790879,0.0714877523340352,6.17897145446007,33.9325592195179,0.175368057343572,1.33431498217926,0.903004493278655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",5.90308564274894,2.67048132780669,9.6422274369477,1.24873823118633,4.27798309601859,4.04329907013342,1.42052903217113,7.2617147837172,0.973086421407385,1.54631742938866,0.260248316497897,0.0719190273295757,4.56487497627473,42.6222357712927,1.49140488329373,1.99542292693957,2.05145005784552,NA,1.41073989463015,1.33708641842232,2.32857377438376,0.0127568527652481,403.732699808938,1.92330105891904,0.0667516343918259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.31860339498179,1.0891092136637,4.50343141918201,4.50985697737555,7.86808678127717,3.00931656716899,1.22306016076038,4.36885571783828,6.85620831977641,4.41568632608234,2.62400962330642,8.20330561302095,3.61254449594765,0.10527969779077,0.796445119915709,0.992195723603229,9.29060339014307,0.00407211599208226,4.09215812852507,2.15316990136244,4.54298451656914,0.0932836441965636,1.97052564884717,1.85970407949133,1.03271018307212,0.372405190666191,28.7780353275332,0.136158748513982,690.659144758462,7.37124518553254,NA,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",8.82724784348804,4.46455166541468,0.576744682359593,1.43836741039527,0.399820739357669,1.81654692089998,16.5838639780134,2.22734394434608,6.68165560513762,1.53194814484498,0.152017714866056,0.29873598568298,3.60200941556863,197.507228311686,0.310507581887571,0.464939580201184,0.047456432519142,NA,0.12672808091818,2.16951795033292,7.10624470267613,108.738586372298,12.5590272250069,NA,NA,1.14786292744532,NA,0.601507447713797,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",21.5437343245327,0.573083012928856,3.53449197033998,0.551250196379084,52.7703606307483,8.18022027974817,12.2705859400525,7.82790311697403,2.60915412381995,3.95556606266441,2.24803524674231,0.84557585186266,7.71930195999764,0.322268615987541,2.66968991837877,2.01729613586633,31.6207816481194,NA,3.04650674574079,0.891188683920787,8.25666492593766,10.3681721391498,1.75548048258967,0.205105562765819,NA,3.2490400193238,NA,0.034746411607308,NA,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.2686878989363,2.68489284664931,0.0368409277102535,1.33946078646464,26.4803682418057,0.969309716479461,0.130419630620904,3.55692127510432,1.73579840767451,1.04728747243973,0.155367844811898,0.989235042940011,1.7689115228475,146.854783609116,3.99940934249059,0.844774768312055,0.148538189621268,2.0853634396792,4.20813352036791,0.246369918518268,3.68311216168581,NA,0.356550001535924,NA,0.637609969597698,0.0733224534611776,NA,NA,NA,NA,1118.99641526664,NA,NA,NA,NA
"007","ALMOLOYA",2.22199463547001,11.9346787459942,3.07196984272499,5.36249724780704,8.15207229411597,2.74744315600443,NA,2.24266787720689,3.78428895860892,4.5330254155401,9.79606934652466,0.300791263315037,6.77618538934,NA,0.703448655927719,2.54875309802148,0.107511589468377,0.913082401877058,16.5828906855161,2.48541189162999,10.6444132004077,NA,86.9506165575597,5.58606765375332,0.628153572994842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.10623224749438,1.37836928438809,7.54283435824713,3.96660847883921,12.6766150319897,3.0011670075307,0.971976575359534,5.44781552654456,6.4965162246916,4.12863074466869,3.21641051619962,9.794521463462,7.20320465857777,0.589845217882808,2.33800638600577,1.70314815515384,0.317213435897096,NA,0.943215718884691,1.18866120156733,7.85578663853922,0.90813323757033,1.43798619946989,1.46520979187658,0.392382331894685,0.115513115856661,NA,241.013292964001,NA,18.3548894094743,2.90561789214487,0.171553332338074,0.274468382328695,NA,NA
"009","EL ARENAL",0.201454923720032,5.02513628591244,0.210598923788278,1.51248319276463,NA,4.39193975718391,50.1298332814491,4.84216391326613,2.86339226823264,11.7633386073439,0.888150840446487,2.72709393800878,6.29847996619664,0.509285862049778,2.83455420456098,0.301818975707578,0.0173287659532005,NA,12.446094750561,0.352089665750412,7.87808235439027,11.7092759616927,2.0381964100018,119.487782902095,NA,0.419143348123191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",1.03339006058005,0.241665483054358,16.1817366524195,0.161562224994456,0.765180715979856,1.09353151376802,0.35670433559569,0.518200660798306,0.697267871211866,0.399996717409314,13.5884960665456,0.741757989989951,0.7812940453024,0.0195408982067631,13.8875154628454,21.5371215582225,0.0174637810466437,1.30250023446645,0.120847092521069,0.0329819426698531,0.699977105117004,0.171243979351702,0.166319258378633,0.0109306628883727,0.167301456912321,0.273648698042009,NA,505.084030668103,1158.81621278949,NA,NA,0.0373192894408951,1737.73914407353,NA,NA
