"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",2.9513996485167,9.31938235365779,0.621524936828855,3.24139202223077,0.12298247315209,0.00200336977405071,0.836787539876264,7.24056878204202,1.0058208063885,1.29707227434544,1.07865784115881,0.497425809278775,5.58445594314866,58.6515782644607,60.9354527073343,10.7007748675757,1.02144737595487,0.0639785350661813,101.775093865668,3.76854477227644,0.143630852724473,0.233826469075636,0.225707872448205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.2138570620575,4.48128605027381,0.590045033157664,2.19488731284808,2.42921977490475,3.00048079659615,2.54385549738045,3.63119430627259,1.05803492927926,1.57288401707862,0.28366326920219,0.130812038685017,4.15656418787336,148.16943350977,0.0271379409864549,0.945706615794308,0.477543424265646,0.904808231324591,0.90092577387471,NA,2.1816964369135,0.245964857856104,1.20196309565558,0.00970588402319416,0.0844204153276783,263.636420505942,3.12748520362752,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.57951685554356,1.4288888870265,0.728880734363102,5.74170346510687,5.18038008166039,4.32968999333634,1.0013862274333,6.6977533038166,9.86217168524917,4.83797199724994,3.81046088566924,13.2888532635201,4.99100979178412,NA,0.616821970314283,0.902934427160862,1.86408415789326,1.42140624863587,10.9549639224668,0.0022570700725769,8.14997605703645,1.18018583294768,5.96151525431898,0.201179540128215,NA,3.52111277954255,0.256418720364537,0.0749101657524759,46.6030485215576,8.96390417495761,0.0319930665853141,25.6851127398585,6.55953078354078,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.62777038282546,2.7752554954436,0.0345858113032732,1.45195687908485,1.75195358971115,2.68524527135942,0.745031434529489,3.28909187098684,10.2006433118666,1.99938478936895,0.960379977555426,0.996483760628123,1.84299059142342,170.515488442329,1.86055243734121,0.112563856702198,NA,2.79119233606003,NA,NA,0.127881326081685,0.832746958503451,4.63008084328126,364.360956294136,NA,56.0163076178993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",8.82413119306191,2.56884930771565,2.3234179796605,0.789442947932297,114.132500607417,5.99484791407884,6.69913577215117,8.94634343849166,2.01309466960021,3.31382662694919,1.49921802986351,1.35508169331851,7.4246245676985,NA,0.206538528481182,0.449842650411848,NA,0.910574197922179,46.8466243763045,NA,3.32314396870996,0.46799073504728,7.53216731725215,10.9945875948545,NA,1.91923710832926,0.293855909968936,NA,NA,NA,0.0488130994273079,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.71960346068035,3.43357939971066,0.0621177998596112,1.2658726192141,1.76995906184718,1.62182370149809,0.0836320441014959,4.26807412399649,2.51314838084598,0.574558777756899,0.10780557291228,1.24287035945159,2.32094421701924,47.3497322878742,0.0928234083862713,0.202170163386954,0.40835087963115,2.07174743078325,0.00755208536071179,2.67835815275773,1.01289357893138,1.64895859502584,3.81233379261169,NA,1555.67983306657,3.45020623912821,NA,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",9.93403573706183,3.68453051038054,0.155601361961969,2.95105421662161,8.28105662615115,3.77881302215956,NA,5.32713780492571,2.65975830143508,1.58675688328344,6.75116231183033,0.498130509734481,3.89273171080585,NA,2.09265362256049,2.02569652126638,NA,4.10042707910672,0.170257686748734,110.046447213253,18.692710017696,19.8191102477902,13.7515211047968,NA,NA,12.4452858784881,5.29307653716386,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",3.82670219682037,1.06952451009937,5.0822569851874,4.65844455411442,3.43676661570145,2.28307927481353,0.870878727444059,5.96368716511901,8.5388214189908,3.40635768334967,4.76668143338843,10.6249109394607,6.77244446526596,0.725023881081246,0.0221898624817286,1.9487746076471,1.26513128821762,3.26266774396532,0.428159348885041,NA,0.29045442691158,0.375643590421882,8.6498057478876,0.167930073466397,NA,8.09758197916509,6.82217147764018,3.4000198202096,NA,0.590894890384808,243.321964756961,NA,29.0745839367484,3.75568479919407,NA
"009","EL ARENAL",1.73565149663169,5.26348982266634,0.205596440194223,1.22706436437385,0.650908941877296,5.85563309849013,NA,1.75968988205978,4.6788614309687,15.7731693106299,1.42725222554283,4.11363123136474,3.6308610834741,40.1526977097228,0.307225342398523,NA,NA,0.761892722310076,0.0249957640115132,NA,12.7788704582279,1.23757260419299,5.39438067927069,NA,NA,2.85485852003701,76.1619842856435,NA,NA,NA,NA,NA,402.546388577992,NA,NA
"010","ATITALAQUIA",1.06988512534143,0.0887509433186175,24.4861109894049,0.133610251205032,1.02715225857112,0.559237415914696,0.902614969589752,0.862414048831184,1.01154266427763,0.455459028686886,0.307984993875617,0.642408626403833,0.784888687488005,0.962061011177467,0.0210421033765511,85.8267868355908,0.2082800398961,17.0640813842576,0.0159256881553934,0.159473317523934,47.7227180322545,0.0331102785658484,0.897775210193724,0.0243832933698,NA,0.862293858542441,0.046778094510132,NA,NA,NA,886.043737014234,1757.594952146,1.72316976201133,0.0504736955034093,NA
