"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",10.3863183949627,7.36669931024309,0.050329531840734,8.24081235778488,0.542792816817794,0.202461990243114,0.179661489557716,11.4654666432413,2.86497248817807,2.01436207515264,0.212477324529634,0.476165635441459,7.41148627333251,166.089774383061,5.51941039090362,0.068746403434186,4.46659940628964,30.9386637694624,0.169139689058831,1.72253548794258,0.92610575872807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",6.49204820642279,2.76009371181849,8.87894893483194,1.2799530936547,4.15614111143845,4.09908785854027,1.43123692565511,7.41001149271932,1.09165633631758,1.79077843349696,0.260308748786554,0.145839186665344,4.85386927182684,42.9137871235836,2.24646710140241,1.90026153341096,2.00251280413933,NA,1.34741712968518,1.70934360862036,2.364943418815,0.0111840313428091,349.673038352278,2.01301829499479,0.0711158572139372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.22269434139807,0.967118934266809,4.2856595492194,3.99528289645757,6.56894801051805,2.69046409653678,0.960519316503378,3.8310944552827,6.23001603836694,3.88348804089246,2.32883887552228,6.18802464929691,3.42169705316168,0.0910920986967212,0.59010524681716,0.862413466895572,4.69911918290843,0.00315966194524903,3.35879104403399,2.36550384493586,3.78585168408302,0.0702806548094095,1.48563313343771,1.67270655167278,0.945493326794717,0.211792578377662,25.5664176372963,0.220940443577405,0.207938778247701,1482.57665825573,5.73787170261098,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",9.71858942109542,4.66013691114781,0.324506282519992,1.4759367387543,0.388858682902305,1.8436277805591,16.7271675806614,2.27531873291455,6.99542240814452,1.55197163610354,0.152219502549044,0.767535155650991,3.60783455363619,199.075984622417,0.305102238820617,0.443251486734313,0.048771338563237,NA,0.12117226808475,2.77656858338092,7.2251384515718,95.4363404436402,11.0302482281742,NA,NA,0.760474824164537,NA,NA,0.712703575753096,NA,NA,NA,NA,NA,NA
"005","AJACUBA",23.6010441811603,0.595210627699305,3.51784177169157,0.562832263258041,51.068001644468,8.2608348693849,12.3149967347796,7.95669512164521,2.71807796241918,3.98731618476317,2.23981182561627,1.25486498803443,7.66488831931549,0.323211057797772,2.61015516495234,1.91361980514473,32.3351222789385,NA,2.89844351676154,1.13487267537794,8.35300986525772,9.05450290974495,1.53411391140737,0.213838289411628,NA,2.14181615894467,NA,NA,0.0409647404323769,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.55615738505217,3.12225656111026,0.0410552165776716,1.53125922729765,28.6926928460805,1.09599859119184,0.146554936926502,4.04808866362033,2.02464995760343,1.18202436705025,0.173323737721481,1.25848637058039,2.01727409011359,164.909160863227,4.37814204998504,0.89725403871679,0.170070316649343,2.10001714494296,2.91948768777668,0.351280177530738,4.17197566106758,NA,0.348875549031375,NA,0.757627470673682,0.0541193542713163,NA,NA,NA,NA,NA,719.389576053892,NA,NA,NA
"007","ALMOLOYA",0.767907077730971,3.91038308962074,0.766255723372114,1.72724021444391,2.48875562840039,0.875272108033666,NA,0.71913043483712,1.24366066194354,1.44150322612282,3.07904261078542,0.10781549605952,2.28124191666067,NA,0.216966827821766,0.996215036031208,0.0346826777069584,67.9904679926661,4.97712291842236,0.998461398684557,3.18942897082156,NA,23.9711958344051,1.17584378720692,0.210297152597618,NA,NA,NA,NA,NA,NA,1633.78540630959,NA,NA,NA
"008","APAN",3.71027188321598,1.25996255907676,6.42514917847459,3.59490892304998,10.7334181189039,2.65170403849774,0.568432544437415,4.8449088732646,5.92132157410846,3.66645249296744,2.80385683488687,10.5628469974528,6.23934329318904,0.517585622130439,1.99998685546355,2.84985963525115,0.283811131209515,NA,0.785144642264123,1.32437662790635,6.9535079883779,0.69388568659881,1.09949248469572,1.33654562631255,0.364332165299698,0.0666245629430766,NA,20.8277303376023,326.388662243957,NA,14.4900475569516,1.45969258974311,0.151851585347112,NA,NA
"009","EL ARENAL",0.205851344990996,4.86817941622876,0.195510928890122,1.44041081704069,NA,4.13695604039072,46.9278707245168,7.12623051030109,3.70428528540099,13.6037346563712,0.825392916793535,1.84972087531655,6.18839767806023,0.476425947366764,3.72235982155644,0.267053411818041,0.0661142572379403,NA,11.0448898677141,0.418211859142119,7.43403223462539,12.0062116349687,1.6613962449603,128.616712964732,NA,0.25772425787843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",2.35902528634558,0.536488887131514,35.8012574572309,0.325885014784587,1.462908474663,2.92034285914472,0.707247995743764,1.07275454492235,1.46253052005014,0.83828789444226,35.4836314837087,1.66501100125094,1.5449014127057,0.491379238383238,26.8240529251695,11.2015635329183,0.0352804829833279,2.31432712540109,0.542507459031974,0.11948421607479,1.42408971127714,8.01912396134519,0.287143163263405,0.0225138034701677,0.350756871249733,0.0736324909083857,NA,277.0136425231,423.435050082923,138.975893734231,NA,NA,0.0745885099934176,NA,NA
