"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",2.15022571764908,6.60275516170179,0.44297771649451,2.29897423810452,0.0915253696135497,0.00140825435575197,0.597210726212713,5.06138971858805,0.707436075749842,0.901417610004434,0.76849860677821,0.497248266161216,3.59152709865149,50.9851787419924,966.354381338593,8.28910601599923,0.862816427926729,0.0478411729054401,2.64505208237376,0.103307221097971,0.195270496560494,0.160206692745109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.5062492622552,4.93354829809386,0.653472228010071,2.41898640839845,2.80920693003963,3.27740032157469,2.29508512248108,3.94425730081381,1.15633919717599,1.69854561948752,0.31403722981291,0.203194210968306,4.45603444791926,96.4906908692252,0.0235106410092659,1.13832834091637,0.626807135595044,1.0513388762066,NA,2.43834928671882,0.31917926857997,1.32569535878685,0.0104686348238907,0.141448403324667,271.262817977242,3.47041509722099,1.04922963936248,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.53817893076761,1.37352279468177,0.704821498858204,5.52513195452379,5.23069314788693,4.12929716078366,0.969646330136192,6.35222089249324,9.41105899599943,4.56167732578604,3.68329274108502,12.9609000568983,4.91558390516716,NA,0.466582134935681,0.948960266863663,2.1363247573311,1.4420658645696,0.00214933910594395,7.95313991837023,1.33718872373771,5.74103186141864,0.189460840400163,NA,3.16333723546552,0.248437176082481,11.139692064952,0.112150298531266,44.4659565591994,8.54494894299287,0.0271793402255676,62.0991199452666,6.24413403745832,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.54148082137712,2.61026395979179,0.0327238717756317,1.36709802866731,1.73086923578691,2.50580539091198,0.705879198882329,3.05222462624854,9.524398152402,1.8445975966006,0.908334624756177,1.32238702823733,1.79381654202712,196.775701397766,1.37706433137225,0.115753684671405,NA,2.77077131868306,NA,0.12210500459334,0.923207676135281,4.36280613009419,335.746523654893,NA,49.2406842604849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",9.00913308446772,2.5505374646615,2.32062882905907,0.784654212625541,119.031694750559,5.90545237281674,6.70017567313722,8.76390531084039,1.9842016297571,3.22735441599594,1.49685313579111,1.39467134053801,7.50715808499875,NA,0.161370823789932,0.488324047727753,NA,0.954196638342094,NA,3.34955499443758,0.547690527526644,7.49219240993566,10.6947406641282,NA,1.78094232738724,0.294074218107017,49.2035233164541,NA,NA,NA,0.0428326644006806,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.57329908294061,3.23558803222397,0.0588853756136829,1.1941547611116,1.751981649812,1.51632289219815,0.0793876906762911,3.96823251073542,2.35100082306937,0.5310854318299,0.102157123109572,1.65249005965059,2.22730049127227,54.7456773467301,0.0688326509713347,0.208294398880369,0.458779460476552,2.06049895375307,2.50032959865271,0.968980017739927,1.83155840618181,3.59909184285642,NA,2231.10595373949,3.03864053592991,NA,0.007528315948136,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",10.1638811132771,3.66604716536036,0.155745154451225,2.9393923663172,8.65489595142668,3.73038122999462,NA,5.2296046040617,2.6271603959583,1.54863860294687,6.75485073805666,0.174825967831369,3.89816263604539,NA,1.63849114836827,2.20366044960135,NA,4.30600418480585,108.471189478347,18.881349755837,23.2436828129125,13.7076344867566,NA,NA,11.5730788826195,5.30827614740912,0.179203893342383,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.20742446826811,1.305852534766,5.22737003921777,4.76811561593015,3.69106430119227,2.31603052344003,0.896960623262509,6.01610281557759,8.66698050119826,3.41629536640542,4.90093348932883,14.819237073325,6.464773740315,0.909535921211584,0.0178536424858128,2.17849907693483,2.00034091307448,3.5208188212076,NA,0.30148398118737,0.45271224647973,8.86020159437476,0.16821630057899,NA,7.73793117861468,1.41725056860594,0.463096625999722,5.41433441179269,NA,0.599137430899182,219.871179521948,NA,29.4385830555137,4.24385478592365,NA
"009","EL ARENAL",1.74304974850837,5.1404729171775,0.201990124773183,1.19966810952572,0.667743595752876,5.67394429586526,NA,1.69560409473228,4.53626059717877,15.1102639861391,1.40168792868002,2.04062895325702,3.61116145095124,48.1138596480146,0.236111523672411,NA,NA,0.78533070284826,NA,12.6697087922916,1.4246391363215,5.27796813500271,NA,NA,2.60580566310728,74.9716348235488,0.0258238223302186,NA,NA,NA,NA,NA,389.320482109885,NA,NA
"010","ATITALAQUIA",1.02243289814468,0.0824807641327981,22.8920544639519,0.124303672854057,1.00270857572651,0.515653347274603,0.907340848701056,0.790777952750405,0.933238028346434,0.415195666911112,0.287826363762539,0.455187182317658,0.694812570058004,0.0298472957749863,0.0153886211120814,87.2081263288603,0.230776559978673,15.4964991354288,0.146821687860039,34.4963535669768,0.036269989384457,0.83587857200258,0.599029912091166,NA,0.748967781798624,0.0438179108895516,0.0156567900111194,NA,NA,NA,911.141173637295,2515.04505407771,1.58587806759121,0.0518411725472523,NA
