"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",9.40495075203285,7.26135555028756,0.193139398641655,8.12847348339683,0.54942838022095,0.200651179504293,0.174561091592505,11.216496832522,2.75095569265946,1.9659654669412,0.216845951183129,0.40844733783107,7.45799324400514,165.438447767259,5.63857071418899,0.0729284782397432,6.18048229841888,23.387146798646,0.168483948404643,1.35572998897763,0.920046821907397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",5.79903194143145,2.68378337075698,9.11771380419255,1.24540869433805,4.14998142231995,4.00741494249655,1.37177491353343,7.15094199732507,1.03401764687905,1.72408659503565,0.262063395721463,0.0694150517389543,4.90557248316149,42.1666661045439,2.26388977726107,1.98856328704745,1.90601408169013,NA,1.32401815115868,1.3271293937013,2.31765597090567,0.00945660802440965,382.920254151509,1.92290436147488,0.0666207734685567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.37469997700847,1.10241674959852,4.66848848930449,4.557300458153,7.68942702809981,3.0047896419198,1.07924417737247,4.33420571652745,6.91788698106045,4.37082169932118,2.74852270434617,9.0944393910149,3.69969578339578,0.104928971901345,0.697151199182282,1.05799558837554,9.10173843245973,0.00276208771759861,3.86916408975465,2.15302880975335,4.3494475570229,0.069665073361351,1.90721676288614,1.87314763225821,1.03835050006229,0.27222209452015,28.9749606903469,0.165772477265811,685.096554235016,6.82543433535427,NA,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",8.97640972095115,4.68541402898699,0.56453791357874,1.48494801331645,0.401488709207343,1.86369996660206,16.5775138488705,2.27045178544527,6.85143626532661,1.54499353698488,0.158457779342126,0.298468372491107,3.69608935412203,202.26324121408,0.317926169476199,0.479625106424972,0.0479999899046093,NA,0.123117780956153,2.22904054747081,7.32149983496712,83.4404154365738,12.489847763843,NA,NA,0.862146074623922,NA,0.752473249799063,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",21.8023550110742,0.598539382582063,3.44303620594749,0.56636348797464,52.7355106842924,8.3521724243345,12.2068624055456,7.94100584275094,2.66257803172685,3.97005313631721,2.3319946891739,0.840752996507038,7.88280391020873,0.328440766755967,2.72031981662655,2.07100010758094,31.8290543013551,NA,2.94547364042553,0.911233042685349,8.46583177501238,7.91771835806725,1.73740962749902,0.211248609266391,NA,2.42857187720431,NA,0.0432578660888543,NA,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.26679669719243,2.76676234413577,0.0354090969351102,1.35783249268406,26.1099966871198,0.976487574933596,0.128012216187248,3.56019699579099,1.74771896486812,1.03710633856836,0.159021294659319,0.97047655309606,1.78229056134498,147.671553507452,4.02091324757204,0.855699151508641,0.147522737573937,1.42710865414643,2.61443688618833,0.24855195229541,3.72605808933408,NA,0.348174021452643,NA,0.64681275270875,0.0540757550455028,NA,NA,NA,NA,1142.70728214295,NA,NA,NA,NA
"007","ALMOLOYA",1.62342231471215,8.99895358870292,2.16041717443686,3.97758670818465,5.88148778202298,2.02520621446411,NA,1.64248389169087,2.78800137807286,3.284595656864,7.33638939706283,0.215917156725568,4.99567360481266,NA,0.517484839265487,2.46733550514918,0.0781290420397159,119.991827110803,11.5749551563909,1.83469657831258,7.39758946982246,NA,62.1276558021484,2.65832862203513,0.466257348487467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",3.89392405036129,1.35695452835456,6.88510718846785,3.81880402192662,11.8707440337338,2.87135018258006,0.906058191818062,5.17861961113182,6.21218932413734,3.88289158391575,3.12649298878101,11.943904403068,7.01034502753936,0.563298572980642,2.23237104938568,3.30318984779234,0.299201835055504,NA,0.854526570325004,1.13888383432878,7.54772726235756,0.649843779831714,1.33359046404203,1.4140923620198,0.378028689763934,0.0809074930265827,NA,281.162679341472,NA,16.2851216882344,2.81797180282483,0.16571735746792,1.39529308045845,NA,NA
"009","EL ARENAL",0.186114432597661,4.79118327977225,0.187279603729035,1.41858966600235,NA,4.09364870554041,45.525502909733,6.96076254741213,3.5513953034699,13.2564717555435,0.841067624595233,2.47534475459053,6.40595251487224,0.473827658009864,3.79687365841792,0.282863395068168,0.0636939973178903,NA,10.9851462507528,0.328649380816364,7.37403567650596,10.2753254394195,1.84150115112764,124.354053869946,NA,0.286008027678005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",1.12592292447516,0.261028217674448,16.9084582221579,0.169427744876582,0.780504344093989,1.52550357323659,0.672713130766506,0.553155248893881,0.740200287038847,0.431233722208548,14.3877885993988,0.752794260758895,0.822498124969074,0.0203273975091932,14.4438148767936,19.1137370671542,0.0179426929787697,0.922107610126018,0.313449153315541,0.0495674680154063,0.745706391095278,6.67960193953199,0.168014580696414,0.0114910875622479,0.175570566127827,0.24161079130458,NA,354.969312840752,1199.74527714797,NA,NA,0.0392680085191352,1676.08602455071,NA,NA
