"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",2.13418557525008,6.5588519862694,0.53043915884869,2.25663466734659,0.0908002039583438,0.00139466987770811,0.592170327545891,5.02000498627891,0.700869719715238,0.89191288092234,0.758371365035535,0.66577431111446,3.72654948334205,50.7054415257724,957.357750779358,8.55246491302523,0.881761588935392,0.0473015083459176,2.62358198282488,0.10269360801223,0.19348864597113,0.159011341913404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.49361135738697,4.91267911498406,0.652821104031305,2.3802192107019,2.79373649199524,3.25369010616661,2.28125701511782,3.92153400175928,1.14839612549241,1.6847287622854,0.31065357540523,0.0303025345125193,4.51771693785831,96.1949814870306,0.0233484838547041,1.17735527079235,0.642130176174609,1.04201092407061,NA,2.42976922548864,0.317036968654172,1.31900839680916,0.608470248859973,0.0103903673677289,0.139920480776482,269.971251742369,3.42834414254252,1.03775024053257,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.44885017076413,1.33993865333403,0.638902729935251,5.15673366669102,5.09625303800264,4.01617716667631,0.944232203312417,6.18737401533307,9.15661591279768,4.43269007114903,3.56961589038313,14.5701766975195,4.99226404924212,NA,0.453954526491262,0.961563662617688,2.14410698463743,1.40024707815821,0.00209368701518835,7.76421876075146,1.3012416859671,5.59607867979515,1.24437723800246,0.184225753782267,NA,3.08434375561239,0.240441595487145,10.7940769195634,0.106220847619454,48.7468151916077,8.34037972862271,0.0265266594102698,61.0014085372866,6.04041306985605,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.54323946108808,2.61420326285315,0.0395066921585614,1.3529417429504,1.73125834573891,2.50201521015735,0.705670098310776,3.05213086281992,9.51349128775971,1.84013770701576,0.903726463192688,0.793381568988732,1.87654100107154,197.303314077844,1.37544856782937,0.120412263340917,NA,2.76201570073455,NA,0.12237662897127,0.922296477706474,4.36581823702364,NA,335.156995512172,NA,49.2886861942563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",8.51817559235205,2.41351388501926,1.46489603529146,0.733704054908476,112.492458226794,5.57133081375186,6.32879006807147,8.28032730880298,1.87262731464795,3.04199514110138,1.40712763020648,0.444714304710728,7.42025386260405,NA,0.152292428200897,0.479962355799732,NA,0.898724354723563,NA,3.17186944439136,0.516975000242554,7.08389030170855,17.5023983605193,10.0871897616438,NA,1.68436491922526,0.276069874799232,46.2463621169936,NA,NA,NA,0.0405497136730213,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.51037469888771,3.19367520948815,0.017516044740876,1.16472301005484,1.72706934487462,1.49216517302873,0.078218071034019,3.91080688158061,2.31439650773582,0.522150473562862,0.100171086832983,1.40704334376741,2.29636779505602,54.0997609326762,0.067759036750807,0.213548285294504,0.465877382841835,2.02432602908136,2.46429425049296,0.95711130090623,1.80332713243417,3.54956608947897,1.76582591875528,NA,2187.67068573966,2.99767876346414,NA,0.00738071851634523,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",10.0273200392534,3.61974399719283,0.185372545240863,2.86788600457604,8.53462326890248,3.67215248389731,NA,5.15561401861239,2.58710380355261,1.52308327872751,6.6257000369069,0.930672455443472,4.02035932898774,NA,1.61346336490979,2.25998447494742,NA,4.23179664902696,106.942907203722,18.6561893883187,22.8929082007696,13.5234386350859,NA,NA,NA,11.4208113846833,5.19968804642901,0.17574805522442,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.08764955195171,1.26971418621631,5.45121795128005,4.5812408767564,3.58431477335281,2.24514190122363,0.870565834446193,5.84061821239902,8.40479475374785,3.38221547782411,4.73398469126375,18.1230304481641,6.53379513338249,0.885400324792691,0.0173130614369179,2.20013933600298,2.00099492494992,3.40742297146976,NA,0.293350054553613,0.439086714007488,8.60796018583286,1.98972530472329,0.163027831487646,NA,7.51977654851126,1.3671068150564,0.447246273802322,5.11113316459643,NA,0.582861803960557,213.882252275848,NA,28.3840338066819,4.12140262772895,NA
"009","EL ARENAL",1.70687304162371,5.03789394396254,0.0596577887737445,1.16180053900402,0.65357942578655,5.54394220303635,NA,1.65921297418499,4.4339561968679,14.7506703699794,1.36468834783752,1.19806006207115,3.58386129981888,47.2089268220825,0.230780085446954,NA,NA,0.766071059982722,NA,12.4257517967884,1.39273033117903,5.16841668508566,6.01421560807438,NA,NA,2.5524439039732,72.8931803871648,0.0251379436830879,NA,NA,NA,NA,NA,378.354213730638,NA,NA
"010","ATITALAQUIA",0.997963390484157,0.0805725259702689,26.1230780228355,0.119989371515019,0.978254216298186,0.502203604592796,0.884751224805054,0.771295129473974,0.90923090313097,0.403999545727722,0.279319386436522,0.211893366318723,0.773569436042089,0.029190886098739,0.0149923326921047,88.485524422559,0.231929575263914,15.0674040303162,0.143212949992366,33.722331242163,0.0353425555866959,0.815872521038818,0.660292826676124,0.58326330048657,NA,0.731249659496189,0.0424648841926284,0.0151914877869345,NA,NA,NA,890.46034316128,2473.91882952666,1.53620605866067,0.0505803479236591,NA
