"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Minería No Metálicos","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Maquiladoras y textileras","Organismos operadores de agua","Fabricación de equipo electrónico y eléctrico","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",6.99925133422901,16.5333278201558,0.562519242446362,6.71623649345785,0.265425997995546,0.00408633518174491,1.63728049491444,15.1737704542874,2.10017583042648,2.7368550609493,1.92647451740219,0.582573118521727,8.33555944749667,138.133688472729,0.334121725813387,0.146444637813961,3.62355607382261,0.34310573754318,0.515120704155646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.04596664421396,3.04714393653176,0.430692572120287,1.68769553639311,2.04311328979697,2.38500407630288,5.01433191561844,2.96548491697001,0.860915348944915,1.25141070085059,0.197427693595302,0.0265346110735569,3.38358059724095,76.5360871086537,0.973973128666775,0.807088445284711,NA,0.0156275272808947,1.06900278484138,0.895692091291934,0.0101689073433441,0.343832091246196,0.0619316297376313,233.429472816761,2.98249382628452,227.269348868719,1.40652004115782,2.39352965701288,1.47590614515623,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",4.50781970405128,1.4791479399713,0.224627917751723,5.41045206034577,5.65722688299703,4.61085713161787,0.850426663754903,6.93281214751679,10.6035923129727,5.08291970233914,3.31029211191025,15.5102907100654,5.47281425460626,NA,1.20743313755867,1.44751163837872,NA,0.934453625309713,6.78631825024503,0.482719197985374,0.720583805673743,NA,1.82772890388488,3.82220503033102,0.317504839175733,NA,7.12877490252103,13.1031414250694,35.5731368256011,0.0983752971910276,11.2988492838617,0.00691600132068866,89.373451534583,6.77524962719011,NA,NA
"004","AGUA BLANCA DE ITURBIDE",4.90234043577317,3.80943313799372,0.0984984213475546,2.36668591354116,2.97450922230064,4.30873035286022,1.14676641709794,5.42237209680693,16.7554111293933,3.05857375915186,1.34932058789794,0.408039605858522,3.42760829085112,55.310446064388,0.234021950164147,5.02598782762449,NA,0.961257740626049,8.31272395025125,NA,41.038729976747,NA,8.57125885374372,102.219286495476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",7.18990625506827,1.56317800060442,1.599284880634,0.562008488143064,51.9246133052008,4.20125210913223,29.2842919545581,6.44160509234254,1.44419868053176,2.40239884079371,1.32475191638851,0.400609947459257,5.85898009342631,NA,0.408463709300167,0.716114102703027,NA,0.235938746777271,5.90622464457788,26.5047561786142,NA,NA,0.415565028826042,1.06223284237907,0.247070570998447,NA,NA,38.2807934059989,168.512891702183,NA,NA,0.0484359973784377,NA,NA,NA,NA
"006","ALFAJAYUCAN",9.33486760396882,5.27824474212115,0.0468893243199635,1.93778519883165,3.18597631155273,2.75902475397541,0.136477066624283,7.45988038608262,3.94983966482771,0.912532584744937,0.16058310831781,3.1078997860451,4.18879482947641,179.762258385294,0.445616527416943,3.95507820915611,1.20817979629021,2.01800921013202,7.25658525008077,6.55681661201784,NA,25.773931078493,0.453363764870719,2.96665813722081,NA,NA,2.57406927577577,0.014980313369458,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",9.64599862298379,9.54797236651486,0.230648226989111,2.50362638471843,7.31785670408152,3.155921434567,NA,4.57101522556052,2.27391969943381,1.37086889810691,4.93691924482128,0.955483451866918,3.5274394051634,NA,2.19198428333936,3.84296284458695,43.3246679887523,11.9073843606818,12.8502314041021,NA,NA,NA,5.0177089912563,11.8203045997954,5.30352926023392,NA,NA,0.165798104987947,13.2864572076846,NA,NA,17.4775241455982,NA,NA,NA,NA
"008","APAN",4.22872994731865,1.04117111827875,6.98176375651092,4.05529048686634,4.41451606345769,1.83982418053812,0.620811381490349,5.33037773055825,7.40386441206891,3.1025368129816,3.90281896148351,19.1524362279594,5.93620594764489,1.40759112808033,2.19659030012382,3.1851826224195,NA,0.181246607213256,8.31480487808076,0.200388764040083,0.192559332568235,NA,0.0554226295342695,8.44311023559857,7.613008747399,NA,5.2896661772823,0.434312831954635,0.0322458189671149,3.76363344185606,0.6278094023991,277.329381541278,NA,25.313174078631,3.26630647749763,NA
"009","EL ARENAL",1.70296683551325,3.79978287747335,0.0769864885928492,1.05191793737464,0.581220026623447,4.94159128446944,NA,1.52572779818927,4.04199079367413,13.7697699053837,1.05463064917315,1.27569705309344,4.09552594172063,75.6200096241717,NA,0.721527857469598,0.220409138266151,0.751320245249114,5.09359001574954,10.765484353367,NA,NA,0.744367397458329,2.7398738483809,77.1111591265731,NA,NA,0.024595827324474,NA,NA,NA,NA,NA,339.974874318611,NA,NA
"010","ATITALAQUIA",2.26058431281722,0.24465730373056,41.8373244894382,0.246657425530189,1.9751271302095,1.01631674805526,0.85963200896082,1.61026236011617,1.88182501950903,0.867728150998547,0.490082407524869,0.238135754594619,1.43930835990311,0.106160023802354,72.1099063581233,39.0267754640077,NA,0.043286964902244,1.86014040014286,2.68344246675209,0.043309635710039,NA,0.10978913235264,1.78213732568188,0.101990895445789,NA,1.40254012820829,0.0337468408847646,170.736637240249,NA,NA,939.782142887645,165.364419133264,3.133998966823,0.0917002639759824,NA
