"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",2.17233034303145,6.63087574291942,0.54124885777356,2.2960885193166,0.0841972344427028,0.0014142520835535,0.62556809922564,5.07631770853267,0.708397934370007,0.90871100285113,0.778800737960349,0.183477564661824,3.78689269555049,52.8260291690725,961.879348255547,8.67568454121982,0.881818170168137,0.0485021786700199,2.5291701770161,0.102223172428014,0.194257767199011,0.164002968374468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.48402408493498,4.86065508315507,0.651911958401733,2.25704242420276,2.53530253270834,3.22897691253622,2.35849802021171,3.88091363801871,1.13596527154869,1.67983524029818,0.312215263786102,0.0326910015232731,4.34588356954569,98.0797071286039,0.0338069407146382,1.16883532965071,0.628469626732834,1.04566332545586,NA,2.36703302012753,0.553788119009788,1.33138761639918,0.569892111628705,0.0113696657746536,0.154177652660755,278.704322387672,3.53957725688652,1.07112804154501,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.40386461676351,1.30940503246294,0.63212129551909,4.85153583017099,4.58211778479865,3.84725306006881,0.967188273749856,6.06673853884166,8.97385915507218,4.37900035208651,3.55443172733048,14.4110588710585,4.85935239967645,NA,0.651224084534301,0.945790084363594,2.07911533285228,1.39217937385815,NA,7.49390128998161,1.26673315405302,5.59643778987148,0.856238314576799,0.199727586066403,NA,3.15471313947057,0.245950382404131,10.4933510438917,0.103864524786111,47.54652892154,8.17964035912381,0.0276601443913046,81.262300762236,6.00017485746453,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.48814325070432,2.54025228419652,0.0387459686075359,1.32312509537503,1.5430049579972,2.4385956260243,0.716513051956976,2.96648554129941,9.24217851041048,1.8019723141642,0.892022618022022,0.840605970695818,1.83285708847375,197.570553694265,1.95592696784678,0.117402571507943,NA,2.72211732234014,NA,0.117084354761354,0.889995674743681,4.32796455613266,NA,360.185458790977,NA,49.9728959779086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",8.48357150545185,2.38743364154216,1.46253634347218,0.730443685149136,102.064064253014,5.52780610378514,6.54164677315356,8.19276690919092,1.8519522763455,3.03249654559316,1.41389242298607,0.479662174390693,7.37790941428126,NA,0.220460404488935,0.476384996890923,NA,0.901677466483214,NA,3.08929722134469,0.507844668522278,7.14881208778721,16.3891323704217,11.0355018394788,NA,1.73847109007156,0.284964726132846,47.7233830981571,NA,NA,NA,0.0426671720598625,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.33861741031829,3.05125743491753,0.0168904999674673,1.11994081139576,1.51344214098484,1.42993846817932,0.0780872444005397,3.73728365523417,2.21066430267393,0.50274072944514,0.0972146815665787,1.46577882870932,2.20527420966088,53.264001268462,0.094738413580856,0.204716846836015,0.440295795492084,1.96160590823395,2.24502416624926,0.900354274118932,1.71097029004451,3.4597436176226,1.59702929122392,NA,2327.73633177334,2.98829158934666,NA,0.00735629075452767,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",9.9475413500628,3.56663037929094,0.184350371285445,2.84397938779005,7.71316366445433,3.6292200487412,NA,5.0811525177417,2.54853752091387,1.51239136562006,6.6315246276434,0.999884816225731,3.98178830021362,NA,2.3265379321272,2.23437001837098,NA,4.22910274357799,100.478371326996,18.0994789548244,22.4006727975306,13.5940207695612,NA,NA,NA,11.7415919850726,5.34623587661234,0.180652059004117,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.05699337440113,1.26038425957519,5.42365325679806,4.54514197370649,3.24081395359259,2.21991403239788,0.896739966347259,5.7589117055845,8.28331269675734,3.36001780126887,4.740326244506,19.4797643827847,6.47408765131369,0.899435510851559,0.0249761023621631,2.17620393785416,1.95124053436388,3.40682055876236,NA,0.284727274346178,0.429843296834607,8.65686830249975,1.85673544716388,0.177738763792666,NA,7.73454423863564,1.40628401994504,0.459937569033718,5.02582502360215,NA,0.574839593573549,224.274203433558,NA,28.3533302293429,3.64676007252787,NA
"009","EL ARENAL",1.64793612823066,4.83100567469729,0.0577396350935759,1.12125505143624,0.574850406533705,5.33236129942836,NA,1.59144725439657,4.25086051911487,14.2547818768444,1.32930114566268,1.25267953673037,3.45440113712017,46.6512187024396,0.323860243334356,NA,NA,0.745076354933146,0.479658966523953,11.7320548386297,1.32628057424705,5.05622734926155,5.45939366428643,NA,NA,2.55384485738154,72.9400413711587,0.0251472451749079,NA,NA,NA,NA,NA,367.652097763869,NA,NA
"010","ATITALAQUIA",1.10326440694603,0.0884710838552289,28.7745224894975,0.132599369581492,0.985221862592306,0.553103671192797,1.01512712749672,0.847103634197865,0.998126270965028,0.447049420962993,0.311542152897238,0.253690727789072,0.850458060514761,0.0330302595024655,0.0240909741028821,97.489083922491,0.25191574318424,16.7801562591666,NA,36.4581679852936,0.0385382656670586,0.913939023844758,0.686321871280394,0.708303534144025,NA,0.837779681526746,0.0486558307191809,0.0174015052793943,NA,NA,NA,860.891316800968,1834.33640440265,1.70928227306282,0.0498515096065236,NA
