"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"001","ACATLÁN",5.78450071697808,17.4348139771427,1.53424937820246,6.06221971858451,0.231086704422183,0.00370386073856646,1.64954324369551,13.3855210865587,1.86606596372237,2.43326759515564,2.00019468941399,0.50520743336942,10.1678003675019,120.378466854019,0.298901334154113,2.64040323569471,0.135003534802909,6.83210545968829,0.273490401322336,0.575328503756979,0.443572831103197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",2.4715889884766,4.77553102606792,0.690507419108541,2.22670767760074,2.60008389326855,3.15989899141137,7.38443219977901,3.82385049864949,1.11813746210932,1.6807813178062,0.299626682178562,0.0336353095745173,4.34233909285582,83.5142220238228,1.27360139126483,0.703162894036107,1.08756746596596,NA,2.3663418716781,0.612860415036994,1.34554485717116,0.490166420394465,0.0127787628448057,0.480965735590252,0.0371169644500485,292.720512209987,3.78393974614985,1.0721154014658,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",2.89331692710794,1.18155847461791,0.584908737315463,4.15343101788973,4.10517906198611,3.38656753507583,1.28339333097338,5.22192331642286,7.71645234953315,3.82761096673371,2.97992145173234,13.1981153194129,4.23885774927657,NA,0.900291680535539,2.03216289976139,1.26493384253572,NA,5.54036903326794,1.22464823256354,4.94098611906147,0.643359700678931,0.196104450993232,NA,0.624604801763626,2.89452705117351,0.229693446484049,9.46450175161539,0.0639573548411726,342.348213074572,7.08208331891842,0.00452305819779448,41.5689453319662,5.06926546274336,NA,NA
"004","AGUA BLANCA DE ITURBIDE",2.55541689475471,2.57614111687349,0.0423615512994706,1.34738070215757,1.63339350454332,2.46328114716906,0.728718152146779,3.01699849615429,9.39010456456458,1.86105226745296,0.883625320872535,0.892741257200381,1.89809954666295,173.647857148621,0.132045539716204,NA,2.92238279460222,NA,0.120819760647804,1.01665070191406,4.51484967694521,NA,417.862328308178,NA,2.21658885656074,54.1763699625926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",7.96710292773479,2.32123285199067,1.46213449234683,0.680160609839945,63.0327202609781,5.10578255942784,34.0747032113619,7.61901412518115,1.72052579753005,2.86382247501849,1.28068987188763,0.465804767416762,6.98648969149191,NA,0.489936193826201,NA,0.885149852965421,NA,2.91497020362436,0.53045688202452,6.81912737706534,13.3047931574814,11.7066990398877,NA,0.228453824422782,1.72336861329706,0.287531331306715,45.0850569803174,NA,NA,NA,0.0509578687849904,NA,NA,NA,NA
"006","ALFAJAYUCAN",8.80665166764997,6.4601585809351,0.0364973154831878,1.99663965657491,3.16637543912533,2.85472727965782,0.156959881551594,7.51211109993997,4.00626034073177,1.02618960301249,0.190325608455827,3.07662569565125,4.41865541069277,92.523932386295,0.455064328225425,1.00497487581984,4.16212488379098,4.62292644000087,1.8362238232483,3.86277507248692,7.13307186152871,2.80222373304975,NA,28.1561548896268,17.9600423604069,6.40282216482264,NA,0.015020972362335,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",9.32915422394662,3.30286666241426,0.184047316015227,2.64457567514986,7.45583327100233,3.34755431390116,NA,4.71883972843553,2.36443427379991,1.42631281384385,5.99854347873129,0.969668409463103,3.62430005072465,NA,2.294781605588,NA,4.1458982340352,95.595094079537,17.0547483283345,23.3660375097576,12.9493409836847,NA,NA,NA,2.40759141984233,11.6236495411408,5.38700033536974,0.170431211827765,NA,NA,NA,16.0487346694718,NA,NA,NA,NA
"008","APAN",2.65452013467592,0.730738503823019,3.77774460712377,2.94871102739973,2.18561139825215,1.41553139017637,0.581028388499138,3.73137263347679,5.36161315946903,2.18888971537147,2.99154722010368,13.1799019405077,4.24185446039488,0.503631152235266,1.55934087252202,1.43563400546746,2.33010164591499,NA,0.187181756763974,0.241171874874277,5.75328322628839,651.368876535693,0.131366474084885,NA,0.0180323579911361,5.3420193424185,5.24356238112586,0.302733378375295,2.32961208260115,NA,0.374650646801901,172.681115818599,NA,18.0317631502247,2.27807257572247,NA
"009","EL ARENAL",1.63719438354481,4.7391868985359,0.0610650698593313,1.10450406532822,0.588642798735053,5.21035422982058,NA,1.56566411241805,4.17778821724619,14.241132344395,1.27376454103629,1.28690535556307,4.18285917036414,39.6628296708874,NA,NA,0.773756898820665,0.483424811996175,11.7108030802265,1.46552343411691,5.10222589744029,4.68850888770116,NA,NA,0.355028844220895,2.67820233909995,77.8571036359343,0.0251321697094022,NA,NA,NA,NA,NA,355.017132736387,NA,NA
"010","ATITALAQUIA",1.20362936420726,0.0992665077100044,30.0376753891201,0.143435833470329,1.10785858884679,0.593481956008346,1.09668701514721,0.915158227593319,1.07722977308374,0.49044778651333,0.32782033405138,0.286196629960431,0.989265560822948,0.0308379842991157,53.6673930219967,0.309043545955043,23.3810316588552,NA,39.9632437159117,0.0467630491072209,1.01275315956161,0.64724911767976,0.0323500552773783,NA,0.0290010456872505,0.964788222708387,0.0570322395620513,0.0190976390696693,NA,NA,NA,638.614598782576,2671.73224799055,1.81250556360405,0.0519242366436221,NA
