"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",9.81693962138692,7.40294103307115,0.217248664743972,8.53299703518872,0.58262433919388,0.212376758152519,0.189104176155605,11.7960097295428,2.06515229227664,2.0790475874469,0.22457249463997,0.443829611924878,6.50328950778153,175.296292902369,3.20810635140197,0.0771716776734511,6.65311081053097,36.7158283948816,0.189183819865369,1.43544602303474,0.962903248206709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",6.86023119803053,2.71081072303144,9.60617477400504,1.29057040280634,4.54444207569849,4.0261933473801,1.39192172740468,7.56368316607103,1.01549095593752,1.74508324802267,0.254208399708687,0.0706499962952296,4.4772755949402,41.8488797732103,1.74052555722132,1.97096310323723,2.02109512193314,NA,1.39250795353847,1.31614948635976,2.27195633075441,0.0128205425049273,391.395571876578,1.89332463530821,0.0650960412083119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.25493186150633,1.09493322687149,4.581723922312,4.51633754493287,7.74184196500161,3.0503722710803,1.22384035767202,4.20438095791175,7.0386316445302,4.4009132838393,2.70257255275304,8.2294247853972,3.61013200171431,0.105561241715211,0.821935167297817,1.03165336709572,9.39202942517598,0.00411705191721784,4.124918709264,2.1643938539012,4.61313981336854,0.0957371762981745,1.97606909029109,1.86953633156457,1.02845047751805,0.00401211249269788,0.40845395603328,28.9830503409355,0.136503765528654,662.937497664865,7.39917165471278,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",8.62478195982211,4.48385022882704,0.58452786331867,1.4349266917709,0.391901327112646,1.81579631623514,16.5309926700836,2.19794100316207,6.61267696573264,1.50397658600573,0.151058328260321,0.29854127646969,3.58272650818624,197.278206397655,0.319220057814421,0.467184646693992,0.0475630174703109,NA,0.127254192943707,2.17248854546572,7.05340209160877,111.171905318458,12.5462024305278,NA,NA,NA,1.25416208273675,NA,0.600725884588558,NA,NA,NA,NA,NA,NA
"005","AJACUBA",19.5907205352872,0.535670093715895,3.33392049489858,0.511817648707071,66.0736593004942,7.61013094840759,12.5271518012116,7.56260776751302,2.88763700794381,4.17500054717067,2.63126904013369,0.78645890974024,7.61024259951214,0.299585473230606,2.15279060138028,1.88654999963182,30.0471672922722,NA,2.84713465324937,0.83055908158972,9.25170002350472,9.86552464030503,1.63214565971809,0.191165880356292,NA,NA,3.30388801136794,NA,0.0322962365288673,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.24191093435534,2.70155025969044,0.0374080462180581,1.33876001509245,26.0044866956451,0.970724355079281,0.130247387619039,3.51654231519614,1.72109703155701,1.03009141556409,0.154676545767441,0.99044231445068,1.74900424185284,146.959296131938,4.11933079708004,0.850444204415637,0.14915069700733,2.10424868146555,4.2335198756735,0.247169441692512,3.66257290115181,NA,0.356853187625209,NA,0.633737094999233,1122.83395213308,0.0802626463169556,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",2.17817615937657,12.0257222189716,3.12367439018579,5.36727876246495,8.01690299571995,2.75534773635972,NA,2.22034723433291,3.75754942129665,4.46490635103264,9.76628772890938,0.301584663369063,6.76209523115548,NA,0.725567058377523,2.56949040029111,0.108107738936489,0.922655599643917,16.7065459919696,2.49700728537586,10.600037432159,NA,87.1477431120685,5.61254327602783,0.62522193324636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.02043536954839,1.3872208346041,7.49352843496334,3.96539073075389,12.451494740835,3.006197059816,0.970902851135337,5.38713563386718,6.44288707768603,4.06171852748704,3.20279188265915,9.80859580582342,7.17090542301027,0.590392661533647,2.40863186411058,1.71494913212225,0.318590379438946,NA,0.949111081286541,1.19277658882176,7.8136676557297,0.930395730414837,1.43952024902422,1.47039123543156,0.390083334070628,2.91621315369998,0.126474131883222,NA,241.203221895971,NA,18.3923424729676,0.172525560773205,0.272977919560087,NA,NA
"009","EL ARENAL",1.6466493193487,4.69114663514419,0.198397267111928,1.40251771670144,NA,4.0807012785469,46.4480392651848,5.19941343771835,3.05493064054072,11.4138313265934,0.820342334579333,2.5332313944546,6.60832783720261,0.472841575304775,5.30904882649727,0.281900926146523,0.0161435806124473,NA,11.6169003668826,0.327721885416881,7.26836819709195,11.1275441636449,0.210289568816064,111.226364769314,0.840271816004421,NA,0.425680870570788,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",1.03623858133121,0.147275559371165,16.831368242914,0.16541404385547,0.769747179756835,1.12182338167236,0.364917144733152,0.524806712961079,0.708215697562156,0.403019547583323,13.8578080330509,0.760767149959846,0.775489923475825,0.0200314926703036,14.6526168027262,22.2101952151608,0.0179632644315215,1.3463344018011,0.124539788126314,0.033895586556031,0.713041805231436,0.158181794466349,0.170518499418906,0.0112342865118697,0.170338797563466,NA,0.306852521804891,NA,517.692231332184,1137.18811036377,NA,0.0384373605616166,1770.05060635488,NA,NA
