"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",9.36448591467696,7.04112104840168,0.203084547351661,7.95574741358592,0.553933488531548,0.199197771622994,0.177299192305688,11.0003694697087,2.70348757443025,1.9513478167543,0.210993337855719,0.41805560328613,7.31300885957328,163.92346597247,5.54065837400115,0.0715122965495987,6.17861783078077,34.1348637661647,0.176770909276322,1.34200183436355,0.899193349543183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",5.76513752157217,2.59835401357394,9.57235322668713,1.21705622425457,4.17752868779981,3.97222488193827,1.39113385561083,7.00228922377796,1.01460147275513,1.67167467248308,0.254595395317525,0.0709379095497411,4.78826197592756,41.7158120459156,2.22113203454944,1.94692735202138,2.00079134044849,NA,1.38698881468911,1.31165594002744,2.2616160766751,0.012449052437255,392.564915959812,1.87631292542367,0.0653681627089175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",3.398259372539,1.08109498102647,4.56215285971922,4.51100797538813,7.84033198597707,3.01682954109641,1.22222611898078,4.29886190736149,6.87556171473284,4.38748689411479,2.70464764073799,8.25673615634924,3.6009874220113,0.105146310679117,0.933391667883824,1.0492074613558,9.24633673514529,0.00407710915407004,4.10547443839243,2.15537920084061,4.50251399990349,0.0928930433472484,1.95517026704088,1.85134252877849,1.03197165471793,0.29493551240275,28.8040543874425,0.136595849207377,691.017457393365,7.18429306715106,NA,NA,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",8.84005226266523,4.49362505127336,0.587115935978784,1.43750046164581,0.400354412522136,1.82996804605016,16.6534208661058,2.20235369850705,6.65958481739679,1.51673678276055,0.152495047821071,0.302148920259176,3.58460516345946,198.219508123221,0.308989249555609,0.465168430134253,0.0474607790535638,NA,0.12776085035396,2.18234106806797,7.07730584193884,108.811641173763,12.5219649612611,NA,NA,0.913514325632933,NA,0.606382907148953,NA,NA,NA,NA,NA,NA,NA
"005","AJACUBA",21.6216923641424,0.578063704013003,3.60584003172116,0.552110621916818,52.9551924491363,8.25849807699609,12.3487278432505,7.75683246354284,2.60616548257835,3.92476793918818,2.25997608658616,0.857087703994153,7.69863445644973,0.324131023553878,2.66238690746815,2.02265846802766,31.6921398332259,NA,3.07798335241936,0.89839686546475,8.24084323837313,10.3975989950782,1.75408920037956,0.205623880396118,NA,2.5913112489394,NA,0.0351038773741235,NA,NA,NA,NA,NA,NA,NA
"006","ALFAJAYUCAN",1.26999012643014,2.70123253303943,0.0374875331104304,1.33808652478082,26.5044841874855,0.976057690037485,0.130911178200141,3.5155240274659,1.72933204135457,1.03644938354597,0.155789691379132,1.0001129097723,1.75961894126221,147.321974980925,3.97816738213609,0.844832635759771,0.14848888173902,2.09721994413022,4.24063097807028,0.247721152869636,3.66655990597493,NA,0.355347250916073,NA,0.639991835311385,0.058328170690728,NA,NA,NA,NA,1122.27811962971,NA,NA,NA,NA
"007","ALMOLOYA",2.22890506108882,12.0323031228266,3.13239317940011,5.36814567524371,8.17647994973438,2.77232827408766,NA,2.22118021887353,3.77803877083461,4.4954519521553,9.84311238075009,0.304731799115023,6.75461832350511,NA,0.701168854576436,2.5542331214804,0.107699604870245,0.920185135775031,16.7457354338253,2.5042449216754,10.6186323041215,NA,86.8376776551384,5.59734618133244,0.631812459593552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","APAN",4.11618936804394,1.38869506040882,7.68594310574947,3.96807451773773,12.7058852381085,3.02628186245075,0.977002903577523,5.39193317006264,6.48135665197207,4.09161273324739,3.22964910079378,9.91605788382082,7.17537431469679,0.59254834242732,2.32883746228119,1.7056442989349,0.317551138673308,NA,0.95182759242316,1.19685018202875,7.83140727631804,0.909627484531414,1.43513754263034,1.46716535042753,0.394398331055162,0.0920193066159841,NA,243.203187948042,NA,17.994147270523,2.91821033959068,0.172579762965086,0.276574589707318,NA,NA
"009","EL ARENAL",0.184842785513888,4.634062956471,0.196422630638507,1.38491724047555,NA,4.05366977555488,46.1221025498024,6.80929092806006,3.48124697523702,13.1244704570755,0.816287935429287,2.52713655536155,6.20626708808111,0.468295652499666,3.72146145357101,0.276665725569953,0.0635129827182264,NA,11.4961691300423,0.324494815170429,7.18858526037162,13.5134044569796,1.86190543958937,121.220428485152,NA,0.305620876509927,NA,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",1.08283500650832,0.244476870117643,16.3406808829022,0.160170574759036,0.760060333946038,1.09278050759258,0.355329176130671,0.523990342268886,0.702613098863893,0.413425944873535,13.5218988762652,0.744218547074674,0.787279604521054,0.0194541684598808,13.7088323760212,21.3749999721902,0.017325381368131,1.29995628837497,0.120855353151177,0.0473917616241104,0.703942575295265,0.169985446155911,0.164499193218278,0.0108469634062183,0.166650941918862,0.250007072881397,NA,505.096465554501,1155.73577271595,NA,NA,0.0372054447962576,1735.34953300269,NA,NA
