"codigo_act","Título","complejidad_producto_2015","afinidad_2015","personal_ocupado_2015","complejidad_producto_2016A","afinidad_2016A","personal_ocupado_2016A","complejidad_producto_2016B","afinidad_2016B","personal_ocupado_2016B","complejidad_producto_2017A","afinidad_2017A","personal_ocupado_2017A","complejidad_producto_2017B","afinidad_2017B","personal_ocupado_2017B","complejidad_producto_2018A","afinidad_2018A","personal_ocupado_2018A","complejidad_producto_2018B","afinidad_2018B","personal_ocupado_2018B","complejidad_producto_2019A","afinidad_2019A","personal_ocupado_2019A","complejidad_producto_2019B","afinidad_2019B","personal_ocupado_2019B","complejidad_producto_2020A","afinidad_2020A","personal_ocupado_2020A","complejidad_producto_2020B","afinidad_2020B","personal_ocupado_2020B","complejidad_producto_2021A","afinidad_2021A","personal_ocupado_2021A","complejidad_producto_2021B","afinidad_2021B","personal_ocupado_2021B","complejidad_producto_2022A","afinidad_2022A","personal_ocupado_2022A","complejidad_producto_2022B","afinidad_2022B","personal_ocupado_2022B","complejidad_producto_2023B","afinidad_2023B","personal_ocupado_2023B","complejidad_producto_2024A","afinidad_2024A","personal_ocupado_2024A","complejidad_producto_2024B","afinidad_2024B","personal_ocupado_2024B","codigo_act_dos_digitos","Título_dos_digitos"
11119,"Cultivo de otros cereales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.840016503043961,0.481607045087353,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11141,"Cultivo de productos alimenticios en invernaderos y otras estructuras agrícolas protegidas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32076929288322,0.319538171763787,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11194,"Cultivo de alfalfa y pastos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.921819252069318,0.453714894916915,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11212,"Explotación de bovinos para la producción de leche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2239007556161,0.304890945665771,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11221,"Explotación de porcinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09868015551725,0.517176792606669,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11239,"Explotación de otras aves para producción de carne y huevo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.891846609777028,0.598642189021036,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11241,"Explotación de ovinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22805748703128,0.508250356052447,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11242,"Explotación de caprinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89118878422796,0.432060107218633,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11251,"Acuicultura",-1.27995485855225,0.385086775493545,429,-1.37965987034791,0.409736776711429,777,-1.33338245629849,0.408083097640983,777,-1.31717209304168,0.404492345374295,777,-1.27441701518211,0.413940979845129,777,-1.30871969187179,0.402034213605892,777,-1.28446068875052,0.413607929107221,777,-1.52216752576695,0.438902105572649,777,-1.80939409960262,0.480314300221958,1272.5,-1.88203188697725,0.463686715554608,1028,-1.55029342413648,0.441777360643782,761.5,-1.51768907454021,0.440733741828227,761.5,-1.52197396063955,0.436645201960023,761.5,-1.63963341911226,0.447197165419516,761.5,-1.61809807791722,0.446851622305563,767,-1.55951603221778,0.438647376410165,767,-1.79091243388713,0.456334245025511,767,-1.46229428441692,0.440801406706583,443,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
11293,"Cunicultura y explotación de animales con pelaje fino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81912611805511,0.525229677764803,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
