"codigo_act","Título","complejidad_producto_2015","afinidad_2015","personal_ocupado_2015","complejidad_producto_2016A","afinidad_2016A","personal_ocupado_2016A","complejidad_producto_2016B","afinidad_2016B","personal_ocupado_2016B","complejidad_producto_2017A","afinidad_2017A","personal_ocupado_2017A","complejidad_producto_2017B","afinidad_2017B","personal_ocupado_2017B","complejidad_producto_2018A","afinidad_2018A","personal_ocupado_2018A","complejidad_producto_2018B","afinidad_2018B","personal_ocupado_2018B","complejidad_producto_2019A","afinidad_2019A","personal_ocupado_2019A","complejidad_producto_2019B","afinidad_2019B","personal_ocupado_2019B","complejidad_producto_2020A","afinidad_2020A","personal_ocupado_2020A","complejidad_producto_2020B","afinidad_2020B","personal_ocupado_2020B","complejidad_producto_2021A","afinidad_2021A","personal_ocupado_2021A","complejidad_producto_2021B","afinidad_2021B","personal_ocupado_2021B","complejidad_producto_2022A","afinidad_2022A","personal_ocupado_2022A","complejidad_producto_2022B","afinidad_2022B","personal_ocupado_2022B","complejidad_producto_2023B","afinidad_2023B","personal_ocupado_2023B","complejidad_producto_2024A","afinidad_2024A","personal_ocupado_2024A","complejidad_producto_2024B","afinidad_2024B","personal_ocupado_2024B","codigo_act_dos_digitos","Título_dos_digitos"
311811,"Panificación industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21721353672191,0.314388527185376,121.5,0.208685824027588,0.321791009893895,81,0.216440320017427,0.302762612323663,81,0.225136264373923,0.325412137316853,81,0.156467840940564,0.316885962916094,121.5,0.435510597130145,0.297501893222203,81.5,0.390731560628581,0.301643220107142,40.5,0.277385098736228,0.310253364296443,175.5,0.299830963734529,0.305917961515359,175.5,0.308380241138488,0.30425796235807,175.5,0.290797541664434,0.302687343780715,175.5,0.278704775047112,0.312872209187877,175.5,0.0776978299212001,0.379329002799764,426.5,0.0676959263293216,0.378773579855525,426.5,0.261168519766175,0.367725028433044,725,31,"Industrias manufactureras"
311812,"Panificación tradicional",-1.14537896563243,0.445040316148616,5305,-1.0647217857582,0.453197164060991,5330,-0.994318278955266,0.455031924612276,5353,-1.07610163982999,0.465115405054033,5428.5,-1.04826075626312,0.469087606260583,5426,-1.01289752425143,0.446929415464308,5426,-1.2972555044709,0.477463450321014,5426,-1.27088971542987,0.471757241389132,5601.5,-2.00630476914085,0.50335013473347,7121.5,-2.01715874012469,0.506049212925147,7240.5,-2.14798505464464,0.516444045362698,7220.5,-2.10405310908401,0.51038444358499,7175,-2.09956894875472,0.506066104256615,7236,-2.14694436582631,0.507810427948025,7233.5,-2.11251711031207,0.520161337866502,7225.5,-2.10496167323788,0.524506037384999,7241,-2.11157217975252,0.525090059628672,7241,-1.7638867057518,0.495619605754359,7954,31,"Industrias manufactureras"
311813,"Elaboración de tortillas de harina de trigo de forma tradicional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09397949472937,0.261843518991208,69.5,0.909647381390225,0.275822196600683,77,1.01648942068214,0.264816366367408,77,1.00238539398738,0.265182404747298,77,1.00650526699575,0.263102417905142,77,1.01233028286507,0.261984799577695,77,0.999696041516523,0.275288847209032,77,1.05261143978418,0.279725224351876,77,1.03816217298836,0.279704187315296,77,0.996442542320136,0.275887803650598,88.5,31,"Industrias manufactureras"
311820,"Elaboración de galletas y pastas para sopa",0.524321349814302,0.297189448289965,18,0.403062103691083,0.348288552959198,271.5,0.405176002616188,0.354761319465922,269,0.390370234193825,0.362314689156789,344.5,0.270659901483603,0.376072671225368,595.5,0.188391341122448,0.352904221674878,595.5,0.202357883252786,0.370796504817532,595.5,0.20343541010593,0.372311475650076,593,0.125654939979977,0.359726377080712,369.5,0.101741191713963,0.369669208408469,362,0.125002198190957,0.363789820265678,542.5,0.14795890250673,0.360255928663318,540,0.159247533228284,0.357957204913624,540,0.135120533454747,0.35745383350226,540,0.134103355799583,0.366477338620456,540,0.110192144791247,0.364760193994301,540,0.120634282665776,0.360847799171808,540,0.0966843623814602,0.372500845219244,589,31,"Industrias manufactureras"
311830,"Elaboración de tortillas de maíz y molienda de nixtamal",-2.25865385187395,0.512324572737399,10678,-2.16185282850139,0.515976011074146,10722.5,-2.06264528387134,0.515376975702436,10730,-2.24084719736427,0.52166064737962,10730,-2.18340198388687,0.525519079364426,10730,-2.14392427917495,0.503016195035843,10730,-2.22716342297258,0.525542333482131,10730,-2.18361276851023,0.518431276960231,10727.5,-2.44965592650987,0.520585469770563,11629.5,-2.42383361983297,0.521973888355344,11602,-2.58083369298155,0.535613490552491,11749,-2.5486853399615,0.529321009011028,11689.5,-2.55151132832205,0.524400242830206,11762,-2.60755386140597,0.528786207982134,11762,-2.52979565760034,0.539846978477667,11744,-2.56599843732135,0.550283369364451,11744,-2.55407569087103,0.54700404320262,11744,-2.32810537297911,0.515701311628573,11412,31,"Industrias manufactureras"
311910,"Elaboración de botanas",-0.858167656408007,0.390128492253595,699.5,-0.697007937961497,0.386543934967627,677,-0.652200741928812,0.391847183366929,677,-0.451003211776152,0.389511095250581,695,-0.571388597078134,0.403051217530647,695,-0.592039333923393,0.385151314612576,695,-0.566469705378242,0.404227321422857,870.5,-0.962551605517328,0.427968163545635,870.5,-0.590097351487031,0.424135907542548,1014,-0.3137338187578,0.411314688677997,1016.5,-0.564773649872499,0.420328580647598,1019,-0.442042270233985,0.408344517767742,1019,-0.417942958400542,0.406505121614478,1024,-0.448820144916405,0.407685024495811,1024,-0.29980784165202,0.411996264213623,1024,-0.176671182767877,0.406500692529438,1024,-0.156121297787614,0.404328866114126,1024,-0.0865716281888714,0.394952845443796,1106,31,"Industrias manufactureras"
311921,"Beneficio del café",-2.69609964110727,0.368902467116098,7.5,-2.66659614676534,0.383584568740912,7.5,-2.66133121092853,0.379534118201653,7.5,-2.70789520721285,0.382169538785087,7.5,-2.67831107925137,0.383766148011727,7.5,-2.68297739856367,0.361818752981525,7.5,-2.72270305295581,0.383386584678913,7.5,-2.56418662564806,0.379045465903937,7.5,-3.13015877912074,0.402756208948294,7.5,-2.93084413361861,0.406353458712047,7.5,-3.21479102614778,0.417589879040056,7.5,-3.19941239191264,0.41336079969339,7.5,-3.19287500772281,0.40789686053851,7.5,-3.23127689129979,0.416813899633782,7.5,-3.18790611834323,0.425635974069803,7.5,-3.20815933259827,0.429103506999396,7.5,-3.20662840580956,0.430904304196084,7.5,-3.1254854930794,0.410417291181218,5,31,"Industrias manufactureras"
311922,"Elaboración de café tostado y molido destinado a unidades que lo comercializan",-1.0017438149719,0.261462188566152,38,-1.59623895775825,0.353804284097879,38,-1.07153512868832,0.337428268603699,38,-1.19505530604573,0.348034943564519,38,-1.17194584826892,0.356378546245618,38,-1.19264104277217,0.339495084049379,38,-1.17579871883355,0.357489044500156,38,-1.04720758511126,0.339836603372712,38,-2.0208089750928,0.362234977863414,53,-0.797285847043259,0.311813849014145,50.5,-0.580767030473315,0.310064181595776,50.5,-0.598054544145098,0.309884511789674,50.5,-0.612183783490281,0.307397378890518,50.5,-0.619516233413591,0.307636500941757,50.5,-0.594780143456532,0.317069666114653,50.5,-0.926602666165454,0.334138819315594,50.5,-0.885503146761606,0.33017761798493,50.5,-1.56097160765873,0.362725299908206,55.5,31,"Industrias manufactureras"
311923,"Elaboración de café instantáneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0372455149946059,0.300311178900016,2.5,-0.840121108262123,0.304468367715641,2.5,-1.2137844335354,0.359082580342997,2.5,-1.23404925513517,0.356697743303612,2.5,-1.22886649378272,0.351651755035546,2.5,-1.2575632771251,0.354947004439988,2.5,-1.23647009740796,0.369007091411116,2.5,-1.24879858378094,0.377310019857852,2.5,-1.23972374872627,0.377426838342886,2.5,-1.09571302790518,0.35922773777472,25.5,31,"Industrias manufactureras"
311924,"Preparación y envasado de té",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0837316908522117,0.356553178932018,20.5,-0.367168784946023,0.390409077018338,20.5,-0.32858393661229,0.387741498654329,20.5,-0.191536017347512,0.378731836171412,20.5,-0.171753616273036,0.375835638963887,20.5,-0.213614431323797,0.3755145780046,20.5,-0.200844746530329,0.386923563179829,20.5,-0.259729823219297,0.399775098778387,20.5,-0.278599909482214,0.406014070215731,20.5,NA,NA,NA,31,"Industrias manufactureras"
