"codigo_act","Título","complejidad_producto_2015","afinidad_2015","personal_ocupado_2015","complejidad_producto_2016A","afinidad_2016A","personal_ocupado_2016A","complejidad_producto_2016B","afinidad_2016B","personal_ocupado_2016B","complejidad_producto_2017A","afinidad_2017A","personal_ocupado_2017A","complejidad_producto_2017B","afinidad_2017B","personal_ocupado_2017B","complejidad_producto_2018A","afinidad_2018A","personal_ocupado_2018A","complejidad_producto_2018B","afinidad_2018B","personal_ocupado_2018B","complejidad_producto_2019A","afinidad_2019A","personal_ocupado_2019A","complejidad_producto_2019B","afinidad_2019B","personal_ocupado_2019B","complejidad_producto_2020A","afinidad_2020A","personal_ocupado_2020A","complejidad_producto_2020B","afinidad_2020B","personal_ocupado_2020B","complejidad_producto_2021A","afinidad_2021A","personal_ocupado_2021A","complejidad_producto_2021B","afinidad_2021B","personal_ocupado_2021B","complejidad_producto_2022A","afinidad_2022A","personal_ocupado_2022A","complejidad_producto_2022B","afinidad_2022B","personal_ocupado_2022B","complejidad_producto_2023B","afinidad_2023B","personal_ocupado_2023B","complejidad_producto_2024A","afinidad_2024A","personal_ocupado_2024A","complejidad_producto_2024B","afinidad_2024B","personal_ocupado_2024B","codigo_act_dos_digitos","Título_dos_digitos"
1111,"Cultivo de semillas oleaginosas, leguminosas y cereales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76101121031652,0.473894481698475,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1114,"Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18702989671841,0.336921760797023,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1119,"Otros cultivos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336681779768368,0.307842338377032,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1121,"Explotación de bovinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482377406183683,0.315526341192894,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1122,"Explotación de porcinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.96062162489714,0.55762695236268,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1123,"Explotación avícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293009653131164,0.34057167238408,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1124,"Explotación de ovinos y caprinos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68134434640247,0.546349496900139,175.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1125,"Acuicultura",-1.17608170532098,0.402223616798709,429,-1.28013901368841,0.407737733615785,777,-1.26059080461143,0.401227823114974,777,-1.2258798147423,0.416963477462757,777,-1.20024447012224,0.414864771875132,777,-1.1902673278988,0.409912134347028,777,-1.21080156787979,0.425004570934479,777,-1.42688101736199,0.449418051260134,777,-1.68086430225328,0.499708993111882,1272.5,-1.81633394346127,0.491426080469531,1028,-1.51821235258028,0.423525403218914,761.5,-1.51826628488078,0.426263695013361,761.5,-1.50152739998792,0.426026826937683,761.5,-1.58844895465714,0.438113539125623,761.5,-1.58044123105404,0.452335129382679,767,-1.51078210181113,0.434782729075554,767,-1.74642492741654,0.449910743068354,767,-1.45684199892339,0.467601579079607,443,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1129,"Explotación de otros animales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6242990861165,0.545925727181649,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
1141,"Pesca",-1.67651726422739,0.340596878859222,433.5,-1.91535945277622,0.355528014761425,718.5,-1.95777350870149,0.356725651474265,718.5,-1.8633207062083,0.364722991809769,718.5,-1.86226429276752,0.362143826364788,718.5,-1.85233475731187,0.362801072914934,718.5,-1.9254225857307,0.378022940925884,718.5,-1.96534179583845,0.400601471505723,718.5,-1.56049788864419,0.3868845740207,1468.5,-1.81791756009426,0.382707907664146,1090,-1.81148107529626,0.361072412470841,911,-1.77095309252421,0.357541529928728,911,-1.74152733083896,0.359990634867742,911,-1.77335985426069,0.362820389595886,911,-1.81210371558083,0.376585300440315,911,-1.76078321135732,0.372181347133277,911,-1.69721302977728,0.367161023856415,911,-1.72791273019437,0.406251294926839,817.5,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
