"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"001","Acatlán","Región Tulancingo",45,31.1777777777778,46,29.9782608695652,46,28.9347826086957,45,29.1111111111111,43,28.7674418604651,34,29.5882352941176,42,28.9285714285714,44,28.4090909090909,47,29.8297872340426,48,29.3958333333333,52,28.2307692307692,56,27.875,55,27.8,55,27.7818181818182,56,27.9107142857143,55,28.1090909090909,54,28.2592592592593,52,27.4615384615385
"002","Acaxochitlán","Región Tulancingo",53,26.7169811320755,53,26.811320754717,52,27.0961538461538,50,27.36,51,27.2549019607843,50,26.58,53,26.8490566037736,52,26.25,63,26.5396825396825,61,28.9672131147541,66,28.3939393939394,64,28.5625,64,28.421875,64,28.328125,64,28.34375,64,28.65625,64,28.734375,67,30.3731343283582
"003","Actopan","Región Actopan",112,20.5535714285714,110,20.5818181818182,110,20.9545454545455,111,20.1171171171171,113,20.3716814159292,100,19.69,110,20.6727272727273,108,21.1203703703704,96,21.34375,102,22.0098039215686,106,22.4528301886792,109,22.5871559633028,109,22.5779816513761,108,22.6296296296296,111,22.1981981981982,111,22.8648648648649,110,23.0272727272727,113,24.7256637168142
"004","Agua Blanca de Iturbide","Región Tulancingo",57,32.6842105263158,51,31.4313725490196,51,31.3725490196078,52,31.3846153846154,53,31.2452830188679,42,30.8095238095238,52,31.2307692307692,53,31.0566037735849,62,30.3548387096774,61,30.2295081967213,65,30.5538461538462,65,30.5692307692308,65,30.5846153846154,65,30.4923076923077,65,30.6307692307692,65,30.7538461538462,65,30.8,65,33.0307692307692
"005","Ajacuba","Región Tula",52,31.4615384615385,51,31.9803921568627,49,32.3469387755102,48,32.5625,49,32.0204081632653,42,31.3333333333333,48,32.4375,49,32.3877551020408,72,27.2361111111111,69,29.1304347826087,65,30.2,63,30.3650793650794,63,30.2698412698413,63,30.2380952380952,64,30.1875,64,30.265625,63,30.4920634920635,61,31.2131147540984
"006","Alfajayucan","Región Ixmiquilpan",64,31.59375,61,32.2295081967213,60,32.15,60,31.8666666666667,60,32.1166666666667,53,30.8490566037736,58,32.6551724137931,58,32.3275862068965,59,30.3050847457627,60,31.4333333333333,57,32.0350877192982,57,32,57,32.0175438596491,57,31.9473684210526,57,32.0526315789474,59,32.4406779661017,59,32.4237288135593,67,30.4626865671642
"007","Almoloya","Región Apan",65,29.9538461538462,71,30.2253521126761,70,30.4428571428571,70,30.3714285714286,70,30.5571428571429,60,30.5,70,30.5571428571429,70,30.2285714285714,66,30.1666666666667,64,30.859375,65,30.6461538461538,65,30.6615384615385,65,30.6615384615385,65,30.5692307692308,64,31.0625,57,31.3333333333333,56,31.4464285714286,61,30.5409836065574
"008","Apan","Región Apan",112,21.4464285714286,101,21.009900990099,102,20.8725490196078,105,21.1142857142857,105,21.2285714285714,90,20.5,101,21.4752475247525,100,21.74,107,22.4579439252336,106,21.9433962264151,105,21.9142857142857,104,21.7788461538462,105,21.9047619047619,104,21.6538461538462,103,22.0776699029126,104,22.0961538461538,107,21.9906542056075,95,22.8315789473684
"009","El Arenal","Región Actopan",40,31.025,41,31.5853658536585,41,31.6585365853659,41,31.5121951219512,42,32.3571428571429,35,30.6857142857143,41,32.9268292682927,42,32.6190476190476,38,32.5263157894737,39,33.1282051282051,40,32.9,41,33.609756097561,43,32.3720930232558,43,32.3488372093023,43,32.3488372093023,41,33.2682926829268,40,33.2,45,33.0222222222222
"010","Atitalaquia","Región Tula",61,17.8360655737705,60,14.0666666666667,59,13.2372881355932,59,12.9322033898305,59,12.4406779661017,54,10.7407407407407,59,13.1864406779661,58,13.2241379310345,61,16.5081967213115,62,17.3548387096774,63,14.5396825396825,63,14.3333333333333,64,14.140625,65,14.5846153846154,69,14.4492753623188,66,14.4848484848485,67,14.1940298507463,66,15.1969696969697
"011","Atlapexco","Región Huejutla",57,28.1754385964912,53,29.1132075471698,54,28.6851851851852,53,28.2641509433962,53,28.3018867924528,44,27.7272727272727,53,28.5283018867925,53,28.4716981132075,48,28.8125,48,29,56,28.4107142857143,56,28.8392857142857,55,28.7090909090909,56,28.3392857142857,54,28.3518518518519,52,29.5769230769231,52,29.7692307692308,63,30.3333333333333
"012","Atotonilco el Grande","Región Zacualtipán",79,26.3291139240506,84,26.297619047619,84,26.1428571428571,86,25.9651162790698,86,26.046511627907,77,25.8831168831169,87,26.5632183908046,86,26.8720930232558,90,25.8444444444444,90,26.4222222222222,93,26.8172043010753,95,27.0631578947368,95,27.0315789473684,96,26.8020833333333,93,26.8387096774194,96,26.625,96,26.7083333333333,96,27.9375
"013","Atotonilco de Tula","Región Tula",78,19.525641025641,70,19.5857142857143,71,19.3239436619718,74,19.2162162162162,71,19.3521126760563,64,18.34375,71,20.0845070422535,70,20.6857142857143,83,19.144578313253,77,18.4155844155844,82,17.890243902439,82,17.8170731707317,83,17.1325301204819,84,17.547619047619,84,17.6309523809524,84,17.2142857142857,83,17.3855421686747,92,17.9021739130435
