"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"001","Acatlán","Región Tulancingo",35,32.6857142857143,34,30,34,29.4705882352941,32,29.65625,32,29.21875,28,29.6785714285714,32,28.96875,33,28.2727272727273,34,30.5882352941176,35,30.4571428571429,38,29.9473684210526,39,29.6153846153846,39,29.5897435897436,39,29.5641025641026,39,29.8205128205128,38,30,37,30.1891891891892,35,30.8571428571429
"002","Acaxochitlán","Región Tulancingo",40,25.825,40,26.175,38,27.3157894736842,38,28.2105263157895,39,27.7179487179487,37,26.6486486486486,40,27.3,42,26.6666666666667,46,26.1304347826087,41,29.1463414634146,47,27.9148936170213,44,28.7272727272727,46,28.3695652173913,46,28.3695652173913,46,28.4130434782609,45,29.2222222222222,45,29.1555555555556,47,31.7234042553191
"003","Actopan","Región Actopan",66,20.7272727272727,68,20.8235294117647,64,21.3125,66,20.9393939393939,67,21.2388059701493,62,20.5967741935484,67,21.1194029850746,65,21.5692307692308,56,20.8392857142857,62,21.5645161290323,61,23.1967213114754,63,23.1746031746032,64,23.265625,63,23.4126984126984,65,23.1230769230769,63,23.3968253968254,64,23.171875,68,26.3088235294118
"004","Agua Blanca de Iturbide","Región Tulancingo",43,30.7674418604651,36,30,36,30.1388888888889,37,30.4864864864865,38,30.1315789473684,34,29.1764705882353,38,30.1315789473684,38,30.1578947368421,45,30.0888888888889,40,29.65,45,30.9555555555556,45,31,45,31.1777777777778,45,31.1333333333333,45,30.9555555555556,45,31.2666666666667,45,31.1333333333333,48,32.1458333333333
"005","Ajacuba","Región Tula",35,32.2,36,31.1666666666667,35,31.9142857142857,34,32.1470588235294,35,31.3714285714286,30,31.2666666666667,35,31.7142857142857,35,31.4571428571429,43,27.4651162790698,41,30.3414634146341,41,30.1219512195122,40,30.575,40,30.525,40,30.575,41,30.3414634146341,42,30.2857142857143,41,30.4146341463415,41,31.8780487804878
"006","Alfajayucan","Región Ixmiquilpan",46,30.4565217391304,42,31.2142857142857,39,31.6410256410256,39,31.2820512820513,39,31.5897435897436,36,31.0277777777778,40,31.925,41,31.5121951219512,46,30.0217391304348,47,30.1489361702128,47,31.3191489361702,47,31.3191489361702,47,31.3617021276596,47,31.2765957446809,47,31.4255319148936,48,32.0625,48,32,46,31.1739130434783
"007","Almoloya","Región Apan",44,30.5909090909091,48,30.5416666666667,48,30.625,49,30.4489795918367,48,30.7291666666667,42,30.6190476190476,48,30.8958333333333,47,30.6382978723404,39,32.974358974359,37,34.2972972972973,37,34.1081081081081,37,34.2162162162162,37,34.2972972972973,37,34.3243243243243,37,35.027027027027,36,34.6111111111111,37,34.4594594594595,41,33.6341463414634
"008","Apan","Región Apan",73,21.6027397260274,64,21.078125,64,20.75,71,21.2253521126761,71,21.2957746478873,62,20.3548387096774,69,21.7826086956522,65,22.0307692307692,59,23.7796610169492,64,22.78125,65,22,65,22.4,65,22.3692307692308,65,22.3384615384615,65,22.1846153846154,64,22.359375,68,22.6029411764706,58,23.9137931034483
"009","El Arenal","Región Actopan",23,30.5652173913043,24,31,23,31.3478260869565,25,30,25,29.8,23,29.3478260869565,25,30,25,30.84,26,32.7307692307692,28,32.3928571428571,28,33.5357142857143,28,33.6785714285714,29,32.9655172413793,29,33.0689655172414,29,33.1379310344828,28,33.9642857142857,25,34.36,35,33.0285714285714
"010","Atitalaquia","Región Tula",41,15.7073170731707,43,13.5116279069767,42,13,42,12.7142857142857,42,12.7619047619048,39,10.6923076923077,42,12.6190476190476,41,12.8780487804878,38,16.4210526315789,37,15.6756756756757,39,15.2307692307692,38,14.1578947368421,39,14.3076923076923,40,15.425,42,15.2142857142857,42,16.1428571428571,43,15.953488372093,49,17.530612244898
