"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"001","Acatlán","Región Tulancingo",5,33.6,6,29.1666666666667,7,27.1428571428571,7,27.4285714285714,7,27.1428571428571,6,25.5,7,26.7142857142857,7,27.5714285714286,7,32.1428571428571,8,29.625,6,31.6666666666667,6,31.6666666666667,6,31.5,6,31.5,6,31.1666666666667,5,33.2,5,33.2,7,29.1428571428571
"002","Acaxochitlán","Región Tulancingo",5,32.4,5,37,5,36.8,5,37,5,36.6,5,36.4,5,36.6,5,37,5,34.8,6,33,7,30.7142857142857,6,32.3333333333333,6,32.1666666666667,6,32.1666666666667,6,32,6,31.3333333333333,6,31.5,6,32.8333333333333
"003","Actopan","Región Actopan",10,26.1,10,26.6,9,28.2222222222222,10,29.4,11,27.3636363636364,10,26.6,11,27.5454545454545,10,29,9,24.3333333333333,10,23.8,10,23.8,10,24.1,10,23.8,10,23.7,11,23,10,23.5,10,23.2,11,24.4545454545455
"004","Agua Blanca de Iturbide","Región Tulancingo",7,30.4285714285714,6,29,6,28.8333333333333,6,29.8333333333333,6,29.6666666666667,5,28.2,6,30,6,29.8333333333333,6,30,3,32,5,30.8,5,30.8,5,30.8,5,31,5,30.8,4,33.5,4,33.5,6,31.1666666666667
"005","Ajacuba","Región Tula",4,32.5,6,34.6666666666667,6,34.3333333333333,6,35,6,34.6666666666667,5,33.6,6,34.6666666666667,6,35,7,30.4285714285714,5,33.4,5,33.8,5,34,5,33.8,5,33.8,5,33.6,6,29.3333333333333,5,26.4,5,30
"006","Alfajayucan","Región Ixmiquilpan",5,34.2,6,32.5,6,29.3333333333333,6,29,6,29,6,28.8333333333333,6,29.1666666666667,6,29.1666666666667,6,30.3333333333333,7,30.8571428571429,7,30.7142857142857,7,30.5714285714286,7,30.1428571428571,7,30,7,30.4285714285714,7,30.4285714285714,7,29.5714285714286,7,31.4285714285714
"007","Almoloya","Región Apan",9,27.7777777777778,11,29.8181818181818,10,30.9,11,31.6363636363636,11,31.7272727272727,11,29.2727272727273,11,31.6363636363636,11,31.6363636363636,6,33.8333333333333,8,31.875,8,31.5,8,31.375,8,31,8,31,9,29.8888888888889,8,30.875,8,30.125,5,35
"008","Apan","Región Apan",10,21.8,8,21.375,8,21.125,7,21.5714285714286,7,21.1428571428571,6,18.3333333333333,7,21.1428571428571,7,20.4285714285714,7,24.1428571428571,5,25.8,6,22.6666666666667,6,22.6666666666667,6,22.5,6,22.5,6,22.3333333333333,6,22.3333333333333,7,24.7142857142857,6,25.5
"009","El Arenal","Región Actopan",6,33.5,7,34.4285714285714,7,34.4285714285714,7,35,7,35,7,35,7,35,7,35.1428571428571,5,36.6,6,35.8333333333333,5,37.6,5,37.8,6,33.3333333333333,6,33.5,5,37.6,5,36.8,5,36.2,5,37.4
"010","Atitalaquia","Región Tula",8,16.75,9,17.1111111111111,9,17,9,17,9,17,9,16.8888888888889,8,16.875,9,18.3333333333333,8,18.75,8,20.25,7,22.1428571428571,8,20.75,8,20.5,8,20.375,9,19.6666666666667,9,17.2222222222222,11,18.5454545454545,10,19.4
"011","Atlapexco","Región Huejutla",10,25.8,9,30,9,30,9,30.4444444444444,9,30,8,29.75,9,30.6666666666667,8,32.25,8,31.75,7,34.1428571428571,8,30.875,8,31,8,31,8,31.125,7,32.1428571428571,7,31.5714285714286,7,31.4285714285714,7,30.7142857142857
