"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"063","Tepeji del Río de Ocampo","Región Tula",22,15.7727272727273,25,17.6,25,17.32,24,16.3333333333333,23,18.0869565217391,20,16.05,20,16.4,20,15.5,25,13.8,22,13.8181818181818,22,13.1818181818182,22,13.3181818181818,22,13.1363636363636,22,13.1363636363636,24,12.75,24,12.75,23,12.8695652173913,29,14.5862068965517
"064","Tepetitlán","Región Tula",8,32.25,9,35.5555555555556,10,35.8,10,35.6,10,36,9,36.2222222222222,10,36.1,10,36.2,13,33.4615384615385,13,33.6923076923077,15,33.0666666666667,14,32.3571428571429,14,32.5714285714286,14,32.4285714285714,14,33.7142857142857,14,33.5,13,32.8461538461538,14,34.8571428571429
"065","Tetepango","Región Tula",17,32.3529411764706,17,37.2941176470588,17,37.4705882352941,17,37.8823529411765,17,38.0588235294118,15,38.6,17,38.4705882352941,17,37.8823529411765,19,33.5263157894737,18,35.2777777777778,16,37.3125,17,36.8823529411765,16,37.3125,16,37.3125,16,37.3125,17,36.6470588235294,17,36.2941176470588,16,37.8125
"066","Villa de Tezontepec","Región Tizayuca",16,32.4375,17,31.5294117647059,18,30.3333333333333,18,30.1111111111111,19,30.1578947368421,17,30.8235294117647,20,30.35,15,31.0666666666667,23,26.695652173913,16,25.25,20,26.9,20,27,20,27.2,20,27.1,21,26.952380952381,19,24.0526315789474,19,23.7368421052632,21,26.8095238095238
"067","Tezontepec de Aldama","Región Tula",23,28.1304347826087,22,30.8636363636364,21,32.3333333333333,21,31.5714285714286,22,32.1363636363636,20,31.45,23,31.3913043478261,20,32.65,22,31.4545454545455,22,32.5909090909091,21,31.9523809523809,19,32.4210526315789,18,33.2222222222222,18,33.1666666666667,19,32.6315789473684,21,31.1904761904762,19,32.2105263157895,23,32.1739130434783
"068","Tianguistengo","Región Zacualtipán",14,32.3571428571429,16,31.125,15,30.5333333333333,15,31.3333333333333,16,31.9375,16,31.375,16,32.25,16,31.8125,16,31.3125,16,31.5,16,31.1875,16,31.25,16,31.125,16,31.0625,16,31.3125,16,32.25,16,32.125,11,33
"069","Tizayuca","Región Tizayuca",31,14.8709677419355,31,16.258064516129,30,16.0333333333333,30,16.1333333333333,29,16.3448275862069,28,15.7857142857143,29,16.551724137931,29,16.2068965517241,31,18.1612903225806,29,18.1379310344828,30,16.0666666666667,30,16.0333333333333,30,16.0666666666667,30,16,30,16.1,30,17.4666666666667,31,15.8387096774194,33,18.1515151515152
"070","Tlahuelilpan","Región Tula",22,28.0454545454545,22,27.7727272727273,22,27.6818181818182,21,28.2380952380952,21,28.6190476190476,21,28,23,28.6086956521739,22,28.8181818181818,24,26.4583333333333,21,27.1904761904762,19,26.7368421052632,19,26.7368421052632,19,26.6842105263158,19,26.6315789473684,20,26.85,20,26.3,19,27.2105263157895,18,26.8333333333333
"071","Tlahuiltepa","Región Zacualtipán",8,32.125,7,39.2857142857143,8,38,7,39.5714285714286,7,39.8571428571429,7,37.5714285714286,8,38.375,8,38.125,7,39.8571428571429,7,39.5714285714286,7,41.1428571428571,7,41.1428571428571,7,41,7,40.8571428571429,7,40.5714285714286,5,43.2,8,39.25,7,36.5714285714286
"072","Tlanalapa","Región Apan",14,30.5,17,30.9411764705882,17,30.6470588235294,17,30.7647058823529,18,30.4444444444444,17,30.1764705882353,18,30.7777777777778,18,30.2222222222222,18,27.1666666666667,16,26.625,17,27.1176470588235,17,27.1764705882353,17,27.3529411764706,17,27.2352941176471,17,27.4117647058824,17,29.2352941176471,17,28.8235294117647,15,31.2
"073","Tlanchinol","Región Huejutla",16,31.3125,14,31,14,31.2857142857143,14,30.7857142857143,14,31,14,31,15,32.3333333333333,15,32.0666666666667,20,32.15,20,31.4,20,32.45,20,32.4,20,32.5,20,32.4,20,32.6,18,33.8333333333333,18,32,17,35.8235294117647
